Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
C,ldap/servers/slapd/back-ldbm/vlv_srch.c,vlv_srch.c,843,613,151,79,195,23676,461
C,ldap/servers/slapd/result.c,result.c,2717,2140,338,239,507,96730,1533
C Header,ldap/servers/slapd/back-ldbm/proto-back-ldbm.h,proto-back-ldbm.h,651,445,140,66,0,31597,494
C,ldap/servers/slapd/back-ldbm/misc.c,misc.c,582,450,66,66,141,17049,339
C,ldap/servers/slapd/back-ldbm/ldbm_search.c,ldbm_search.c,2109,1455,471,183,397,88544,1314
C,ldap/servers/slapd/back-ldbm/ldbm_modrdn.c,ldbm_modrdn.c,2460,1841,456,163,560,105321,1492
C,ldap/servers/slapd/back-ldbm/ldbm_modify.c,ldbm_modify.c,1270,914,251,105,272,49571,836
C,ldap/servers/slapd/back-ldbm/ldbm_delete.c,ldbm_delete.c,1570,1215,275,80,337,73800,950
C,ldap/servers/slapd/back-ldbm/ldbm_config.c,ldbm_config.c,1790,1391,169,230,257,65823,915
C,ldap/servers/slapd/back-ldbm/ldbm_compare.c,ldbm_compare.c,104,76,15,13,18,3188,85
C,ldap/servers/slapd/back-ldbm/ldbm_bind.c,ldbm_bind.c,113,84,17,12,16,3595,87
C,ldap/servers/slapd/back-ldbm/ldbm_add.c,ldbm_add.c,1539,1173,280,86,327,73218,1017
C,ldap/servers/slapd/back-ldbm/findentry.c,findentry.c,412,311,66,35,63,14598,247
C,ldap/servers/slapd/dse.c,dse.c,2992,2195,522,275,563,104155,1715
C,ldap/servers/slapd/back-ldbm/dn2entry.c,dn2entry.c,269,159,88,22,45,9727,196
C,ldap/servers/slapd/defbackend.c,defbackend.c,206,112,54,40,11,6017,118
C,ldap/servers/slapd/bind.c,bind.c,1008,665,269,74,222,42790,636
Python,dirsrvtests/tests/suites/basic/basic_test.py,basic_test.py,2458,2402,37,19,18,87454,1382
