Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
JavaScript,test/security/pwn.js,pwn.js,8,8,0,0,2,185,9
JSON,package.json,package.json,62,62,0,0,0,1667,62
CSV,test/security/nodesValueInjection.csv,nodesValueInjection.csv,25,25,0,0,0,856,26
CSV,test/security/nodesFieldnameInjection.csv,nodesFieldnameInjection.csv,25,25,0,0,0,795,26
CSV,test/security/linksValueInjection.csv,linksValueInjection.csv,6,6,0,0,0,388,7
CSV,test/security/linksFieldnameInjection.csv,linksFieldnameInjection.csv,6,6,0,0,0,203,7
JavaScript,index.js,index.js,14,12,0,2,1,724,13
HTML,index.html,index.html,465,448,1,16,0,26259,272
HTML,components/files.html,files.html,926,860,0,66,0,38291,639
JavaScript,scripts/common.js,common.js,1286,1190,18,78,170,72806,907
Markdown,test/security/README.md,README.md,30,23,0,7,0,1202,24
