Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
C Header,devices/remotefsdevice.h,remotefsdevice.h,125,86,23,16,3,3805,101
C++,devices/remotefsdevice.cpp,remotefsdevice.cpp,609,520,26,63,112,17742,344
C++,devices/remotedevicepropertieswidget.cpp,remotedevicepropertieswidget.cpp,149,113,22,14,12,4669,110
TypeScript,translations/cantata_zh_CN.ts,cantata_zh_CN.ts,11249,11197,0,52,162,489540,4923
TypeScript,translations/cantata_ru.ts,cantata_ru.ts,14815,14716,0,99,221,762408,6060
TypeScript,translations/cantata_pl.ts,cantata_pl.ts,15432,15330,0,102,246,738797,6530
TypeScript,translations/cantata_ko.ts,cantata_ko.ts,15343,15241,0,102,246,752428,6481
TypeScript,translations/cantata_ja.ts,cantata_ja.ts,9090,9037,0,53,146,442956,4533
TypeScript,translations/cantata_it.ts,cantata_it.ts,9125,9067,0,58,145,429951,4603
TypeScript,translations/cantata_hu.ts,cantata_hu.ts,14751,14652,0,99,219,699036,6030
TypeScript,translations/cantata_fr.ts,cantata_fr.ts,14293,14193,0,100,330,643067,6135
TypeScript,translations/cantata_es.ts,cantata_es.ts,13881,13847,0,34,192,641942,5644
TypeScript,translations/cantata_en_GB.ts,cantata_en_GB.ts,8845,8817,0,28,140,378169,3220
TypeScript,translations/cantata_de.ts,cantata_de.ts,12975,12919,0,56,184,597910,5681
TypeScript,translations/cantata_da.ts,cantata_da.ts,8810,8754,0,56,218,411361,4459
TypeScript,translations/cantata_cs.ts,cantata_cs.ts,15410,15308,0,102,246,735271,6507
TypeScript,translations/blank.ts,blank.ts,8726,8698,0,28,140,371474,3152
CMake,CMakeLists.txt,CMakeLists.txt,593,507,19,67,110,28486,429
