Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
PHP,vdef.php,vdef.php,926,688,70,168,70,28967,533
PHP,utilities.php,utilities.php,2792,2342,108,342,315,92742,1284
PHP,user_group_admin.php,user_group_admin.php,2591,2101,109,381,334,87858,1003
PHP,user_domains.php,user_domains.php,784,641,50,93,59,29701,504
PHP,user_admin.php,user_admin.php,3102,2521,118,463,526,103220,1217
PHP,tree.php,tree.php,2062,1761,68,233,236,63262,1061
PHP,spikekill.php,spikekill.php,114,75,22,17,19,3969,82
PHP,sites.php,sites.php,558,434,49,75,31,18807,372
PHP,settings.php,settings.php,1149,1021,34,94,152,37032,632
PHP,remote_agent.php,remote_agent.php,461,339,34,88,75,14313,273
PHP,pollers.php,pollers.php,906,726,54,126,97,33952,597
PHP,managers.php,managers.php,1088,889,53,146,102,38211,554
PHP,links.php,links.php,640,499,36,105,83,21908,388
PHP,lib/import.php,import.php,2196,1635,179,382,364,71457,1108
PHP,lib/html_utility.php,html_utility.php,1037,671,246,120,239,37610,621
PHP,lib/html_tree.php,html_tree.php,1511,1411,23,77,69,52068,863
PHP,lib/html_reports.php,html_reports.php,1730,1436,90,204,214,64711,1048
PHP,lib/html_form.php,html_form.php,1454,1129,161,164,195,52943,707
PHP,lib/html.php,html.php,2422,1898,212,312,572,88583,1303
PHP,host_templates.php,host_templates.php,877,666,66,145,52,30119,486
PHP,graphs_new.php,graphs_new.php,862,670,54,138,123,31771,560
PHP,graphs.php,graphs.php,2099,1867,56,176,176,82336,1291
PHP,graph_view.php,graph_view.php,981,781,48,152,162,30614,597
PHP,graph_templates.php,graph_templates.php,836,648,54,134,70,38142,535
PHP,gprint_presets.php,gprint_presets.php,434,314,44,76,43,14282,277
PHP,include/global_session.php,global_session.php,134,102,22,10,38,5562,93
PHP,include/global_arrays.php,global_arrays.php,2684,2521,27,136,23,78917,1763
PHP,include/global.php,global.php,492,347,70,75,90,16671,352
PHP,lib/functions.php,functions.php,5351,3869,715,767,1032,170273,3042
PHP,data_templates.php,data_templates.php,1067,811,76,180,136,42322,671
PHP,data_sources.php,data_sources.php,1747,1378,104,265,276,66267,1011
PHP,data_source_profiles.php,data_source_profiles.php,1038,795,65,178,124,34589,591
PHP,data_queries.php,data_queries.php,1429,1116,86,227,139,50165,828
PHP,data_input.php,data_input.php,947,728,63,156,127,34667,561
PHP,data_debug.php,data_debug.php,1119,932,39,148,166,34225,637
PHP,color_templates.php,color_templates.php,638,446,73,119,64,22136,381
PHP,cmd_realtime.php,cmd_realtime.php,273,200,29,44,44,8837,186
PHP,cdef.php,cdef.php,927,686,73,168,76,29268,523
PHP,automation_tree_rules.php,automation_tree_rules.php,979,745,87,147,152,38781,578
PHP,automation_networks.php,automation_networks.php,1262,1073,51,138,92,42754,791
PHP,auth_profile.php,auth_profile.php,644,539,31,74,60,18558,414
PHP,auth_login.php,auth_login.php,792,609,82,101,191,28551,526
PHP,lib/auth.php,auth.php,2652,2123,133,396,572,78690,1093
PHP,lib/api_automation.php,api_automation.php,3969,2946,375,648,553,137438,1951
PHP,aggregate_templates.php,aggregate_templates.php,740,537,81,122,105,24523,457
PHP,aggregate_graphs.php,aggregate_graphs.php,1656,1322,95,239,219,58741,945
