Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Ruby,pcsd/test/test_auth.rb,test_auth.rb,82,70,0,12,1,1994,49
Ruby,pcsd/test/test_all_suite.rb,test_all_suite.rb,11,10,0,1,0,256,11
Ruby,pcsd/resource.rb,resource.rb,383,372,0,11,46,12935,267
Ruby,pcsd/remote.rb,remote.rb,2979,2678,58,243,449,91689,1531
Ruby HTML,pcsd/views/permissions.erb,permissions.erb,55,55,0,0,0,1912,45
Ruby,pcsd/pcsd.rb,pcsd.rb,1521,1312,105,104,137,47842,858
JavaScript,pcsd/public/js/pcsd.js,pcsd.js,2853,2669,54,130,264,79440,1439
Ruby,pcsd/pcsd-cli.rb,pcsd-cli.rb,168,148,9,11,17,4643,119
Ruby,pcsd/pcs.rb,pcs.rb,1995,1762,80,153,253,54789,1146
JavaScript,pcsd/public/js/nodes-ember.js,nodes-ember.js,2653,2454,28,171,448,79687,1675
Ruby,pcsd/fenceagent.rb,fenceagent.rb,54,54,0,0,2,1187,41
Ruby,pcsd/cluster_entity.rb,cluster_entity.rb,1213,1106,5,102,141,34457,707
Ruby,pcsd/cfgsync.rb,cfgsync.rb,798,680,23,95,60,22007,438
Ruby,pcsd/auth.rb,auth.rb,139,121,5,13,14,3755,100
Ruby HTML,pcsd/views/_dialogs.erb,_dialogs.erb,254,244,0,10,3,8119,133
Markdown,CHANGELOG.md,CHANGELOG.md,734,662,0,72,0,38455,611
