Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
PHP,dictionaries/zh_cn.dictionary.itop.core.php,zh_cn.dictionary.itop.core.php,1132,859,144,129,0,54353,828
PHP,setup/wizardsteps.class.inc.php,wizardsteps.class.inc.php,2711,2231,255,225,318,96478,1322
PHP,application/wizardhelper.class.inc.php,wizardhelper.class.inc.php,386,300,62,24,53,12458,238
PHP,setup/wizardcontroller.class.inc.php,wizardcontroller.class.inc.php,665,275,347,43,19,20044,355
PHP,application/utils.inc.php,utils.inc.php,3023,1803,932,288,243,93250,1584
PHP,addons/userrights/userrightsprofile.db.class.inc.php,userrightsprofile.db.class.inc.php,1063,801,126,136,83,38306,554
PHP,addons/userrights/userrightsprofile.class.inc.php,userrightsprofile.class.inc.php,868,642,117,109,73,28685,439
PHP,core/userrights.class.inc.php,userrights.class.inc.php,2107,1345,576,186,261,60878,960
PHP,application/transaction.class.inc.php,transaction.class.inc.php,384,226,133,25,34,12212,192
PHP,dictionaries/tr.dictionary.itop.core.php,tr.dictionary.itop.core.php,1136,856,152,128,0,56151,828
PHP,dictionaries/sk.dictionary.itop.core.php,sk.dictionary.itop.core.php,3004,2733,142,129,0,157615,2700
PHP,setup/setuputils.class.inc.php,setuputils.class.inc.php,2210,1581,436,193,281,73199,1190
PHP,pages/run_query.php,run_query.php,344,331,8,5,0,14326,261
PHP,dictionaries/ru.dictionary.itop.core.php,ru.dictionary.itop.core.php,1115,856,131,128,0,66122,818
PHP,dictionaries/pt_br.dictionary.itop.core.php,pt_br.dictionary.itop.core.php,1133,859,145,129,0,57002,828
PHP,test/application/privUITransactionFileTest.php,privUITransactionFileTest.php,135,95,27,13,5,4050,83
PHP,pages/preferences.php,preferences.php,888,611,168,109,51,33993,557
Twig Template,datamodels/2.x/itop-portal-base/portal/templates/bricks/manage/popup-export-excel.html.twig,popup-export-excel.html.twig,56,50,0,6,0,2237,47
PHP,dictionaries/pl.dictionary.itop.core.php,pl.dictionary.itop.core.php,1127,856,143,128,0,56919,825
PHP,dictionaries/nl.dictionary.itop.core.php,nl.dictionary.itop.core.php,1134,856,150,128,0,57254,833
PHP,core/metamodel.class.php,metamodel.class.php,7761,4985,2169,607,716,234604,3322
PHP,application/loginwebpage.class.inc.php,loginwebpage.class.inc.php,1189,851,220,118,115,34265,639
PHP,application/loginurl.class.inc.php,loginurl.class.inc.php,93,70,14,9,15,2306,47
PHP,application/loginform.class.inc.php,loginform.class.inc.php,156,103,38,15,17,4305,86
PHP,application/loginexternal.class.inc.php,loginexternal.class.inc.php,89,65,15,9,12,2134,48
PHP,application/loginbasic.class.inc.php,loginbasic.class.inc.php,138,110,18,10,23,3968,74
Twig Template,templates/application/display-block/block-chart-ajax-pie/layout.js.twig,layout.js.twig,39,36,0,3,0,1239,36
Twig Template,templates/application/display-block/block-chart-ajax-bars/layout.js.twig,layout.js.twig,62,61,0,1,0,1835,55
Twig Template,templates/application/display-block/block-csv/layout.js.twig,layout.js.twig,12,12,0,0,0,374,12
PHP,dictionaries/ja.dictionary.itop.core.php,ja.dictionary.itop.core.php,1126,856,142,128,0,58142,826
PHP,dictionaries/it.dictionary.itop.core.php,it.dictionary.itop.core.php,1128,856,144,128,0,56358,826
PHP,setup/index.php,index.php,45,17,24,4,0,1230,36
PHP,lib/composer/include_paths.php,include_paths.php,13,9,1,3,0,311,11
PHP,dictionaries/hu.dictionary.itop.core.php,hu.dictionary.itop.core.php,1126,856,142,128,0,52427,824
PHP,dictionaries/fr.dictionary.itop.core.php,fr.dictionary.itop.core.php,1136,864,143,129,0,55583,831
PHP,pages/exec.php,exec.php,62,30,23,9,5,1716,44
PHP,core/excelbulkexport.class.inc.php,excelbulkexport.class.inc.php,406,339,18,49,33,14133,259
