Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
C++,dcmect/tests/tests.cc,tests.cc,27,5,20,2,0,535,19
C Header,dcmnet/include/dcmtk/dcmnet/helpers.h,helpers.h,44,11,26,7,0,951,28
C++,dcmnet/libsrc/helpers.cc,helpers.cc,73,42,22,9,8,1733,54
C++,dcmect/libsrc/enhanced_ct.cc,enhanced_ct.cc,1225,1011,73,141,137,42501,619
C Header,dcmnet/include/dcmtk/dcmnet/dulstruc.h,dulstruc.h,333,223,70,40,0,10325,233
C++,dcmnet/libsrc/dulpres.cc,dulpres.cc,145,48,86,11,10,5082,115
C++,dcmnet/libsrc/dulparse.cc,dulparse.cc,967,587,284,96,112,35911,575
C++,dcmnet/libsrc/dulfsm.cc,dulfsm.cc,3994,2220,1388,386,384,141813,1730
C++,dcmnet/libsrc/dulextra.cc,dulextra.cc,184,95,73,16,15,5194,128
C++,dcmnet/libsrc/dulconst.cc,dulconst.cc,1529,868,490,171,196,48606,788
C++,dcmnet/libsrc/dul.cc,dul.cc,2867,1736,852,279,335,97116,1420
C++,dcmnet/libsrc/diutil.cc,diutil.cc,890,727,84,79,106,24932,317
C++,dcmnet/libsrc/dimcmd.cc,dimcmd.cc,2057,1516,259,282,271,61178,666
C++,dcmnet/libsrc/dcuserid.cc,dcuserid.cc,639,452,94,93,83,20149,348
C++,dcmdata/libsrc/dcelem.cc,dcelem.cc,2383,1621,429,333,497,84429,1209
C++,dcmnet/libsrc/assoc.cc,assoc.cc,2276,1709,266,301,406,75302,1206
Autoconf,dcmect/tests/Makefile.in,Makefile.in,61,38,3,20,0,1516,41
Autoconf,dcmnet/libsrc/Makefile.in,Makefile.in,57,36,3,18,0,1436,39
CMake,dcmect/tests/CMakeLists.txt,CMakeLists.txt,12,7,3,2,0,323,11
CMake,dcmnet/libsrc/CMakeLists.txt,CMakeLists.txt,52,49,1,2,1,815,51
