Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
XML,dspace/config/registries/bitstream-formats.xml,bitstream-formats.xml,793,674,30,89,0,26689,393
Java,dspace-api/src/main/java/org/dspace/app/itemimport/ItemImportServiceImpl.java,ItemImportServiceImpl.java,2442,1681,418,343,369,96226,1524
Java,dspace-api/src/main/java/org/dspace/app/itemimport/ItemImport.java,ItemImport.java,374,251,74,49,47,13729,262
Java,dspace-api/src/main/java/org/dspace/eperson/GroupServiceImpl.java,GroupServiceImpl.java,837,588,129,120,139,34537,507
Java,dspace-server-webapp/src/test/java/org/dspace/app/rest/GroupRestRepositoryIT.java,GroupRestRepositoryIT.java,3189,2521,42,626,111,139740,833
Java,dspace-api/src/main/java/org/dspace/content/CollectionServiceImpl.java,CollectionServiceImpl.java,1047,778,107,162,113,42989,593
Java,dspace-api/src/main/java/org/dspace/content/service/CollectionService.java,CollectionService.java,454,73,336,45,0,21110,220
Java,dspace-server-webapp/src/test/java/org/dspace/app/rest/BitstreamRestControllerIT.java,BitstreamRestControllerIT.java,1181,828,120,233,0,51848,499
Java,dspace-server-webapp/src/main/java/org/dspace/app/rest/BitstreamRestController.java,BitstreamRestController.java,235,157,38,40,20,9806,175
Java,dspace-server-webapp/src/test/java/org/dspace/app/rest/BitstreamFormatRestRepositoryIT.java,BitstreamFormatRestRepositoryIT.java,663,526,52,85,1,34569,258
