Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
PHP,htdocs/viewimage.php,viewimage.php,200,98,65,37,31,6446,127
PHP,htdocs/cashdesk/tpl/validation2.tpl.php,validation2.tpl.php,46,19,17,10,0,1643,34
PHP,htdocs/cashdesk/tpl/validation1.tpl.php,validation1.tpl.php,120,74,20,26,9,4411,80
PHP,htdocs/core/lib/usergroups.lib.php,usergroups.lib.php,344,218,67,59,36,11092,203
PHP,htdocs/user/class/user.class.php,user.class.php,2365,1663,398,304,308,70524,1192
PHP,htdocs/adherents/type.php,type.php,692,480,83,129,110,23922,422
PHP,htdocs/cashdesk/tpl/ticket.tpl.php,ticket.tpl.php,156,109,18,29,1,4014,106
PHP,htdocs/projet/tasks.php,tasks.php,460,305,73,82,59,15134,277
PHP,htdocs/societe/class/societe.class.php,societe.class.php,3140,2183,612,345,403,106709,1631
PHP,htdocs/societe/soc.php,soc.php,2017,1530,236,251,358,89251,1213
PHP,htdocs/core/lib/security.lib.php,security.lib.php,536,385,108,43,232,23574,308
PHP,htdocs/core/tpl/resource_view.tpl.php,resource_view.tpl.php,108,76,5,27,11,3646,58
PHP,htdocs/core/tpl/resource_add.tpl.php,resource_add.tpl.php,45,27,3,15,1,1634,29
PHP,htdocs/comm/remx.php,remx.php,546,441,50,55,56,18517,326
PHP,htdocs/comm/remise.php,remise.php,205,123,41,41,11,5548,138
PHP,htdocs/product/class/product.class.php,product.class.php,3577,2543,657,377,508,116032,1884
PHP,htdocs/core/db/pgsql.class.php,pgsql.class.php,1271,696,434,141,145,42999,748
PHP,htdocs/user/perms.php,perms.php,431,308,60,63,84,14440,268
PHP,htdocs/core/tpl/passwordforgotten.tpl.php,passwordforgotten.tpl.php,163,106,18,39,20,5492,108
PHP,htdocs/user/passwordforgotten.php,passwordforgotten.php,244,169,45,30,48,8731,163
PHP,htdocs/user/param_ihm.php,param_ihm.php,274,175,39,60,36,10593,171
PHP,htdocs/core/tpl/originproductline.tpl.php,originproductline.tpl.php,29,12,16,1,0,1221,26
PHP,htdocs/core/tpl/objectline_view.tpl.php,objectline_view.tpl.php,185,135,31,19,54,7564,134
PHP,htdocs/core/tpl/objectline_edit.tpl.php,objectline_edit.tpl.php,355,267,44,44,73,13831,241
