Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
C,libavcodec/xwddec.c,xwddec.c,256,201,21,34,131,9223,175
C,libavcodec/xpmdec.c,xpmdec.c,458,384,25,49,78,15506,356
C,libavcodec/webp.c,webp.c,1576,1264,105,207,237,52223,992
C,libavcodec/vqavideo.c,vqavideo.c,864,596,124,144,154,29597,516
C,libavcodec/vp8.c,vp8.c,2979,2394,200,385,579,109554,1844
C,libavcodec/vp3.c,vp3.c,3206,2404,355,447,594,117077,2079
C,libavformat/vividas.c,vividas.c,805,614,33,158,123,21459,508
C,libavfilter/vf_vignette.c,vf_vignette.c,339,280,19,40,46,11658,255
C,libavfilter/vf_showinfo.c,vf_showinfo.c,933,809,22,102,145,42585,654
C,libavfilter/vf_pad.c,vf_pad.c,462,354,39,69,68,16804,328
C,libavfilter/vf_lut.c,vf_lut.c,641,508,44,89,47,21547,423
C,libavfilter/vf_kerndeint.c,vf_kerndeint.c,308,241,30,37,35,12709,243
C,libavfilter/vf_hflip.c,vf_hflip.c,155,106,25,24,10,4964,119
C,libavfilter/vf_gradfun.c,vf_gradfun.c,251,189,32,30,27,8490,187
C,libavfilter/vf_fps.c,vf_fps.c,399,277,57,65,43,14406,285
C,libavfilter/vf_fieldorder.c,vf_fieldorder.c,188,136,35,17,22,6744,155
C,libavfilter/vf_fieldmatch.c,vf_fieldmatch.c,1084,916,58,110,304,44833,777
C,libavfilter/vf_delogo.c,vf_delogo.c,394,288,50,56,49,13409,287
C,libavfilter/vf_colorcorrect.c,vf_colorcorrect.c,545,445,19,81,34,19055,262
C,libavfilter/vf_boxblur.c,vf_boxblur.c,308,225,39,44,48,12514,220
C Header,libavcodec/vc2enc_dwt.h,vc2enc_dwt.h,54,26,20,8,0,2060,44
C,libavcodec/vc2enc_dwt.c,vc2enc_dwt.c,282,196,46,40,34,10613,157
C,libavcodec/vc2enc.c,vc2enc.c,1245,952,124,169,176,42133,817
