Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Go,route/v1/zerotier.go,zerotier.go,475,153,294,28,49,18423,206
Go,service/zerotier.go,zerotier.go,353,297,21,35,66,11511,239
Go,route/v1/system.go,system.go,387,273,79,35,45,11141,243
Go,types/system.go,system.go,5,3,0,2,0,162,4
Go,route/route.go,route.go,313,198,82,33,2,10111,250
Go,route/init.go,init.go,246,208,13,25,61,6861,184
Go,route/v1/docker.go,docker.go,1268,640,517,111,180,42590,759
Go,route/v1/disk.go,disk.go,497,343,107,47,96,15413,290
JavaScript,web/js/chunk-vendors.js,chunk-vendors.js,4978,1953,1728,1297,1,2859683,1495
Go,service/casa.go,casa.go,169,120,0,49,6,4564,86
JavaScript,web/js/app.js,app.js,807,389,270,148,37,754543,389
Go,route/v1/app.go,app.go,254,110,117,27,24,8016,148
JavaScript,web/js/4.js,4.js,63,27,20,16,1,19406,34
JavaScript,web/js/3.js,3.js,108,44,36,28,1,57170,56
JavaScript,web/js/2.js,2.js,6169,2388,2160,1621,1,3476546,1851
