Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Python,app/files/scripts/stix2misp.py,stix2misp.py,1446,1386,37,23,52,73158,1158
JavaScript,app/webroot/js/misp.js,misp.js,4750,4420,28,302,913,169152,2568
JavaScript,app/webroot/js/event-graph.js,event-graph.js,2503,2295,70,138,282,92290,1613
PHP,app/Config/config.default.php,config.default.php,175,71,104,0,0,8204,147
JavaScript,app/webroot/js/action_table.js,action_table.js,371,337,0,34,50,10896,251
JSON,VERSION.json,VERSION.json,1,1,0,0,0,37,2
PHP,app/Controller/UsersController.php,UsersController.php,2163,2053,45,65,426,104136,1352
PHP,app/Controller/UserSettingsController.php,UserSettingsController.php,361,316,36,9,77,16325,225
PHP,app/Model/User.php,User.php,1512,1337,112,63,184,60430,899
PHP,app/Controller/ThreadsController.php,ThreadsController.php,247,231,5,11,54,10648,177
PHP,app/Model/Thread.php,Thread.php,41,37,1,3,4,1119,38
PHP,app/Controller/TemplatesController.php,TemplatesController.php,481,443,8,30,81,21537,303
PHP,app/Controller/TemplateElementsController.php,TemplateElementsController.php,258,242,6,10,57,13708,153
PHP,app/Model/Template.php,Template.php,80,63,6,11,11,2444,55
PHP,app/Controller/TagsController.php,TagsController.php,1158,1127,2,29,195,51788,699
PHP,app/Lib/Tools/SyncTool.php,SyncTool.php,60,49,7,4,9,2115,46
PHP,app/Controller/SightingsController.php,SightingsController.php,410,392,5,13,107,20398,269
PHP,app/Model/SharingGroupServer.php,SharingGroupServer.php,131,112,9,10,16,5674,98
PHP,app/Controller/ServersController.php,ServersController.php,2248,2105,39,104,455,105972,1299
PHP,app/Model/Server.php,Server.php,5822,5536,111,175,655,288109,2791
PHP,app/Controller/OrganisationsController.php,OrganisationsController.php,480,456,5,19,111,23623,283
PHP,app/Model/MispObject.php,MispObject.php,842,787,22,33,134,37056,590
PHP,app/Controller/LogsController.php,LogsController.php,511,469,17,25,89,21619,346
PHP,app/Plugin/Assets/models/behaviors/LogableBehavior.php,LogableBehavior.php,535,336,148,51,150,20593,343
PHP,app/Model/Log.php,Log.php,375,336,17,22,45,14582,292
PHP,app/Controller/JobsController.php,JobsController.php,166,155,0,11,27,5521,108
PHP,app/Controller/Component/IndexFilterComponent.php,IndexFilterComponent.php,80,71,4,5,14,3266,62
PHP,app/Controller/GalaxyElementsController.php,GalaxyElementsController.php,27,24,0,3,1,853,25
PHP,app/Model/GalaxyElement.php,GalaxyElement.php,59,50,2,7,6,1941,46
PHP,app/Model/GalaxyCluster.php,GalaxyCluster.php,242,214,12,16,24,9892,182
PHP,app/Controller/FeedsController.php,FeedsController.php,1036,998,5,33,244,46866,533
PHP,app/Model/Feed.php,Feed.php,1671,1474,112,85,252,67908,945
PHP,app/Controller/EventsController.php,EventsController.php,5659,5270,183,206,1188,277619,3169
PHP,app/Model/Event.php,Event.php,6829,6332,251,246,1456,321647,3934
PHP,app/Lib/Tools/CustomPaginationTool.php,CustomPaginationTool.php,148,141,0,7,29,5013,103
PHP,app/View/Helper/CommandHelper.php,CommandHelper.php,98,87,3,8,27,4719,77
PHP,app/Plugin/CertAuth/Controller/Component/Auth/CertificateAuthenticate.php,CertificateAuthenticate.php,294,206,67,21,68,8584,201
PHP,app/Model/Bruteforce.php,Bruteforce.php,62,57,2,3,6,2209,53
PHP,app/Controller/AttributesController.php,AttributesController.php,3204,2965,113,126,739,153719,1853
PHP,app/Model/Attribute.php,Attribute.php,4425,4122,154,149,753,224251,2815
PHP,app/Model/AppModel.php,AppModel.php,2658,2447,95,116,192,126841,1661
PHP,app/Controller/AppController.php,AppController.php,1207,1045,97,65,224,55283,784
PHP,app/Console/Command/AdminShell.php,AdminShell.php,538,499,6,33,91,20573,312
PHP,app/Controller/Component/ACLComponent.php,ACLComponent.php,843,819,14,10,44,38486,608
