Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Perl,Kernel/Output/HTML/Layout/Template.pm,Template.pm,365,254,34,77,37,10360,216
Perl,Kernel/System/State.pm,State.pm,715,522,52,141,63,16698,325
Raku,scripts/test/HTMLUtils/Safety.t,Safety.t,845,832,9,4,0,22809,221
Perl,Kernel/Output/HTML/Layout.pm,Layout.pm,6261,5758,176,327,293,208267,2965
Perl,Kernel/System/HTMLUtils.pm,HTMLUtils.pm,1267,1148,45,74,42,40111,804
Perl,Kernel/Modules/CustomerTicketZoom.pm,CustomerTicketZoom.pm,1820,1348,185,287,225,64777,1040
Perl,Kernel/Modules/CustomerTicketProcess.pm,CustomerTicketProcess.pm,4644,3380,527,737,651,164160,1852
Perl,Kernel/Modules/CustomerTicketMessage.pm,CustomerTicketMessage.pm,1370,1059,122,189,194,49098,761
Perl,Kernel/Modules/CustomerPreferences.pm,CustomerPreferences.pm,261,189,29,43,35,8074,164
JavaScript,var/httpd/htdocs/js/Core.Agent.Admin.SupportDataCollector.js,Core.Agent.Admin.SupportDataCollector.js,208,147,32,29,20,9414,138
Markdown,CHANGES.md,CHANGES.md,9606,9301,0,305,0,832865,8825
TemplateToolkit,Kernel/Output/HTML/Templates/Standard/AdminSupportDataCollector.tt,AdminSupportDataCollector.tt,269,258,0,11,4,15634,195
Perl,Kernel/Modules/AdminSupportDataCollector.pm,AdminSupportDataCollector.pm,557,434,26,97,69,17489,327
