Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
XML,app/code/core/Mage/Core/etc/system.xml,system.xml,1685,1600,82,3,0,99196,709
XML,app/code/core/Mage/Core/etc/config.xml,config.xml,549,513,35,1,0,21199,491
PHP,app/code/core/Mage/Page/Block/Html/Welcome.php,Welcome.php,74,26,43,5,5,2098,51
PHP,app/code/core/Mage/Cms/Model/Wysiwyg/Images/Storage.php,Storage.php,542,311,166,65,56,17894,303
PHP,app/code/core/Mage/Core/Helper/Security.php,Security.php,56,23,31,2,3,2047,48
PHP,dev/tests/unit/Mage/Core/Helper/Security.php,Security.php,97,77,9,11,0,2674,40
PHP,app/code/core/Mage/Sales/Model/Order.php,Order.php,2544,1233,1099,212,222,78732,1289
PHP,app/code/core/Mage/Catalog/Model/Product/Attribute/Backend/Media.php,Media.php,730,459,170,101,79,25069,381
PHP,app/code/core/Mage/Core/Model/Input/Filter/MaliciousCode.php,MaliciousCode.php,157,71,72,14,7,4761,106
CSV,app/locale/en_US/Mage_Core.csv,Mage_Core.csv,448,448,0,0,0,32752,447
PHP,app/code/core/Mage/Core/Model/Layout.php,Layout.php,671,378,237,56,65,20450,365
PHP,app/code/core/Mage/Widget/Model/Widget/Instance.php,Instance.php,573,350,186,37,55,18450,317
PHP,app/code/core/Mage/Page/Block/Html/Header.php,Header.php,113,50,55,8,8,3247,70
PHP,app/code/core/Mage/Sales/Helper/Guest.php,Guest.php,190,118,54,18,41,6533,126
PHP,lib/Varien/Io/File.php,File.php,949,507,361,81,101,24448,401
PHP,app/code/core/Mage/Core/Helper/Data.php,Data.php,1010,566,358,86,100,33813,567
PHP,app/code/core/Mage/Catalog/Model/Resource/Product/Collection.php,Collection.php,2148,1295,623,230,190,66031,1016
PHP,app/code/core/Mage/Catalog/Model/Product/Attribute/Api.php,Api.php,521,348,121,52,53,17146,293
PHP,app/code/core/Mage/Adminhtml/Controller/Action.php,Action.php,489,266,176,47,39,15555,252
PHP,app/code/core/Mage/Core/Block/Abstract.php,Abstract.php,1543,801,625,117,98,39838,691
