Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
C,src/tools/util.c,util.c,513,429,27,57,115,11464,327
C,src/libopensc/sc.c,sc.c,1151,949,37,165,327,25381,659
C,src/libopensc/pkcs15-sc-hsm.c,pkcs15-sc-hsm.c,1506,1103,153,250,150,58849,862
C,src/libopensc/pkcs15-prkey.c,pkcs15-prkey.c,803,658,50,95,108,29713,517
C,src/libopensc/pkcs15-oberthur.c,pkcs15-oberthur.c,1210,926,72,212,182,36706,705
C,src/libopensc/pkcs15-gemsafeV1.c,pkcs15-gemsafeV1.c,607,469,67,71,74,19044,434
C,src/libopensc/pkcs15-esteid.c,pkcs15-esteid.c,222,159,30,33,22,7040,171
C,src/pkcs15init/pkcs15-authentic.c,pkcs15-authentic.c,932,689,51,192,111,29116,509
C,src/tools/egk-tool.c,egk-tool.c,274,214,21,39,54,6918,185
C,src/tools/cryptoflex-tool.c,cryptoflex-tool.c,1292,1160,25,107,301,29019,652
C,src/libopensc/card-tcos.c,card-tcos.c,756,580,61,115,138,23169,476
C,src/libopensc/card-setcos.c,card-setcos.c,1160,941,92,127,218,33963,754
C,src/libopensc/card-myeid.c,card-myeid.c,1841,1428,116,297,315,50542,1028
C,src/libopensc/card-muscle.c,card-muscle.c,875,720,61,94,113,24848,530
C,src/libopensc/card-iasecc.c,card-iasecc.c,3687,2815,153,719,629,112275,1931
C,src/libopensc/card-epass2003.c,card-epass2003.c,2964,2361,113,490,549,81040,1557
C,src/libopensc/card-coolkey.c,card-coolkey.c,2460,1797,329,334,304,73511,1431
C,src/libopensc/card-cac1.c,card-cac1.c,561,401,92,68,81,15351,384
C,src/libopensc/card-cac.c,card-cac.c,1944,1489,222,233,298,55228,1140
C,src/libopensc/asn1.c,asn1.c,2194,1844,118,232,530,59666,1318
