Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
YAML,src/PrestaShopBundle/Resources/config/routing/api/translations.yml,translations.yml,30,27,0,3,0,947,20
JavaScript,js/tools.js,tools.js,768,585,113,70,132,24130,484
YAML,src/PrestaShopBundle/Resources/config/routing/api/stocks.yml,stocks.yml,48,43,0,5,0,1445,24
YAML,src/PrestaShopBundle/Resources/config/routing/api/stock_movements.yml,stock_movements.yml,29,26,0,3,0,933,17
TypeScript,admin-dev/themes/new-theme/js/components/module-card.ts,module-card.ts,459,357,34,68,83,14845,287
Smarty Template,admin-dev/themes/default/template/controllers/customer_threads/helpers/view/message.tpl,message.tpl,60,34,24,2,2,2725,53
Smarty Template,admin-dev/themes/default/template/helpers/list/list_content.tpl,list_content.tpl,215,189,25,1,72,9459,180
Smarty Template,admin-dev/themes/default/template/helpers/list/list_action_delete.tpl,list_action_delete.tpl,30,6,24,0,0,1448,27
PHP,upload/index.php,index.php,35,8,24,3,0,1369,29
YAML,src/PrestaShopBundle/Resources/config/routing/api/i18n.yml,i18n.yml,7,7,0,0,0,192,8
JavaScript,admin-dev/themes/default/js/bundle/product/form.js,form.js,2247,1422,562,263,135,73696,1268
YAML,src/PrestaShopBundle/Resources/config/services/bundle/event_listener.yml,event_listener.yml,32,28,0,4,0,1269,22
SQL,install-dev/data/db_structure.sql,db_structure.sql,2824,2464,150,210,0,110882,1717
Twig Template,src/PrestaShopBundle/Resources/views/Admin/Common/Grid/Columns/Content/data.html.twig,data.html.twig,30,29,0,1,2,1362,26
Twig Template,src/PrestaShopBundle/Resources/views/Admin/Common/Grid/Columns/Content/currency_name.html.twig,currency_name.html.twig,32,30,0,2,2,1290,27
JavaScript,js/admin.js,admin.js,1372,1180,64,128,226,44733,859
PHP,tests/Unit/Adapter/ValidateTest.php,ValidateTest.php,266,191,59,16,0,7816,140
PHP,classes/Validate.php,Validate.php,1363,569,660,134,100,38535,531
PHP,controllers/front/UploadController.php,UploadController.php,85,46,29,10,6,2984,62
PHP,src/PrestaShopBundle/Controller/Api/TranslationController.php,TranslationController.php,392,237,103,52,18,15168,231
PHP,classes/Tools.php,Tools.php,3989,2527,962,500,565,132255,2044
PHP,src/PrestaShopBundle/Controller/Api/StockMovementController.php,StockMovementController.php,92,34,48,10,0,3302,59
PHP,src/PrestaShopBundle/Controller/Api/StockController.php,StockController.php,272,174,63,35,15,10816,157
PHP,classes/stock/StockAvailable.php,StockAvailable.php,727,439,200,88,85,26446,387
PHP,src/Adapter/SqlManager/SqlQueryValidator.php,SqlQueryValidator.php,414,272,110,32,16,12894,148
PHP,src/Core/Session/SessionInterface.php,SessionInterface.php,82,12,62,8,0,2032,49
PHP,src/PrestaShopBundle/Controller/Admin/SecurityController.php,SecurityController.php,71,35,28,8,1,2614,57
PHP,src/Adapter/Customer/QueryHandler/SearchCustomersHandler.php,SearchCustomersHandler.php,151,85,47,19,7,5012,111
PHP,classes/RequestSql.php,RequestSql.php,676,414,185,77,105,21453,306
PHP,tools/build/Library/ReleaseCreator.php,ReleaseCreator.php,903,530,273,100,60,30568,470
PHP,src/Adapter/Product/Repository/ProductRepository.php,ProductRepository.php,1047,658,282,107,24,37536,526
PHP,classes/exception/PrestaShopException.php,PrestaShopException.php,238,149,70,19,21,9426,171
PHP,src/PrestaShopBundle/Controller/Api/Improve/Design/PositionsController.php,PositionsController.php,75,37,32,6,2,2677,58
PHP,src/PrestaShopBundle/Controller/Admin/Configure/AdvancedParameters/PerformanceController.php,PerformanceController.php,323,166,126,31,3,12623,161
PHP,src/PrestaShopBundle/Twig/Extension/PathWithBackUrlExtension.php,PathWithBackUrlExtension.php,87,38,39,10,2,2803,64
PHP,src/Adapter/Presenter/Order/OrderLazyArray.php,OrderLazyArray.php,503,311,129,63,21,16041,288
PHP,controllers/front/OrderDetailController.php,OrderDetailController.php,244,182,39,23,34,10632,190
PHP,controllers/front/OrderController.php,OrderController.php,432,283,89,60,30,14537,264
PHP,src/Core/Grid/Column/Type/Currency/NameColumn.php,NameColumn.php,64,26,33,5,0,1966,48
PHP,tests/Unit/Classes/ModuleGraphTest.php,ModuleGraphTest.php,81,43,30,8,0,2275,62
PHP,classes/module/ModuleGraph.php,ModuleGraph.php,401,298,53,50,91,14689,232
PHP,src/PrestaShopBundle/Controller/Admin/Improve/ModuleController.php,ModuleController.php,565,427,81,57,26,21808,343
PHP,src/Adapter/Module/Module.php,Module.php,493,269,160,64,23,13722,258
PHP,classes/module/Module.php,Module.php,3507,2172,855,480,346,132834,1773
PHP,classes/Mail.php,Mail.php,1014,716,176,122,126,34242,622
PHP,src/PrestaShopBundle/Controller/Admin/Improve/International/LocalizationController.php,LocalizationController.php,238,117,95,26,6,9285,132
PHP,src/PrestaShopBundle/Twig/LayoutExtension.php,LayoutExtension.php,280,151,108,21,4,10018,197
TypeScript,admin-dev/themes/new-theme/js/pages/import/ImportPage.ts,ImportPage.ts,305,171,87,47,10,7797,185
PHP,src/PrestaShopBundle/Controller/Admin/Configure/AdvancedParameters/ImportController.php,ImportController.php,407,234,120,53,15,14291,214
PHP,src/Adapter/Image/ImageRetriever.php,ImageRetriever.php,395,245,102,48,21,13310,257
PHP,src/PrestaShopBundle/Controller/Api/I18nController.php,I18nController.php,61,23,33,5,0,2186,51
PHP,classes/helper/HelperList.php,HelperList.php,939,603,188,148,123,37429,567
PHP,classes/helper/HelperCalendar.php,HelperCalendar.php,277,198,24,55,22,7452,138
PHP,tests/Integration/Adapter/SqlManager/QueryHandler/GetSqlRequestExecutionResultHandlerTest.php,GetSqlRequestExecutionResultHandlerTest.php,114,62,38,14,0,5198,69
PHP,controllers/front/GetFileController.php,GetFileController.php,361,285,48,28,49,15004,292
PHP,src/PrestaShopBundle/Controller/Admin/Improve/International/GeolocationController.php,GeolocationController.php,182,85,80,17,3,7299,104
PHP,classes/controller/FrontController.php,FrontController.php,2208,1417,483,308,234,83155,1208
PHP,src/Core/Import/File/FileRemoval.php,FileRemoval.php,66,26,35,5,1,2065,52
PHP,classes/EmployeeSession.php,EmployeeSession.php,97,40,46,11,0,2718,61
PHP,classes/Employee.php,Employee.php,788,432,247,109,77,24770,423
PHP,classes/Dispatcher.php,Dispatcher.php,1289,824,323,142,162,47124,712
PHP,classes/db/Db.php,Db.php,901,420,361,120,111,26738,411
PHP,classes/CustomerSession.php,CustomerSession.php,97,40,46,11,0,2718,61
PHP,src/PrestaShopBundle/Controller/Admin/Configure/ShopParameters/CustomerPreferencesController.php,CustomerPreferencesController.php,101,43,44,14,3,4095,67
PHP,classes/form/CustomerPersister.php,CustomerPersister.php,252,145,73,34,25,9131,161
PHP,classes/CustomerMessage.php,CustomerMessage.php,188,100,70,18,3,5890,128
PHP,classes/form/CustomerFormatter.php,CustomerFormatter.php,271,210,28,33,9,9060,153
PHP,classes/form/CustomerForm.php,CustomerForm.php,323,230,57,36,20,11784,215
PHP,classes/form/CustomerAddressFormatter.php,CustomerAddressFormatter.php,239,177,37,25,13,9025,177
PHP,classes/form/CustomerAddressForm.php,CustomerAddressForm.php,237,145,53,39,19,7556,156
PHP,classes/Customer.php,Customer.php,1579,932,450,197,111,54433,850
PHP,src/Core/Grid/Definition/Factory/CurrencyGridDefinitionFactory.php,CurrencyGridDefinitionFactory.php,286,230,46,10,0,10875,177
