Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Kotlin,app/src/main/java/es/gob/radarcovid/common/di/module/ServicesModule.kt,ServicesModule.kt,30,15,9,6,0,893,22
Kotlin,app/src/main/java/es/gob/radarcovid/common/di/module/RepositoryModule.kt,RepositoryModule.kt,54,33,9,12,0,1543,27
Kotlin,app/src/main/java/es/gob/radarcovid/datamanager/usecase/ReportInfectedUseCase.kt,ReportInfectedUseCase.kt,56,37,9,10,2,1926,44
Kotlin,app/src/main/java/es/gob/radarcovid/RadarCovidApplication.kt,RadarCovidApplication.kt,65,42,9,14,1,1913,49
Kotlin,app/src/main/java/es/gob/radarcovid/datamanager/repository/PreferencesRepositoryImpl.kt,PreferencesRepositoryImpl.kt,170,134,9,27,2,5411,99
Kotlin,app/src/main/java/es/gob/radarcovid/datamanager/repository/PreferencesRepository.kt,PreferencesRepository.kt,60,27,9,24,0,1375,36
Kotlin,app/src/main/java/es/gob/radarcovid/datamanager/repository/ExampleRepositoryImpl.kt,ExampleRepositoryImpl.kt,25,11,9,5,0,762,20
Kotlin,app/src/main/java/es/gob/radarcovid/datamanager/repository/ExampleRepository.kt,ExampleRepository.kt,19,5,9,5,0,468,14
Kotlin,app/src/main/java/es/gob/radarcovid/datamanager/repository/DomainRepositoryImpl.kt,DomainRepositoryImpl.kt,20,6,9,5,0,550,15
Kotlin,app/src/main/java/es/gob/radarcovid/datamanager/repository/DomainRepository.kt,DomainRepository.kt,19,5,9,5,0,466,14
