Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
TypeScript,Build/Sources/TypeScript/form/backend/form-manager/view-model.ts,view-model.ts,790,634,44,112,58,32775,413
JavaScript,typo3/sysext/form/Resources/Public/JavaScript/backend/form-manager/view-model.js,view-model.js,13,1,12,0,0,22359,11
JavaScript,typo3/sysext/form/Resources/Public/JavaScript/backend/form-editor/stage-component.js,stage-component.js,13,1,12,0,3,20290,11
PHP,typo3/sysext/core/Tests/Unit/Log/Processor/WebProcessorTest.php,WebProcessorTest.php,47,28,13,6,0,1512,40
PHP,typo3/sysext/core/Tests/Unit/Middleware/VerifyHostHeaderTest.php,VerifyHostHeaderTest.php,239,182,33,24,0,10266,117
PHP,typo3/sysext/core/Classes/Middleware/VerifyHostHeader.php,VerifyHostHeader.php,125,64,43,18,9,5080,86
PHP,typo3/sysext/core/Tests/Acceptance/Application/Impexp/UsersCest.php,UsersCest.php,243,181,21,41,2,10813,120
PHP,typo3/sysext/core/Tests/Unit/Session/UserSessionTest.php,UserSessionTest.php,94,66,14,14,0,3402,73
PHP,typo3/sysext/core/Tests/Unit/Session/UserSessionManagerTest.php,UserSessionManagerTest.php,218,185,18,15,0,8935,121
PHP,typo3/sysext/core/Classes/Session/UserSessionManager.php,UserSessionManager.php,387,203,156,28,15,15921,243
PHP,typo3/sysext/core/Classes/Session/UserSession.php,UserSession.php,308,163,114,31,14,9605,178
PHP,typo3/sysext/core/Tests/Acceptance/Application/InstallTool/UpgradeCest.php,UpgradeCest.php,114,77,14,23,0,4540,71
PHP,typo3/sysext/frontend/Classes/Controller/TypoScriptFrontendController.php,TypoScriptFrontendController.php,1052,592,381,79,67,46451,656
PHP,typo3/sysext/core/Classes/Core/SystemEnvironmentBuilder.php,SystemEnvironmentBuilder.php,352,159,167,26,20,15644,223
PHP,typo3/sysext/frontend/Tests/Functional/SiteHandling/SlugSiteRequestTest.php,SlugSiteRequestTest.php,2751,2406,166,179,10,102999,487
PHP,typo3/sysext/frontend/Tests/Functional/SiteHandling/SlugSiteRequestAllowInsecureSiteResolutionByQueryParametersEnabledTest.php,SlugSiteRequestAllowInsecureSiteResolutionByQueryParametersEnabledTest.php,118,93,16,9,0,5297,85
PHP,typo3/sysext/frontend/Tests/Functional/SiteHandling/SlugSiteRequestAllowInsecureSiteResolutionByQueryParametersDisabledTest.php,SlugSiteRequestAllowInsecureSiteResolutionByQueryParametersDisabledTest.php,116,93,14,9,0,5045,84
PHP,typo3/sysext/core/Classes/Routing/SiteRouteResult.php,SiteRouteResult.php,169,97,51,21,4,4350,91
PHP,typo3/sysext/frontend/Tests/Unit/Middleware/SiteResolverTest.php,SiteResolverTest.php,408,322,58,28,10,15378,213
PHP,typo3/sysext/core/Tests/Unit/Routing/SiteMatcherTest.php,SiteMatcherTest.php,294,233,39,22,0,11679,151
PHP,typo3/sysext/core/Classes/Routing/SiteMatcher.php,SiteMatcher.php,275,170,79,26,14,11130,187
PHP,typo3/sysext/frontend/Tests/Functional/Controller/ShowImageControllerTest.php,ShowImageControllerTest.php,146,114,19,13,0,6022,103
PHP,typo3/sysext/frontend/Classes/Controller/ShowImageController.php,ShowImageController.php,243,129,84,30,14,8204,161
PHP,typo3/sysext/install/Classes/SystemEnvironment/SetupCheck.php,SetupCheck.php,279,211,54,14,27,12287,180
PHP,typo3/sysext/core/Classes/Http/SetCookieService.php,SetCookieService.php,164,96,55,13,15,6316,122
PHP,typo3/sysext/install/Classes/Service/SessionService.php,SessionService.php,457,275,147,35,27,17158,277
YAML,typo3/sysext/frontend/Configuration/Services.yaml,Services.yaml,165,128,4,33,0,4942,82
PHP,typo3/sysext/core/Classes/ServiceProvider.php,ServiceProvider.php,699,589,16,94,10,30986,389
PHP,typo3/sysext/install/Classes/ServiceProvider.php,ServiceProvider.php,476,413,16,47,0,20079,258
PHP,typo3/sysext/reports/Classes/Report/Status/SecurityStatus.php,SecurityStatus.php,247,171,43,33,12,12107,143
PHP,typo3/sysext/backend/Configuration/Backend/Routes.php,Routes.php,288,195,60,33,0,9547,185
PHP,typo3/sysext/backend/Classes/Routing/RouteRedirect.php,RouteRedirect.php,150,102,32,16,10,4732,99
PHP,typo3/sysext/core/Classes/Resource/ResourceStorage.php,ResourceStorage.php,2977,1658,1094,225,269,122050,1529
PHP,typo3/sysext/frontend/Configuration/RequestMiddlewares.php,RequestMiddlewares.php,212,188,24,0,0,8804,86
PHP,typo3/sysext/backend/Configuration/RequestMiddlewares.php,RequestMiddlewares.php,111,94,17,0,0,4341,60
PHP,typo3/sysext/felogin/Tests/Unit/Validation/RedirectUrlValidatorTest.php,RedirectUrlValidatorTest.php,371,271,59,41,0,15824,185
PHP,typo3/sysext/backend/Classes/Authentication/PasswordReset.php,PasswordReset.php,552,396,116,40,19,23272,358
HTML,typo3/sysext/felogin/Resources/Private/Email/Templates/PasswordRecovery.html,PasswordRecovery.html,16,15,0,1,0,666,16
PHP,typo3/sysext/core/Classes/Error/PageErrorHandler/PageContentErrorHandler.php,PageContentErrorHandler.php,261,181,54,26,21,11335,184
PHP,typo3/sysext/core/Tests/Unit/Http/NormalizedParamsTest.php,NormalizedParamsTest.php,1011,884,87,40,0,35531,320
PHP,typo3/sysext/core/Classes/Http/NormalizedParams.php,NormalizedParams.php,871,349,452,70,28,29360,434
PHP,typo3/sysext/core/Classes/Authentication/MimicServiceInterface.php,MimicServiceInterface.php,35,7,24,4,0,1230,29
PHP,typo3/sysext/install/Configuration/ExtensionScanner/Php/MethodCallStaticMatcher.php,MethodCallStaticMatcher.php,1661,1659,1,1,0,68961,372
PHP,typo3/sysext/install/Classes/Middleware/Maintenance.php,Maintenance.php,344,263,58,23,42,14730,235
PHP,typo3/sysext/install/Classes/Controller/LoginController.php,LoginController.php,68,39,22,7,0,2414,50
PHP,typo3/sysext/impexp/Classes/ContextMenu/ItemProvider.php,ItemProvider.php,119,74,33,12,6,3566,77
PHP,typo3/sysext/install/Classes/Controller/InstallerController.php,InstallerController.php,616,466,97,53,23,24344,335
ReStructuredText,typo3/sysext/core/Documentation/Changelog/11.5.x/Important-103306-FrameGETParameterInTx_cms_showpicEIDDisabled.rst,Important-103306-FrameGETParameterInTx_cms_showpicEIDDisabled.rst,32,21,0,11,0,1145,21
PHP,typo3/sysext/core/Classes/Resource/Filter/ImportExportFilter.php,ImportExportFilter.php,55,23,25,7,4,2021,43
PHP,typo3/sysext/impexp/Classes/Controller/ImportController.php,ImportController.php,257,213,26,18,10,10759,200
HTML,typo3/sysext/backend/Resources/Private/Partials/RecordHistory/History.html,History.html,126,122,0,4,0,8658,103
PHP,typo3/sysext/core/Tests/Unit/Utility/Fixtures/GeneralUtilityTestClass.php,GeneralUtilityTestClass.php,26,10,12,4,0,646,21
PHP,typo3/sysext/core/Tests/Unit/Utility/GeneralUtilityTest.php,GeneralUtilityTest.php,3605,2750,596,259,19,145772,1645
PHP,typo3/sysext/core/Classes/Utility/GeneralUtility.php,GeneralUtility.php,3163,1894,1115,154,385,143422,1986
PHP,typo3/sysext/frontend/Tests/Functional/Authentication/FrontendUserAuthenticationTest.php,FrontendUserAuthenticationTest.php,114,82,15,17,0,4555,89
PHP,typo3/sysext/form/Classes/Controller/FormManagerController.php,FormManagerController.php,547,414,107,26,27,25314,354
PHP,typo3/sysext/core/Classes/Controller/FileDumpController.php,FileDumpController.php,244,184,41,19,29,9269,177
ReStructuredText,typo3/sysext/core/Documentation/Changelog/11.2/Feature-93988-BackendModuleURLsReflectIntoBrowserAddressbar.rst,Feature-93988-BackendModuleURLsReflectIntoBrowserAddressbar.rst,43,29,0,14,0,1271,29
PHP,typo3/sysext/impexp/Classes/Controller/ExportController.php,ExportController.php,381,326,29,26,33,18369,280
PHP,typo3/sysext/install/Classes/Service/EnableFileService.php,EnableFileService.php,219,133,66,20,16,7022,121
