Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
JavaScript,wp-includes/js/wp-util.js,wp-util.js,124,63,47,14,15,3900,99
PHP,wp-mail.php,wp-mail.php,246,152,53,41,42,7791,173
PHP,wp-login.php,wp-login.php,981,582,271,128,150,33737,579
PHP,wp-includes/wp-db.php,wp-db.php,3331,1508,1433,390,358,94854,1568
PHP,wp-admin/widgets.php,widgets.php,516,397,43,76,77,18132,353
PHP,wp-includes/version.php,version.php,35,6,25,4,0,629,20
PHP,wp-admin/user-new.php,user-new.php,491,399,53,39,84,20703,333
JavaScript,wp-admin/js/updates.min.js,updates.min.js,2,2,0,0,0,34791,2
JavaScript,wp-admin/js/updates.js,updates.js,2440,1325,720,395,257,79454,1229
PHP,wp-admin/includes/update.php,update.php,756,429,242,85,78,25715,429
PHP,wp-admin/includes/update-core.php,update-core.php,1321,971,270,80,105,52257,1118
PHP,wp-admin/update-core.php,update-core.php,759,577,80,102,143,30215,459
PHP,wp-admin/network/themes.php,themes.php,327,254,23,50,40,11991,220
PHP,wp-admin/themes.php,themes.php,501,411,30,60,79,20815,341
CSS,wp-admin/css/themes.min.css,themes.min.css,1,1,0,0,0,29205,1
CSS,wp-admin/css/themes.css,themes.css,1798,1467,84,247,0,37511,840
CSS,wp-admin/css/themes-rtl.min.css,themes-rtl.min.css,1,1,0,0,0,29218,1
CSS,wp-admin/css/themes-rtl.css,themes-rtl.css,1798,1467,84,247,0,37526,840
PHP,wp-admin/includes/theme.php,theme.php,678,370,233,75,53,27952,455
JavaScript,wp-admin/js/theme.min.js,theme.min.js,1,1,0,0,0,25338,1
JavaScript,wp-admin/js/theme.js,theme.js,1980,1223,346,411,149,51827,1099
PHP,wp-admin/theme-install.php,theme-install.php,343,262,44,37,12,14481,247
PHP,wp-admin/includes/template.php,template.php,2127,1160,717,250,229,78003,1297
JavaScript,wp-admin/js/tags-box.min.js,tags-box.min.js,1,1,0,0,0,3153,1
JavaScript,wp-admin/js/tags-box.js,tags-box.js,263,172,38,53,30,6842,173
PHP,wp-includes/shortcodes.php,shortcodes.php,653,281,310,62,48,20657,371
PHP,wp-includes/script-loader.php,script-loader.php,1357,838,326,193,100,65024,898
PHP,wp-admin/revision.php,revision.php,135,84,22,29,20,5005,89
PHP,wp-includes/rest-api.php,rest-api.php,1085,473,463,149,104,32095,537
PHP,wp-includes/post.php,post.php,6177,2674,2788,715,691,208738,3315
PHP,wp-includes/post-template.php,post-template.php,1804,1216,454,134,139,58131,1020
PHP,wp-admin/plugins.php,plugins.php,557,423,46,88,85,22083,349
PHP,wp-admin/includes/plugin-install.php,plugin-install.php,691,427,206,58,81,30862,492
PHP,wp-admin/plugin-install.php,plugin-install.php,170,99,44,27,18,6184,108
