Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Sass,x2engine/compass/themes/x2engine/css/x2forms.scss,x2forms.scss,880,680,138,62,0,21079,526
CSS,x2engine/themes/x2engine/css/x2forms.css,x2forms.css,1107,667,394,46,0,37023,662
Sass,x2engine/compass/themes/x2engine/css/x2chart.scss,x2chart.scss,327,215,82,30,0,7458,207
CSS,x2engine/themes/x2engine/css/x2chart.css,x2chart.css,348,203,132,13,0,10394,247
PHP,x2engine/protected/tests/fixtures/x2_events.GetEvents.php,x2_events.GetEvents.php,146,144,0,2,0,3713,53
PHP,x2engine/protected/tests/fixtures/x2_email_inboxes.php,x2_email_inboxes.php,75,40,34,1,0,2899,57
PHP,x2engine/protected/tests/fixtures/x2_contacts.ImportTest.php,x2_contacts.ImportTest.php,157,157,0,0,0,4657,95
PHP,x2engine/protected/tests/fixtures/x2_campaigns.CampaignMailingBehaviorTest.php,x2_campaigns.CampaignMailingBehaviorTest.php,148,144,0,4,0,3885,78
CSS,x2engine/protected/modules/mobile/assets/css/x2MobileTheme.css,x2MobileTheme.css,1222,661,460,101,0,47273,599
Sass,x2engine/compass/themes/x2engine/css/workflowFunnel.scss,workflowFunnel.scss,101,63,34,4,0,3211,72
CSS,x2engine/themes/x2engine/css/workflowFunnel.css,workflowFunnel.css,108,57,48,3,0,4391,80
JavaScript,x2engine/js/widgets.js,widgets.js,262,169,60,33,20,10253,189
Sass,x2engine/compass/themes/x2engine/css/widgetListCombined.scss,widgetListCombined.scss,48,5,37,6,0,2297,38
Sass,x2engine/compass/themes/x2engine/css/whatsNew.scss,whatsNew.scss,245,148,58,39,0,5473,154
CSS,x2engine/themes/x2engine/css/whatsNew.css,whatsNew.css,259,142,89,28,0,7509,180
PHP,x2engine/protected/components/views/webForm.php,webForm.php,353,256,50,47,37,9806,212
Sass,x2engine/compass/themes/x2engine/css/viewChangelog.scss,viewChangelog.scss,41,5,34,2,0,2108,35
CSS,x2engine/themes/x2engine/css/viewChangelog.css,viewChangelog.css,91,6,85,0,0,5092,44
