Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
JSON,client/strings/zh-tw.json,zh-tw.json,766,766,0,0,0,40824,767
JSON,client/strings/zh-cn.json,zh-cn.json,1080,1080,0,0,0,60551,1081
JSON,client/strings/vi-vn.json,vi-vn.json,722,722,0,0,0,47175,723
JSON,client/strings/uk.json,uk.json,1080,1080,0,0,0,91384,1081
JSON,client/strings/sv.json,sv.json,744,744,0,0,0,42764,745
JSON,client/strings/ru.json,ru.json,1080,1080,0,0,0,94560,1081
JSON,client/strings/pt-br.json,pt-br.json,780,780,0,0,0,49480,781
JavaScript,server/utils/podcastUtils.js,podcastUtils.js,316,205,86,25,73,9964,220
JSON,client/strings/pl.json,pl.json,808,808,0,0,0,47583,809
JSON,client/strings/no.json,no.json,1002,1002,0,0,0,58762,1003
JSON,client/strings/nl.json,nl.json,1067,1067,0,0,0,66218,1068
JSON,client/strings/lt.json,lt.json,709,709,0,0,0,41402,710
JavaScript,client/store/libraries.js,libraries.js,361,311,26,24,56,11723,245
JSON,client/strings/it.json,it.json,1071,1071,0,0,0,67519,1072
JavaScript,server/utils/index.js,index.js,245,138,89,18,33,6461,162
JSON,client/strings/hu.json,hu.json,1027,1027,0,0,0,68577,1028
JSON,client/strings/hr.json,hr.json,1080,1080,0,0,0,68302,1081
JSON,client/strings/hi.json,hi.json,93,93,0,0,0,6138,94
JSON,client/strings/he.json,he.json,784,784,0,0,0,52564,785
JSON,client/strings/gu.json,gu.json,167,167,0,0,0,10940,168
JSON,client/strings/fr.json,fr.json,1074,1074,0,0,0,73631,1075
JSON,client/strings/et.json,et.json,752,752,0,0,0,43425,753
JSON,client/strings/es.json,es.json,1080,1080,0,0,0,70197,1081
JSON,client/strings/en-us.json,en-us.json,1082,1082,0,0,0,62278,1083
JSON,client/strings/de.json,de.json,1080,1080,0,0,0,71167,1081
JSON,client/strings/da.json,da.json,679,679,0,0,0,38283,680
JSON,client/strings/cs.json,cs.json,1003,1003,0,0,0,62884,1004
JSON,client/strings/bn.json,bn.json,1072,1072,0,0,0,116986,1073
JSON,client/strings/bg.json,bg.json,768,768,0,0,0,62443,769
JavaScript,server/controllers/PodcastController.js,PodcastController.js,487,308,114,65,67,15685,251
Vue,client/components/modals/libraries/LibrarySettings.vue,LibrarySettings.vue,208,206,0,2,9,9147,150
Vue,client/components/readers/EpubReader.vue,EpubReader.vue,455,378,36,41,54,15230,329
JavaScript,server/Auth.js,Auth.js,1008,639,251,118,134,37705,630
