Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Python,aiohttp/web_urldispatcher.py,web_urldispatcher.py,1274,1245,4,25,11,42810,801
ReStructuredText,docs/web_reference.rst,web_reference.rst,3019,1870,0,1149,0,97674,1573
Python,aiohttp/web_middlewares.py,web_middlewares.py,121,79,28,14,6,4197,93
Python,aiohttp/web_fileresponse.py,web_fileresponse.py,350,296,21,33,17,13564,272
ReStructuredText,docs/web_advanced.rst,web_advanced.rst,1248,852,0,396,0,41306,795
Python,tests/test_web_urldispatcher.py,test_web_urldispatcher.py,970,887,37,46,9,30432,439
Python,tests/test_web_sendfile.py,test_web_sendfile.py,128,91,1,36,0,4727,44
Python,tests/test_web_request.py,test_web_request.py,909,767,16,126,5,29500,470
Python,tests/test_web_middleware.py,test_web_middleware.py,482,411,3,68,4,16378,237
Python,tests/test_web_functional.py,test_web_functional.py,2182,2169,1,12,5,63732,773
Python,tests/test_multipart.py,test_multipart.py,1500,1471,0,29,5,55766,714
Python,tests/test_http_parser.py,test_http_parser.py,1872,1742,8,122,23,63299,741
Python,tests/test_client_request.py,test_client_request.py,1459,1162,10,287,39,46038,673
Python,tests/test_client_functional.py,test_client_functional.py,3987,3953,2,32,9,128079,1278
Python,aiohttp/multipart.py,multipart.py,1073,1009,34,30,30,36999,760
Python,aiohttp/http_parser.py,http_parser.py,1007,949,21,37,27,35573,713
Python,aiohttp/formdata.py,formdata.py,159,124,8,27,30,5556,121
ReStructuredText,docs/contributing.rst,contributing.rst,364,224,0,140,0,11087,208
Python,aiohttp/client_reqrep.py,client_reqrep.py,1158,1127,3,28,16,38834,838
ReStructuredText,vendor/README.rst,README.rst,23,15,0,8,0,543,16
Plain Text,CONTRIBUTORS.txt,CONTRIBUTORS.txt,387,387,0,0,0,5766,388
