Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Rust,apollo-router/src/axum_factory/utils.rs,utils.rs,106,83,7,16,11,3680,77
Rust,apollo-router/src/axum_factory/tests.rs,tests.rs,2389,2053,125,211,18,73384,913
Rust,apollo-router/src/services/router/tests.rs,tests.rs,595,529,24,42,6,21564,261
Rust,apollo-router/src/plugins/test.rs,test.rs,215,155,40,20,4,7515,158
Rust,apollo-router/src/services/subgraph_service.rs,subgraph_service.rs,3236,2822,144,270,132,128553,1506
Rust,apollo-router/src/services/router/service.rs,service.rs,957,827,61,69,76,39491,701
Rust,apollo-router/src/services/http/service.rs,service.rs,389,334,13,42,23,13140,304
Rust,apollo-router/src/router_factory.rs,router_factory.rs,1139,981,66,92,63,42428,739
Rust,apollo-router/src/services/router.rs,router.rs,400,325,39,36,20,13054,250
Rust,apollo-router/tests/integration/redis.rs,redis.rs,1003,908,27,68,3,35634,375
Rust,apollo-router/src/spec/query.rs,query.rs,1220,1054,76,90,144,49363,805
Rust,apollo-router/src/query_planner/plan.rs,plan.rs,609,518,54,37,56,22865,344
Rust,apollo-router/tests/integration/operation_limits.rs,operation_limits.rs,298,259,19,20,4,8518,177
Rust,apollo-router/src/context/mod.rs,mod.rs,460,320,92,48,14,15985,304
Rust,apollo-router/src/configuration/mod.rs,mod.rs,1732,1270,273,189,80,61435,975
Rust,apollo-router/src/plugins/mod.rs,mod.rs,42,36,3,3,0,1322,39
Rust,apollo-router/src/plugins/telemetry/logging/mod.rs,mod.rs,140,127,1,12,0,5283,69
Rust,apollo-router/tests/integration/telemetry/metrics.rs,metrics.rs,222,185,7,30,7,8381,110
HTML,licenses.html,licenses.html,16108,13694,0,2414,0,906152,2678
Shell,scripts/install.sh,install.sh,203,171,17,15,10,4894,137
Rust,apollo-router/src/services/http.rs,http.rs,92,77,0,15,1,2377,68
Rust,apollo-router/src/query_planner/fetch.rs,fetch.rs,723,602,46,75,60,27122,523
Rust,apollo-router/src/plugins/telemetry/config_new/events.rs,events.rs,1020,913,28,79,78,37027,435
YAML,dockerfiles/tracing/docker-compose.zipkin.yml,docker-compose.zipkin.yml,41,35,3,3,0,856,35
YAML,dockerfiles/tracing/docker-compose.jaeger.yml,docker-compose.jaeger.yml,42,38,1,3,0,886,36
YAML,dockerfiles/tracing/docker-compose.datadog.yml,docker-compose.datadog.yml,40,37,0,3,0,845,33
Rust,apollo-router/src/plugins/telemetry/tracing/datadog.rs,datadog.rs,182,147,18,17,10,7186,149
Rust,apollo-router/tests/integration/coprocessor.rs,coprocessor.rs,26,22,0,4,1,810,23
Rust,apollo-router/src/services/layers/content_negotiation.rs,content_negotiation.rs,297,267,7,23,61,12515,218
YAML,.circleci/config.yml,config.yml,1125,1002,79,44,0,42447,513
Rust,apollo-router/tests/common.rs,common.rs,1166,1039,24,103,61,41424,712
Rust,apollo-router/src/spec/query/change.rs,change.rs,1084,938,15,131,49,32859,445
Rust,apollo-router/src/query_planner/caching_query_planner.rs,caching_query_planner.rs,884,779,20,85,43,31450,623
Rust,apollo-router/src/query_planner/bridge_query_planner.rs,bridge_query_planner.rs,1778,1597,52,129,110,67945,1130
Rust,apollo-router/src/axum_factory/axum_http_server_factory.rs,axum_http_server_factory.rs,871,744,48,79,52,31696,617
Rust,apollo-router/src/plugins/telemetry/apollo_exporter.rs,apollo_exporter.rs,458,390,31,37,40,17069,352
Markdown,helm/chart/router/README.md,README.md,98,82,0,16,0,5753,79
YAML,helm/chart/router/Chart.yaml,Chart.yaml,29,6,20,3,0,1364,25
TOML,apollo-router-scaffold/Cargo.toml,Cargo.toml,20,19,0,1,0,478,20
TOML,apollo-router-benchmarks/Cargo.toml,Cargo.toml,29,25,0,4,0,653,24
TOML,apollo-router/Cargo.toml,Cargo.toml,374,306,39,29,1,10783,306
TOML,apollo-router-scaffold/templates/base/xtask/Cargo.template.toml,Cargo.template.toml,20,17,1,2,0,542,17
TOML,apollo-router-scaffold/templates/base/Cargo.template.toml,Cargo.template.toml,40,33,3,4,0,962,35
Markdown,CHANGELOG.md,CHANGELOG.md,13379,8426,0,4953,0,742864,6505
