Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Go,server/application/websocket_test.go,websocket_test.go,46,33,1,12,4,885,33
Go,server/application/websocket.go,websocket.go,196,165,13,18,29,5087,133
Go,util/webhook/webhook_test.go,webhook_test.go,634,547,32,55,10,28457,323
Markdown,docs/operator-manual/webhook.md,webhook.md,109,78,0,31,0,4744,77
Go,util/webhook/webhook.go,webhook.go,477,399,34,44,120,18792,312
YAML,manifests/ha/base/redis-ha/chart/values.yaml,values.yaml,29,29,0,0,0,529,30
YAML,reposerver/repository/testdata/in-bounds-values-file-link/values-2.yaml,values-2.yaml,1,1,0,0,0,11,2
YAML,manifests/ha/base/redis-ha/chart/upstream.yaml,upstream.yaml,1426,1342,25,59,0,48867,591
Go,server/application/terminal.go,terminal.go,336,278,12,46,76,10326,210
Go,controller/sync_test.go,sync_test.go,662,543,45,74,2,21652,300
Go,controller/sync.go,sync.go,538,432,49,57,128,20086,347
Go,controller/state.go,state.go,1054,842,111,101,250,44688,720
Go,cmd/argocd/commands/admin/settings.go,settings.go,629,553,5,71,128,20903,337
Go,util/settings/settings.go,settings.go,2259,1830,236,193,540,81910,1314
Go,server/settings/settings.go,settings.go,190,164,7,19,44,6078,122
Go,util/session/sessionmanager_test.go,sessionmanager_test.go,1251,1024,44,183,39,43611,410
Go,util/session/sessionmanager.go,sessionmanager.go,646,496,73,77,131,21588,413
Go,server/session/session.go,session.go,98,76,10,12,19,3579,69
Go,server/server_test.go,server_test.go,1574,1392,33,149,63,58787,715
Go,server/server.go,server.go,1549,1308,100,141,326,58170,1087
Go,test/e2e/selective_sync_test.go,selective_sync_test.go,119,107,4,8,4,4832,70
YAML,manifests/ha/base/redis-ha/chart/requirements.yaml,requirements.yaml,4,4,0,0,0,103,5
Go,reposerver/repository/repository_test.go,repository_test.go,4046,3456,168,422,139,153202,1640
Go,reposerver/repository/repository.go,repository.go,2820,2296,213,311,782,109148,1606
Go,cmd/argocd/commands/admin/redis_initial_password.go,redis_initial_password.go,100,81,1,18,8,3194,73
Go,util/rand/rand_test.go,rand_test.go,18,14,0,4,0,342,14
Go,util/rand/rand.go,rand.go,30,23,3,4,3,949,26
TypeScript,ui/src/app/applications/components/pod-terminal-viewer/pod-terminal-viewer.tsx,pod-terminal-viewer.tsx,262,231,3,28,30,8144,197
YAML,reposerver/repository/testdata/out-of-bounds.yaml,out-of-bounds.yaml,1,1,0,0,0,11,2
Go,util/oidc/oidc.go,oidc.go,688,557,82,49,160,23554,456
Go,util/argo/diff/normalize_test.go,normalize_test.go,110,91,9,10,0,3616,70
Go,util/argo/diff/normalize.go,normalize.go,68,56,4,8,21,2026,41
YAML,manifests/namespace-install.yaml,namespace-install.yaml,2265,2263,2,0,0,68041,614
YAML,manifests/ha/namespace-install.yaml,namespace-install.yaml,3469,3417,4,48,0,113359,1072
Go,cmd/argocd/commands/login.go,login.go,375,329,20,26,61,13700,297
YAML,manifests/base/redis/kustomization.yaml,kustomization.yaml,10,9,0,1,0,250,10
YAML,manifests/ha/base/redis-ha/kustomization.yaml,kustomization.yaml,308,292,7,9,0,7062,55
YAML,manifests/install.yaml,install.yaml,23188,23186,2,0,0,1254931,3570
YAML,manifests/ha/install.yaml,install.yaml,24392,24340,4,48,0,1300249,4028
Go,controller/cache/info_test.go,info_test.go,760,704,0,56,1,19145,268
Go,controller/cache/info.go,info.go,433,383,7,43,176,13340,273
Go,util/helm/index_test.go,index_test.go,82,77,0,5,0,2413,49
Go,util/helm/helm_test.go,helm_test.go,235,199,0,36,19,7215,115
Go,util/helm/helm.go,helm.go,193,158,12,23,42,5375,138
YAML,manifests/ha/base/redis-ha/overlays/haproxy-role.yaml,haproxy-role.yaml,20,20,0,0,0,274,12
Go,pkg/apiclient/grpcproxy.go,grpcproxy.go,228,201,2,25,58,5646,162
Markdown,docs/getting_started.md,getting_started.md,228,152,0,76,0,9171,126
