Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
JavaScript,test/wrong_alg.tests.js,wrong_alg.tests.js,42,31,2,9,0,1423,24
JavaScript,test/verify.tests.js,verify.tests.js,361,312,4,45,10,14038,166
JavaScript,verify.js,verify.js,181,143,1,37,47,5474,109
JavaScript,sign.js,sign.js,191,166,0,25,39,6488,137
JavaScript,test/schema.tests.js,schema.tests.js,136,114,0,22,1,4110,85
JSON,package.json,package.json,52,52,0,0,0,1177,48
JavaScript,test/jwt.asymmetric_signing.tests.js,jwt.asymmetric_signing.tests.js,521,439,7,75,2,18913,162
JavaScript,index.js,index.js,8,8,0,0,0,276,9
Markdown,README.md,README.md,312,224,0,88,0,12136,181
Markdown,CHANGELOG.md,CHANGELOG.md,377,218,0,159,0,28293,209
