Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Plain Text,.github/styles/vocab.txt,vocab.txt,274,274,0,0,0,2311,275
TypeScript,packages/techdocs-common/src/stages/generate/techdocs.ts,techdocs.ts,161,116,31,14,9,4887,132
TypeScript,packages/backend-common/src/paths.ts,paths.ts,34,8,23,3,3,1288,28
JSON,plugins/scaffolder-backend/package.json,package.json,84,84,0,0,0,2296,79
TypeScript,plugins/scaffolder-backend/src/scaffolder/actions/builtin/fetch/helpers.ts,helpers.ts,87,62,18,7,13,2537,74
TypeScript,packages/techdocs-common/src/stages/generate/helpers.ts,helpers.ts,255,135,98,22,19,8652,169
TypeScript,packages/catalog-model/src/location/helpers.ts,helpers.ts,108,55,40,13,15,3554,67
TypeScript,packages/catalog-model/src/location/helpers.test.ts,helpers.test.ts,119,96,15,8,2,4137,74
TypeScript,packages/techdocs-common/src/stages/generate/helpers.test.ts,helpers.test.ts,303,237,16,50,11,9431,161
TypeScript,plugins/scaffolder-backend/src/scaffolder/actions/builtin/publish/githubPullRequest.ts,githubPullRequest.ts,249,206,15,28,19,6839,184
TypeScript,plugins/app-backend/src/lib/config.ts,config.ts,106,82,19,5,0,3589,75
TypeScript,plugins/catalog-backend/src/next/Stitcher.ts,Stitcher.ts,217,150,45,22,14,7930,178
Markdown,plugins/scaffolder-backend/CHANGELOG.md,CHANGELOG.md,785,592,0,193,0,27316,476
JavaScript,plugins/scaffolder-backend/.eslintrc.js,.eslintrc.js,8,8,0,0,0,326,9
