Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
TypeScript,frontend/src/charts/tooltip.ts,tooltip.ts,117,85,23,9,8,3369,92
Python,src/fava/template_filters.py,template_filters.py,71,47,8,16,9,1699,49
TypeScript,frontend/src/charts/line.ts,line.ts,94,70,13,11,6,2649,72
TypeScript,frontend/src/keyboard-shortcuts.ts,keyboard-shortcuts.ts,266,194,56,16,84,7152,202
TypeScript,frontend/src/sidebar/index.ts,index.ts,25,17,3,5,1,624,18
HTML,src/fava/templates/help.html,help.html,23,21,0,2,0,526,21
Python,src/fava/core/file.py,file.py,526,400,86,40,28,16440,327
TypeScript,frontend/src/charts/context.ts,context.ts,32,22,6,4,2,1193,28
TypeScript,frontend/src/charts/bar.ts,bar.ts,188,148,19,21,10,5601,151
Python,src/fava/application.py,application.py,517,445,68,4,2,17745,411
HTML,src/fava/templates/_layout.html,_layout.html,26,25,1,0,0,1186,27
Svelte,frontend/src/charts/Treemap.svelte,Treemap.svelte,87,76,1,10,4,2517,75
Svelte,frontend/src/charts/ScatterPlot.svelte,ScatterPlot.svelte,83,69,3,11,1,2248,71
Svelte,frontend/src/reports/query/Query.svelte,Query.svelte,84,73,4,7,4,2504,71
Svelte,frontend/src/modals/EntryContext.svelte,EntryContext.svelte,74,71,0,3,1,1863,54
