Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Razor,BTCPayServer/Views/Shared/_StoreHeader.cshtml,_StoreHeader.cshtml,9,8,0,1,0,313,9
Razor,BTCPayServer/Views/Shared/_StatusMessage.cshtml,_StatusMessage.cshtml,23,22,0,1,1,758,18
Razor,BTCPayServer/Views/Shared/_LayoutSignedOut.cshtml,_LayoutSignedOut.cshtml,96,85,0,11,2,2929,72
Razor,BTCPayServer/Views/Shared/_Layout.cshtml,_Layout.cshtml,83,78,0,5,5,3557,76
Razor,BTCPayServer/Views/UIStores/WalletSettings.cshtml,WalletSettings.cshtml,237,228,0,9,8,14880,188
Razor,BTCPayServer/Views/UIWallets/WalletSend.cshtml,WalletSend.cshtml,233,220,0,13,6,12341,180
Razor,BTCPayServer/Views/UIWallets/WalletPSBTDecoded.cshtml,WalletPSBTDecoded.cshtml,247,235,0,12,13,13784,193
Razor,BTCPayServer/Views/UIWallets/WalletPSBT.cshtml,WalletPSBT.cshtml,110,102,0,8,11,4840,94
Razor,BTCPayServer/Views/UIPullPayment/ViewPullPayment.cshtml,ViewPullPayment.cshtml,282,278,0,4,6,16488,234
Razor,BTCPayServer/Views/UIPaymentRequest/ViewPaymentRequest.cshtml,ViewPaymentRequest.cshtml,331,325,1,5,26,21048,278
Razor,BTCPayServer/Views/Shared/Crowdfund/Public/ViewCrowdfund.cshtml,ViewCrowdfund.cshtml,394,381,0,13,45,20936,301
Razor,BTCPayServer/Views/Shared/Bitcoin/ViewBitcoinLikePaymentData.cshtml,ViewBitcoinLikePaymentData.cshtml,113,111,0,2,7,5074,102
Razor,BTCPayServer/Views/Shared/PointOfSale/UpdatePointOfSale.cshtml,UpdatePointOfSale.cshtml,321,311,0,10,5,19952,221
Razor,BTCPayServer/Views/Shared/Crowdfund/UpdateCrowdfund.cshtml,UpdateCrowdfund.cshtml,340,326,0,14,4,20684,218
Razor,BTCPayServer/Views/Shared/TemplateEditor.cshtml,TemplateEditor.cshtml,179,174,0,5,13,11526,137
C#,BTCPayServer/Storage/StorageExtensions.cs,StorageExtensions.cs,68,63,0,5,1,2940,56
C#,BTCPayServer/Hosting/Startup.cs,Startup.cs,365,328,13,24,12,17197,275
C#,BTCPayServer.Tests/SeleniumTester.cs,SeleniumTester.cs,652,548,38,66,54,26264,399
Razor,BTCPayServer/Views/UIStores/ImportWallet/Scan.cshtml,Scan.cshtml,106,97,0,9,6,3747,81
Razor,BTCPayServer/Views/Shared/PosData.cshtml,PosData.cshtml,133,130,1,2,19,5581,85
Razor,BTCPayServer/Views/Shared/PayButton/PayButton.cshtml,PayButton.cshtml,641,624,0,17,33,30370,430
Razor,BTCPayServer/Views/UIAccount/Login.cshtml,Login.cshtml,73,69,0,4,0,3576,61
Razor,BTCPayServer/Views/Shared/PointOfSale/Public/Light.cshtml,Light.cshtml,35,35,0,0,0,1410,32
Razor,BTCPayServer/Views/UILNURL/EditLightningAddress.cshtml,EditLightningAddress.cshtml,171,160,0,11,11,8929,135
C#,BTCPayServer/Configuration/DefaultConfiguration.cs,DefaultConfiguration.cs,182,173,0,9,9,12697,148
C#,BTCPayServer/Filters/ContentSecurityPolicyAttribute.cs,ContentSecurityPolicyAttribute.cs,119,108,0,11,20,4429,83
C#,BTCPayServer.Abstractions/Security/ContentSecurityPolicies.cs,ContentSecurityPolicies.cs,150,126,8,16,16,4359,90
Razor,BTCPayServer/Views/UIInvoice/Checkout.cshtml,Checkout.cshtml,327,327,0,0,14,20560,237
Razor,BTCPayServer/Views/Shared/Bitcoin/BitcoinLikeMethodCheckoutNoScript.cshtml,BitcoinLikeMethodCheckoutNoScript.cshtml,8,8,0,0,0,407,9
C#,BTCPayServer.Tests/BTCPayServerTester.cs,BTCPayServerTester.cs,371,324,2,45,28,15606,258
Razor,BTCPayServer/Views/UIManage/APIKeys.cshtml,APIKeys.cshtml,124,118,0,6,0,6189,107
