Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Rust,cranelift/codegen/src/machinst/vcode.rs,vcode.rs,1522,941,398,183,121,61609,1115
Rust,crates/wasmtime/src/values.rs,values.rs,290,194,67,29,20,8525,187
Rust,crates/wasmtime/src/types.rs,types.rs,551,337,146,68,17,16431,332
Rust,crates/wasmtime/src/func/typed.rs,typed.rs,633,456,116,61,28,20879,382
Rust,crates/runtime/src/traphandlers.rs,traphandlers.rs,636,350,213,73,27,23700,449
Rust,crates/c-api/src/trap.rs,trap.rs,180,160,0,20,7,5177,111
Rust,crates/fuzzing/src/generators/table_ops.rs,table_ops.rs,373,295,35,43,12,12270,284
Rust,crates/wasmtime/src/store.rs,store.rs,2074,1014,889,171,57,84912,1367
Rust,crates/wasmtime/src/module/registry.rs,registry.rs,356,247,80,29,24,13754,256
Rust,tests/all/pooling_allocator.rs,pooling_allocator.rs,662,531,24,107,25,20574,258
Rust,crates/runtime/src/instance/allocator/pooling.rs,pooling.rs,1546,1104,247,195,71,54903,906
Rust,crates/fuzzing/src/oracles.rs,oracles.rs,873,604,171,98,68,33024,625
Rust,crates/environ/src/module_environ.rs,module_environ.rs,822,646,90,86,51,35482,593
Rust,crates/environ/src/module.rs,module.rs,1038,570,369,99,74,41336,741
Rust,tests/all/main.rs,main.rs,68,56,5,7,2,1631,59
Rust,crates/wasmtime/src/linker.rs,linker.rs,1298,609,634,55,67,50063,746
Rust,tests/all/linker.rs,linker.rs,379,327,10,42,16,12117,192
Rust,crates/runtime/src/libcalls.rs,libcalls.rs,514,342,132,40,16,18734,341
Rust,crates/types/src/lib.rs,lib.rs,385,266,74,45,17,12239,265
Rust,crates/cranelift/src/lib.rs,lib.rs,223,124,73,26,12,8476,179
Rust,cranelift/codegen/src/isa/aarch64/lower/isle.rs,isle.rs,726,602,22,102,92,23553,419
Rust,cranelift/codegen/src/isa/x64/lower/isle.rs,isle.rs,1095,884,53,158,85,34682,566
Rust,crates/runtime/src/instance.rs,instance.rs,1192,761,293,138,54,46464,775
Rust,crates/wasmtime/src/instance.rs,instance.rs,843,453,330,60,22,32953,561
Rust,cranelift/codegen/src/isa/aarch64/inst/imms.rs,imms.rs,1206,863,219,124,167,38298,675
Rust,tests/all/gc.rs,gc.rs,489,406,15,68,12,14333,260
Rust,tests/all/funcref.rs,funcref.rs,158,127,6,25,5,4592,86
Rust,crates/wasmtime/src/func.rs,func.rs,2190,976,1058,156,52,86864,1450
Rust,crates/runtime/src/externref.rs,externref.rs,1076,571,385,120,36,39988,701
Rust,cranelift/wasm/src/environ/dummy.rs,dummy.rs,885,715,69,101,14,27564,471
Rust,crates/cranelift/src/compiler.rs,compiler.rs,1071,830,134,107,59,39812,736
Rust,cranelift/codegen/src/isa/x64/inst/args.rs,args.rs,1846,1566,135,145,114,54702,1265
