Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Python,cloudinit/util.py,util.py,3211,3068,69,74,99,96496,2230
Python,tests/unittests/test_util.py,test_util.py,3112,3090,10,12,8,114817,1863
Python,tests/unittests/test_stages.py,test_stages.py,628,618,3,7,0,24074,242
Python,tests/integration_tests/modules/test_set_password.py,test_set_password.py,222,217,5,0,0,7589,165
Python,tests/unittests/config/test_schema.py,test_schema.py,2062,1879,120,63,37,73730,1053
Python,tests/integration_tests/test_logging.py,test_logging.py,22,22,0,0,0,736,17
Python,tests/unittests/sources/test_init.py,test_init.py,1081,1060,4,17,7,42790,563
Python,tests/integration_tests/modules/test_cli.py,test_cli.py,89,75,8,6,2,2461,52
Python,tests/unittests/config/test_cc_set_passwords.py,test_cc_set_passwords.py,729,719,1,9,9,27147,348
Python,cloudinit/stages.py,stages.py,977,950,20,7,10,35289,733
Python,cloudinit/config/schema.py,schema.py,1355,1226,77,52,87,46568,985
Python,cloudinit/cmd/main.py,main.py,1096,961,56,79,66,35277,749
Python,cloudinit/config/cc_set_passwords.py,cc_set_passwords.py,311,300,8,3,13,11277,255
Python,cloudinit/sources/__init__.py,__init__.py,1198,1156,18,24,10,43147,908
Python,cloudinit/sources/DataSourceVultr.py,DataSourceVultr.py,158,125,15,18,3,4599,122
Python,cloudinit/sources/DataSourceLXD.py,DataSourceLXD.py,476,382,48,46,38,17465,369
