Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Python,ckan/views/user.py,user.py,934,924,2,8,1,33284,586
Python,ckan/tests/logic/test_logic.py,test_logic.py,114,107,1,6,1,3403,75
Python,ckan/tests/logic/action/test_create.py,test_create.py,2211,2145,7,59,16,75898,899
Python,ckan/tests/controllers/test_api.py,test_api.py,417,403,14,0,2,13287,218
Python,ckan/lib/search/query.py,query.py,458,337,62,59,75,16853,328
Python,ckan/views/dataset.py,dataset.py,1235,1120,46,69,76,42209,735
Python,ckan/logic/action/create.py,create.py,1517,1280,149,88,60,54574,944
Python,ckan/common.py,common.py,281,244,21,16,1,6984,176
Python,ckan/lib/search/common.py,common.py,114,87,5,22,10,3292,84
Python,ckanext/datatablesview/blueprint.py,blueprint.py,217,209,1,7,0,7441,150
Python,ckan/views/api.py,api.py,518,501,1,16,1,18828,358
Python,ckan/lib/search/__init__.py,__init__.py,393,380,3,10,4,13196,290
Python,ckan/logic/__init__.py,__init__.py,874,846,5,23,16,30493,610
