Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
ReStructuredText,user_guide_src/source/changelogs/v4.1.9.rst,v4.1.9.rst,16,11,0,5,0,612,12
ReStructuredText,user_guide_src/source/changelogs/v4.1.8.rst,v4.1.8.rst,15,10,0,5,0,356,11
ReStructuredText,user_guide_src/source/changelogs/v4.1.6.rst,v4.1.6.rst,71,50,0,21,0,2306,49
ReStructuredText,user_guide_src/source/general/urls.rst,urls.rst,101,67,0,34,0,3325,62
ReStructuredText,user_guide_src/source/installation/upgrading.rst,upgrading.rst,28,24,0,4,0,670,24
ReStructuredText,user_guide_src/source/installation/upgrade_418.rst,upgrade_418.rst,18,13,0,5,0,760,13
PHP,app/Config/Boot/testing.php,testing.php,32,5,24,3,2,1236,21
ReStructuredText,user_guide_src/source/libraries/sessions.rst,sessions.rst,666,469,0,197,0,27568,454
ReStructuredText,user_guide_src/source/concepts/security.rst,security.rst,225,161,0,64,0,7070,103
ReStructuredText,user_guide_src/source/incoming/request.rst,request.rst,125,84,0,41,0,5534,73
PHP,app/Config/Boot/production.php,production.php,21,4,15,2,1,832,15
ReStructuredText,user_guide_src/source/general/logging.rst,logging.rst,128,99,0,29,0,7240,90
ReStructuredText,user_guide_src/source/changelogs/index.rst,index.rst,45,40,0,5,0,595,40
ReStructuredText,user_guide_src/source/incoming/filters.rst,filters.rst,185,126,0,59,0,8393,117
ReStructuredText,user_guide_src/source/general/errors.rst,errors.rst,115,74,0,41,0,4496,73
PHP,app/Views/errors/html/error_exception.php,error_exception.php,397,338,1,58,28,15717,221
PHP,app/Views/errors/html/error_404.php,error_404.php,84,82,0,2,2,2059,72
ReStructuredText,user_guide_src/source/general/environments.rst,environments.rst,119,84,0,35,0,3837,84
PHP,app/Config/Boot/development.php,development.php,32,5,24,3,2,1278,21
Python,user_guide_src/source/conf.py,conf.py,140,48,60,32,0,4682,105
JSON,admin/framework/composer.json,composer.json,48,48,0,0,0,1355,45
JSON,composer.json,composer.json,97,97,0,0,0,3404,86
PHP,tests/system/HTTP/URITest.php,URITest.php,1004,735,71,198,0,27755,398
Markdown,SECURITY.md,SECURITY.md,27,17,0,10,0,1407,18
PHP,tests/system/Router/RouterTest.php,RouterTest.php,880,762,14,104,1,29706,340
PHP,system/Router/Router.php,Router.php,659,406,177,76,32,19420,341
PHP,tests/system/API/ResponseTraitTest.php,ResponseTraitTest.php,597,466,14,117,3,19177,238
PHP,system/API/ResponseTrait.php,ResponseTrait.php,362,162,162,38,14,11730,196
PHP,tests/system/RESTful/ResourceControllerTest.php,ResourceControllerTest.php,368,263,26,79,1,10045,145
PHP,system/HTTP/RequestTrait.php,RequestTrait.php,335,178,104,53,41,10574,204
PHP,tests/system/HTTP/RequestTest.php,RequestTest.php,679,584,31,64,0,20427,224
PHP,system/HTTP/Request.php,Request.php,139,43,78,18,2,2928,73
PHP,system/Session/Handlers/RedisHandler.php,RedisHandler.php,329,180,88,61,40,9271,174
PHP,system/Test/Mock/MockCLIConfig.php,MockCLIConfig.php,40,28,8,4,0,1142,36
PHP,system/Test/Mock/MockAppConfig.php,MockAppConfig.php,42,30,8,4,0,1227,38
PHP,system/Session/Handlers/MemcachedHandler.php,MemcachedHandler.php,303,161,81,61,31,7953,150
PHP,tests/system/Language/LanguageTest.php,LanguageTest.php,331,229,50,52,2,11287,194
PHP,system/Language/Language.php,Language.php,262,130,84,48,22,6811,143
PHP,tests/system/HTTP/IncomingRequestTest.php,IncomingRequestTest.php,755,548,56,151,0,24247,336
PHP,tests/system/Filters/FiltersTest.php,FiltersTest.php,1160,974,37,149,0,33273,279
PHP,system/Filters/Filters.php,Filters.php,543,265,194,84,43,15575,286
PHP,system/Debug/Exceptions.php,Exceptions.php,503,293,123,87,39,15929,297
PHP,system/Session/Handlers/DatabaseHandler.php,DatabaseHandler.php,294,141,99,54,19,7106,143
PHP,tests/system/CommonFunctionsTest.php,CommonFunctionsTest.php,620,430,74,116,0,17872,297
PHP,system/Common.php,Common.php,1227,598,465,164,120,35714,676
PHP,tests/system/Commands/CommandTest.php,CommandTest.php,179,133,15,31,0,5433,101
PHP,tests/system/CodeIgniterTest.php,CodeIgniterTest.php,596,410,46,140,1,18484,186
PHP,system/CodeIgniter.php,CodeIgniter.php,1106,540,389,177,86,33117,597
Markdown,CHANGELOG.md,CHANGELOG.md,3416,3161,0,255,0,398097,3077
PHP,app/Config/App.php,App.php,465,38,394,33,0,15966,191
PHP,user_guide_src/source/libraries/sessions/043.php,043.php,14,7,3,4,0,282,11
PHP,user_guide_src/source/libraries/sessions/042.php,042.php,12,8,1,3,0,234,10
PHP,user_guide_src/source/libraries/sessions/041.php,041.php,12,8,1,3,0,235,10
PHP,user_guide_src/source/libraries/sessions/040.php,040.php,11,7,1,3,0,148,9
PHP,user_guide_src/source/libraries/sessions/039.php,039.php,12,8,1,3,0,229,10
