Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
PHP,tests/Composer/Test/Repository/Fixtures/installed_relative.php,installed_relative.php,103,98,5,0,0,3240,65
PHP,tests/Composer/Test/Repository/Fixtures/installed_complex.php,installed_complex.php,26,26,0,0,0,763,24
PHP,tests/Composer/Test/Repository/Fixtures/installed.php,installed.php,99,99,0,0,0,3146,65
PHP,bin/composer,composer,94,69,9,16,21,3144,66
PHP,tests/Composer/Test/Package/Version/VersionGuesserTest.php,VersionGuesserTest.php,394,321,16,57,1,16392,132
PHP,src/Composer/Package/Version/VersionGuesser.php,VersionGuesser.php,436,280,89,67,59,17660,257
PHP,tests/Composer/Test/Util/SvnTest.php,SvnTest.php,127,89,17,21,0,3986,70
PHP,src/Composer/Util/ProcessExecutor.php,ProcessExecutor.php,553,354,116,83,50,16368,311
PHP,tests/Composer/Test/InstalledVersionsTest.php,InstalledVersionsTest.php,269,200,36,33,0,8070,154
PHP,src/Composer/Command/HomeCommand.php,HomeCommand.php,167,147,15,5,2,5535,116
PHP,tests/Composer/Test/Repository/Vcs/HgDriverTest.php,HgDriverTest.php,113,79,15,19,0,3215,82
PHP,src/Composer/Repository/Vcs/HgDriver.php,HgDriver.php,245,153,52,40,27,7657,139
PHP,tests/Composer/Test/Repository/Vcs/GitDriverTest.php,GitDriverTest.php,189,141,14,34,3,6199,106
PHP,src/Composer/Repository/Vcs/GitDriver.php,GitDriver.php,258,168,49,41,30,8694,145
PHP,tests/Composer/Test/Downloader/GitDownloaderTest.php,GitDownloaderTest.php,648,533,36,79,59,31340,251
PHP,src/Composer/Downloader/GitDownloader.php,GitDownloader.php,622,433,95,94,90,25584,337
PHP,tests/Composer/Test/Repository/FilesystemRepositoryTest.php,FilesystemRepositoryTest.php,244,190,16,38,4,8746,147
PHP,src/Composer/Repository/FilesystemRepository.php,FilesystemRepository.php,390,274,69,47,41,15985,257
PHP,src/Composer/Factory.php,Factory.php,759,519,127,113,94,32483,465
Markdown,CHANGELOG.md,CHANGELOG.md,2103,1719,0,384,0,141892,1669
