Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
JavaScript,src/utils.js,utils.js,52,37,6,9,9,1248,39
JavaScript,test/test-suite.js,test-suite.js,599,529,55,15,28,39868,443
JavaScript,dist/purify.min.js,purify.min.js,2,1,1,0,4,15785,3
JavaScript,dist/purify.js,purify.js,1214,672,342,200,221,45661,737
JavaScript,src/purify.js,purify.js,1237,739,334,164,162,36166,787
JavaScript,dist/purify.es.js,purify.es.js,1206,666,342,198,219,45407,731
JavaScript,dist/purify.cjs.js,purify.cjs.js,1208,667,342,199,219,45425,732
JavaScript,test/karma.custom-launchers.config.js,karma.custom-launchers.config.js,240,219,17,4,0,5419,107
JavaScript,test/fixtures/expect.js,expect.js,994,992,0,2,0,108471,636
Markdown,README.md,README.md,291,191,0,100,0,18081,170
