Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Python,cvat/apps/engine/views.py,views.py,1942,1905,7,30,32,88825,1136
Python,tests/rest_api/test_tasks.py,test_tasks.py,216,210,3,3,0,10669,143
Python,cvat/apps/dataset_manager/tests/test_rest_api_formats.py,test_rest_api_formats.py,1284,1253,5,26,39,65300,548
Python,cvat/apps/engine/tests/test_rest_api_3D.py,test_rest_api_3D.py,751,709,3,39,34,35549,403
Python,tests/rest_api/test_projects.py,test_projects.py,198,145,11,42,25,8252,124
Python,tests/rest_api/test_memberships.py,test_memberships.py,81,60,3,18,9,3355,59
Python,tests/rest_api/test_jobs.py,test_jobs.py,314,306,3,5,5,13267,196
CSV,cvat/apps/iam/rules/tasks.csv,tasks.csv,90,90,0,0,0,8758,91
Python,cvat/apps/engine/task.py,task.py,666,620,16,30,43,30493,526
CSV,cvat/apps/iam/rules/projects.csv,projects.csv,50,50,0,0,0,4237,50
Python,cvat/apps/engine/mixins.py,mixins.py,240,219,5,16,14,10755,201
YAML,tests/rest_api/docker-compose.minio.yml,docker-compose.minio.yml,58,57,0,1,0,1719,56
Python,cvat/apps/engine/cloud_provider.py,cloud_provider.py,504,422,11,71,49,17038,297
Plain Text,cvat/requirements/base.txt,base.txt,54,54,0,0,0,1427,55
Python,cvat/apps/engine/backup.py,backup.py,841,713,5,123,138,32432,626
Markdown,CHANGELOG.md,CHANGELOG.md,1069,854,0,215,0,68897,750
