Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
C++,src/gui/src/ZeroconfService.cpp,ZeroconfService.cpp,188,147,21,20,22,6295,134
C Header,src/lib/net/TCPSocketFactory.h,TCPSocketFactory.h,43,17,19,7,0,1499,35
C++,src/lib/net/TCPSocketFactory.cpp,TCPSocketFactory.cpp,69,40,22,7,6,2253,48
C++,src/gui/src/SslCertificate.cpp,SslCertificate.cpp,126,90,17,19,13,4252,87
C++,src/gui/src/SettingsDialog.cpp,SettingsDialog.cpp,141,105,18,18,7,4912,107
C Header,src/lib/barrier/ServerArgs.h,ServerArgs.h,34,13,16,5,0,1016,27
C++,src/lib/barrier/ServerApp.cpp,ServerApp.cpp,923,738,78,107,104,27064,550
C Header,src/lib/net/SecureSocket.h,SecureSocket.h,113,64,29,20,0,4340,90
C++,src/lib/net/SecureSocket.cpp,SecureSocket.cpp,899,666,90,143,116,25146,492
C Header,src/lib/net/SecureListenSocket.h,SecureListenSocket.h,39,17,17,5,0,1281,33
C++,src/lib/net/SecureListenSocket.cpp,SecureListenSocket.cpp,73,49,16,8,7,2207,51
C++,src/test/integtests/net/NetworkTests.cpp,NetworkTests.cpp,528,389,34,105,12,17609,227
C Header,src/gui/src/MainWindow.h,MainWindow.h,212,171,17,24,0,6425,182
C++,src/gui/src/MainWindow.cpp,MainWindow.cpp,1372,1081,73,218,186,40471,781
C Header,src/lib/net/ISocketFactory.h,ISocketFactory.h,47,13,27,7,0,1473,39
C Header,src/gui/src/FingerprintAcceptDialog.h,FingerprintAcceptDialog.h,45,22,16,7,0,1459,36
C++,src/gui/src/FingerprintAcceptDialog.cpp,FingerprintAcceptDialog.cpp,65,43,16,6,6,3154,51
C Header,src/lib/net/ConnectionSecurityLevel.h,ConnectionSecurityLevel.h,27,8,16,3,0,951,22
C Header,src/lib/server/ClientListener.h,ClientListener.h,90,43,32,15,0,2750,71
C++,src/lib/server/ClientListener.cpp,ClientListener.cpp,251,177,38,36,23,8048,168
C++,src/lib/client/Client.cpp,Client.cpp,830,666,55,109,67,22139,434
CMake,src/gui/CMakeLists.txt,CMakeLists.txt,181,162,1,18,5,4649,153
C Header,src/lib/barrier/BarrierType.h,BarrierType.h,26,7,16,3,0,877,21
C++,src/lib/barrier/ArgParser.cpp,ArgParser.cpp,518,404,52,62,135,14481,282
C Header,src/gui/src/AppConfig.h,AppConfig.h,148,93,33,22,0,4248,122
C++,src/gui/src/AppConfig.cpp,AppConfig.cpp,245,166,25,54,3,8276,167
