Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Go,storage/ent/db/authrequest/where.go,where.go,1077,653,211,213,3,43599,630
Go,storage/etcd/types.go,types.go,318,268,9,41,2,9674,184
Go,storage/ent/client/types.go,types.go,173,157,2,14,5,4584,124
Go,storage/kubernetes/types.go,types.go,854,717,55,82,3,23909,422
Go,storage/storage.go,storage.go,444,219,152,73,7,15121,311
Go,cmd/dex/serve.go,serve.go,565,468,13,84,133,16426,357
Go,storage/ent/db/migrate/schema.go,schema.go,213,187,22,4,0,16248,147
Go,connector/saml/saml.go,saml.go,644,437,125,82,148,20938,445
Go,server/oauth2.go,oauth2.go,689,555,54,80,151,20143,446
Go,storage/ent/db/mutation.go,mutation.go,7983,6025,1207,751,1225,257730,2419
Go,storage/sql/migrate.go,migrate.go,301,285,5,11,20,6942,147
Go,storage/health.go,health.go,32,24,2,6,4,815,25
Go,server/handlers.go,handlers.go,1347,1114,91,142,300,45304,714
Go,storage/sql/crud.go,crud.go,1020,912,29,79,186,27004,486
Go,storage/conformance/conformance.go,conformance.go,1048,872,34,142,239,30487,521
Go,cmd/dex/config_test.go,config_test.go,425,401,8,16,18,10451,206
Go,cmd/dex/config.go,config.go,352,260,49,43,63,11360,255
Go,storage/ent/db/authrequest_update.go,authrequest_update.go,723,566,77,80,94,23807,339
Go,storage/ent/db/authrequest_create.go,authrequest_create.go,473,392,39,42,81,15790,297
Go,storage/ent/client/authrequest.go,authrequest.go,109,92,6,11,16,4054,79
Go,storage/ent/db/authrequest.go,authrequest.go,316,273,33,10,85,12778,219
Go,storage/ent/db/authrequest/authrequest.go,authrequest.go,98,63,30,5,3,4104,92
Go,storage/ent/schema/authrequest.go,authrequest.go,97,59,29,9,0,2666,72
