Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
TypeScript,api/src/webhooks.ts,webhooks.ts,94,78,0,16,13,2402,68
JavaScript,app/vite.config.js,vite.config.js,231,203,3,25,18,6492,176
TypeScript,api/src/controllers/utils.ts,utils.ts,179,144,1,34,17,4175,99
TypeScript,app/src/stores/server.ts,server.ts,124,107,0,17,21,3270,94
TypeScript,api/src/auth/drivers/saml.ts,saml.ts,185,147,2,36,17,5916,130
TypeScript,api/src/database/run-ast.ts,run-ast.ts,515,381,30,104,195,16184,313
TypeScript,api/src/services/roles.ts,roles.ts,165,123,6,36,30,5246,97
TypeScript,api/src/middleware/respond.ts,respond.ts,89,74,1,14,24,2976,67
TypeScript,api/src/services/payload.ts,payload.ts,804,625,53,126,249,25508,451
TypeScript,api/src/services/payload.test.ts,payload.test.ts,264,236,0,28,2,6649,136
JSON,package.json,package.json,65,65,0,0,0,1965,62
JSON,api/package.json,package.json,225,225,0,0,0,5693,215
TypeScript,api/src/auth/drivers/openid.ts,openid.ts,377,311,10,56,55,11190,267
TypeScript,api/src/auth/drivers/oauth2.ts,oauth2.ts,348,285,10,53,52,10380,244
Vue,app/src/modules/settings/components/navigation.vue,navigation.vue,123,109,0,14,0,3084,82
TypeScript,app/src/main.ts,main.ts,62,44,2,16,3,1786,45
TypeScript,api/src/logger.ts,logger.ts,78,63,1,14,7,1953,58
TypeScript,api/src/utils/is-url-allowed.ts,is-url-allowed.ts,28,21,3,4,2,730,25
TypeScript,api/src/services/graphql/index.ts,index.ts,2838,2495,71,272,438,86144,1348
TypeScript,api/src/operations/request/index.ts,index.ts,44,37,0,7,6,1062,37
TypeScript,api/src/middleware/graphql.ts,graphql.ts,67,53,2,12,27,2165,50
TypeScript,api/src/services/files.ts,files.ts,319,241,24,54,62,9340,199
TypeScript,api/src/env.ts,env.ts,512,396,46,70,65,12303,398
TypeScript,api/src/services/authentication.ts,authentication.ts,439,378,7,54,35,11378,286
TypeScript,api/src/app.ts,app.ts,275,161,80,34,12,8509,211
