Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
PHP,src/Css/Stylesheet.php,Stylesheet.php,1734,878,629,227,164,64147,993
PHP,tests/Css/StyleTest.php,StyleTest.php,163,125,21,17,0,5354,81
PHP,tests/OptionsTest.php,OptionsTest.php,96,91,0,5,0,4344,88
PHP,src/Options.php,Options.php,959,435,434,90,64,26121,413
PHP,src/FrameDecorator/Image.php,Image.php,116,52,50,14,2,2979,72
PHP,tests/HelpersTest.php,HelpersTest.php,104,78,14,12,0,2978,80
PHP,src/Helpers.php,Helpers.php,1028,953,57,18,19,35940,615
PHP,src/FontMetrics.php,FontMetrics.php,610,330,205,75,34,17262,315
PHP,tests/DompdfTest.php,DompdfTest.php,136,112,6,18,0,4744,95
PHP,src/Dompdf.php,Dompdf.php,1502,723,595,184,93,41890,733
PHP,src/Image/Cache.php,Cache.php,268,159,76,33,42,10650,179
PHP,src/Renderer/AbstractRenderer.php,AbstractRenderer.php,1026,600,285,141,138,33010,499
