Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Autoconf,include/fastrtps/config.h.in,config.h.in,71,19,42,10,1,1837,48
C Header,test/mock/rtps/WriterHistory/fastrtps/rtps/history/WriterHistory.h,WriterHistory.h,96,57,16,23,4,2788,66
C++,src/cpp/rtps/builtin/liveliness/WLP.cpp,WLP.cpp,436,373,34,29,75,18337,257
C Header,include/fastrtps/rtps/common/Token.h,Token.h,149,93,16,40,0,4317,80
C++,src/cpp/rtps/common/Token.cpp,Token.cpp,171,122,16,33,34,5352,56
C Header,test/mock/rtps/StatelessWriter/fastrtps/rtps/writer/StatelessWriter.h,StatelessWriter.h,57,24,16,17,0,1597,39
C Header,test/mock/rtps/StatelessReader/fastrtps/rtps/reader/StatelessReader.h,StatelessReader.h,43,17,16,10,0,1214,32
C++,src/cpp/rtps/reader/StatelessReader.cpp,StatelessReader.cpp,276,202,28,46,35,8450,148
C Header,test/mock/rtps/SecurityPluginFactory/rtps/security/SecurityPluginFactory.h,SecurityPluginFactory.h,70,27,28,15,0,2414,51
C++,test/mock/rtps/SecurityPluginFactory/rtps/security/SecurityPluginFactory.cpp,SecurityPluginFactory.cpp,68,41,16,11,4,1838,43
C Header,src/cpp/rtps/security/SecurityManager.h,SecurityManager.h,363,242,17,104,1,14247,229
C++,src/cpp/rtps/security/SecurityManager.cpp,SecurityManager.cpp,2199,1810,78,311,396,86265,952
C++,test/unittest/rtps/security/SecurityAuthenticationTests.cpp,SecurityAuthenticationTests.cpp,1718,1431,14,273,25,89505,375
C Header,include/fastrtps/rtps/writer/ReaderProxy.h,ReaderProxy.h,201,65,102,34,0,8003,142
C Header,test/mock/rtps/ReaderHistory/fastrtps/rtps/history/ReaderHistory.h,ReaderHistory.h,50,23,16,11,0,1331,38
C Header,test/mock/rtps/RTPSWriter/fastrtps/rtps/writer/RTPSWriter.h,RTPSWriter.h,52,23,16,13,0,1439,38
C Header,test/mock/rtps/RTPSReader/fastrtps/rtps/reader/RTPSReader.h,RTPSReader.h,59,28,16,15,0,1569,43
C Header,src/cpp/rtps/participant/RTPSParticipantImpl.h,RTPSParticipantImpl.h,451,163,214,74,0,16926,308
C Header,test/mock/rtps/RTPSParticipantImpl/rtps/participant/RTPSParticipantImpl.h,RTPSParticipantImpl.h,122,75,16,31,4,4002,82
C++,src/cpp/rtps/participant/RTPSParticipantImpl.cpp,RTPSParticipantImpl.cpp,1019,735,139,145,188,36808,557
C++ Header,test/blackbox/PubSubReader.hpp,PubSubReader.hpp,440,331,25,84,28,14226,246
C Header,include/fastrtps/rtps/security/common/ParticipantGenericMessage.h,ParticipantGenericMessage.h,346,265,13,68,0,10813,163
C Header,src/cpp/security/authentication/PKIDH.h,PKIDH.h,109,70,16,23,0,4305,67
C++,src/cpp/security/authentication/PKIDH.cpp,PKIDH.cpp,2221,1658,172,391,356,80570,928
C++,src/cpp/rtps/builtin/discovery/participant/PDPSimpleListener.cpp,PDPSimpleListener.cpp,197,152,25,20,24,7375,154
C Header,test/mock/rtps/PDPSimple/fastrtps/rtps/builtin/discovery/participant/PDPSimple.h,PDPSimple.h,47,20,16,11,0,1377,35
C++,src/cpp/rtps/builtin/discovery/participant/PDPSimple.cpp,PDPSimple.cpp,757,649,33,75,130,29033,431
C Header,test/mock/rtps/SecurityPluginFactory/rtps/security/MockAuthenticationPlugin.h,MockAuthenticationPlugin.h,128,88,17,23,0,5582,77
C++,src/cpp/rtps/messages/MessageReceiver.cpp,MessageReceiver.cpp,1162,882,123,157,199,40222,551
C++,src/cpp/rtps/builtin/discovery/endpoint/EDPStatic.cpp,EDPStatic.cpp,327,274,22,31,66,10908,189
C++,src/cpp/rtps/builtin/discovery/endpoint/EDPSimple.cpp,EDPSimple.cpp,485,416,31,38,70,19667,259
CMake,test/communication/CMakeLists.txt,CMakeLists.txt,55,31,17,7,3,2447,43
CMake,src/cpp/CMakeLists.txt,CMakeLists.txt,328,258,37,33,12,12646,260
CMake,test/CMakeLists.txt,CMakeLists.txt,36,22,13,1,3,1385,33
CMake,test/unittest/rtps/security/CMakeLists.txt,CMakeLists.txt,64,47,13,4,3,3346,57
CMake,test/blackbox/CMakeLists.txt,CMakeLists.txt,94,68,17,9,4,5147,70
C++ Header,include/fastrtps/rtps/messages/CDRMessage.hpp,CDRMessage.hpp,1012,828,21,163,175,26765,397
C Header,include/fastrtps/rtps/messages/CDRMessage.h,CDRMessage.h,152,77,54,21,0,7178,119
C++,test/unittest/security/authentication/BuiltinPKIDHTests.cpp,BuiltinPKIDHTests.cpp,684,570,38,76,128,30617,273
C Header,include/fastrtps/rtps/security/authentication/Authentication.h,Authentication.h,220,84,112,24,0,10759,144
