Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
TypeScript,src/ts/sysconfig.ts,sysconfig.ts,226,195,19,12,23,8168,178
PHP,web/sysconfig.php,sysconfig.php,104,78,14,12,2,3081,88
HTML,src/templates/sysconfig.html,sysconfig.html,914,741,19,154,0,57859,599
SQL,src/sql/structure.sql,structure.sql,1154,571,411,172,0,36983,497
SQL,src/sql/schema63.sql,schema63.sql,11,10,1,0,0,908,12
PHP,web/login.php,login.php,122,85,24,13,8,4375,94
HTML,src/templates/login.html,login.html,204,177,12,15,0,10321,153
PHP,web/app/init.inc.php,init.inc.php,156,98,46,12,9,5744,135
HTML,src/templates/head.html,head.html,219,171,28,20,0,11375,165
YAML,tests/docker-compose.yml,docker-compose.yml,77,57,18,2,0,2471,59
PHP,web/database.php,database.php,77,51,19,7,5,2809,60
JSON,composer.json,composer.json,115,115,0,0,0,3254,101
PHP,web/admin.php,admin.php,122,98,14,10,4,4397,108
HTML,src/templates/admin.html,admin.html,522,432,22,68,0,25044,319
PHP,src/exceptions/WithMessageException.php,WithMessageException.php,23,10,10,3,0,599,19
PHP,src/models/ValidatedUser.php,ValidatedUser.php,28,14,10,4,0,851,21
PHP,tests/unit/models/UsersTest.php,UsersTest.php,181,146,12,23,0,5211,103
PHP,web/app/controllers/UsersController.php,UsersController.php,78,53,16,9,11,3135,63
PHP,web/app/controllers/UsersAjaxController.php,UsersAjaxController.php,100,73,15,12,9,3314,71
PHP,src/models/Users.php,Users.php,481,343,81,57,21,16469,284
PHP,src/models/Uploads.php,Uploads.php,337,221,75,41,11,11606,229
PHP,src/commands/UpdateDatabase.php,UpdateDatabase.php,71,45,16,10,1,2316,58
PHP,src/classes/Update.php,Update.php,152,93,41,18,9,5741,102
PHP,src/exceptions/UnauthorizedException.php,UnauthorizedException.php,26,13,10,3,1,707,22
PHP,web/app/controllers/UcpController.php,UcpController.php,119,80,26,13,7,4580,101
PHP,web/app/controllers/TeamController.php,TeamController.php,60,42,13,5,2,2152,52
PHP,src/models/Tags.php,Tags.php,337,225,75,37,15,12236,201
PHP,web/app/controllers/SysconfigAjaxController.php,SysconfigAjaxController.php,113,79,20,14,9,3552,81
PHP,web/app/controllers/SortableAjaxController.php,SortableAjaxController.php,105,90,10,5,3,3523,76
PHP,src/services/SamlAuth.php,SamlAuth.php,283,202,39,42,20,9802,192
PHP,src/exceptions/ResourceNotFoundException.php,ResourceNotFoundException.php,26,13,10,3,1,728,22
PHP,web/app/controllers/ResetPasswordController.php,ResetPasswordController.php,125,82,28,15,4,5678,107
PHP,web/app/controllers/RequestHandler.php,RequestHandler.php,143,114,18,11,24,5485,114
PHP,web/app/controllers/RegisterController.php,RegisterController.php,79,54,15,10,5,2980,65
PHP,src/exceptions/QuantumException.php,QuantumException.php,23,10,10,3,0,681,19
PHP,src/exceptions/ProcessFailedException.php,ProcessFailedException.php,17,5,10,2,0,445,14
PHP,src/services/Populate.php,Populate.php,149,106,25,18,17,5572,110
PHP,src/services/MfaAuth.php,MfaAuth.php,45,27,10,8,1,1192,34
PHP,src/services/MakePdf.php,MakePdf.php,279,178,66,35,12,10139,203
PHP,src/services/LoginHelper.php,LoginHelper.php,135,82,36,17,2,4129,89
PHP,web/app/controllers/LoginController.php,LoginController.php,54,39,10,5,0,2194,48
PHP,src/controllers/LoginController.php,LoginController.php,273,193,50,30,18,11227,211
PHP,tests/unit/services/LocalAuthTest.php,LocalAuthTest.php,51,36,7,8,0,1478,35
PHP,src/services/LocalAuth.php,LocalAuth.php,165,120,28,17,7,5682,104
PHP,src/services/LdapAuth.php,LdapAuth.php,94,67,19,8,5,3632,77
PHP,src/exceptions/InvalidSchemaException.php,InvalidSchemaException.php,32,16,13,3,1,930,28
PHP,src/exceptions/InvalidDeviceTokenException.php,InvalidDeviceTokenException.php,23,10,10,3,0,589,19
PHP,src/exceptions/InvalidCsrfTokenException.php,InvalidCsrfTokenException.php,23,10,10,3,0,558,19
PHP,src/exceptions/InvalidCredentialsException.php,InvalidCredentialsException.php,23,10,10,3,0,571,19
PHP,src/exceptions/ImproperActionException.php,ImproperActionException.php,17,5,10,2,0,467,14
PHP,src/services/ImportCsv.php,ImportCsv.php,141,89,35,17,6,4652,103
PHP,web/app/controllers/ImportController.php,ImportController.php,79,59,12,8,3,2887,63
PHP,src/exceptions/IllegalActionException.php,IllegalActionException.php,17,5,10,2,0,459,14
PHP,web/app/controllers/IdpsController.php,IdpsController.php,90,68,13,9,3,3241,63
PHP,src/exceptions/FilesystemErrorException.php,FilesystemErrorException.php,17,5,10,2,0,447,14
PHP,src/services/ExternalAuth.php,ExternalAuth.php,69,44,17,8,3,2510,56
PHP,src/models/ExistingUser.php,ExistingUser.php,49,35,10,4,1,1408,43
PHP,web/app/controllers/EntityAjaxController.php,EntityAjaxController.php,244,182,40,22,28,8807,183
PHP,tests/unit/services/DeviceTokenValidatorTest.php,DeviceTokenValidatorTest.php,41,27,7,7,0,1152,28
PHP,src/services/DeviceTokenValidator.php,DeviceTokenValidator.php,48,32,12,4,1,1614,41
PHP,tests/unit/services/DeviceTokenTest.php,DeviceTokenTest.php,18,9,7,2,0,416,17
PHP,src/services/DeviceToken.php,DeviceToken.php,63,37,22,4,0,2258,56
PHP,src/classes/Db.php,Db.php,180,101,59,20,9,4296,106
PHP,src/exceptions/DatabaseErrorException.php,DatabaseErrorException.php,22,10,9,3,0,576,18
PHP,src/classes/Csrf.php,Csrf.php,75,41,24,10,4,2364,51
PHP,web/app/controllers/CreateUserController.php,CreateUserController.php,80,56,15,9,9,3090,67
PHP,src/models/Config.php,Config.php,257,184,50,23,4,8088,189
PHP,src/commands/CheckDatabase.php,CheckDatabase.php,67,36,22,9,1,1912,53
PHP,src/models/AuthenticatedUser.php,AuthenticatedUser.php,21,9,10,2,0,457,18
PHP,tests/unit/classes/AuthTest.php,AuthTest.php,30,18,7,5,0,722,24
PHP,tests/unit/models/AuthFailTest.php,AuthFailTest.php,43,30,7,6,0,1084,27
PHP,src/models/AuthFail.php,AuthFail.php,124,80,31,13,3,3761,64
PHP,src/classes/Auth.php,Auth.php,105,68,28,9,11,3923,83
PHP,src/classes/App.php,App.php,185,120,43,22,6,6063,139
PHP,web/app/controllers/ApiController.php,ApiController.php,47,30,12,5,0,1650,41
PHP,src/models/AnonymousUser.php,AnonymousUser.php,47,34,10,3,0,1533,41
PHP,web/app/controllers/AdminController.php,AdminController.php,56,36,13,7,2,2000,46
