Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
PHP,includes/controller/users_controller.php,users_controller.php,531,401,60,70,60,15271,299
PHP,includes/pages/user_shifts.php,user_shifts.php,429,326,57,46,25,14234,299
PHP,includes/controller/user_angeltypes_controller.php,user_angeltypes_controller.php,478,344,61,73,47,15950,246
PHP,includes/sys_template.php,sys_template.php,432,246,156,30,22,11551,241
PHP,includes/sys_page.php,sys_page.php,154,73,65,16,10,3858,84
PHP,includes/sys_menu.php,sys_menu.php,148,106,20,22,8,4536,102
PHP,includes/sys_form.php,sys_form.php,370,202,141,27,14,10483,197
PHP,includes/controller/shifts_controller.php,shifts_controller.php,384,304,28,52,40,12495,251
HTML,tests/Unit/Helpers/Schedule/Assets/schedule-invalid.html,schedule-invalid.html,10,10,0,0,0,151,11
PHP,includes/helper/message_helper.php,message_helper.php,107,48,49,10,2,2688,56
Twig Template,resources/views/pages/login.twig,login.twig,138,124,0,14,7,6988,104
PHP,includes/controller/locations_controller.php,locations_controller.php,105,68,22,15,7,2626,66
PHP,includes/engelsystem.php,engelsystem.php,31,14,10,7,1,738,21
PHP,includes/controller/angeltypes_controller.php,angeltypes_controller.php,397,285,69,43,31,12644,251
PHP,includes/pages/admin_user.php,admin_user.php,420,357,21,42,58,18369,307
PHP,includes/pages/admin_shifts.php,admin_shifts.php,619,531,42,46,95,26148,462
PHP,includes/pages/admin_groups.php,admin_groups.php,151,123,15,13,13,5208,116
PHP,includes/pages/admin_free.php,admin_free.php,136,113,11,12,10,4669,111
PHP,tests/Unit/Helpers/Schedule/XmlParserTest.php,XmlParserTest.php,128,93,21,14,0,6532,113
PHP,src/Helpers/Schedule/XmlParser.php,XmlParser.php,237,187,17,33,6,8099,164
PHP,includes/view/User_view.php,User_view.php,1206,940,170,96,134,41365,726
PHP,includes/view/UserHintsRenderer.php,UserHintsRenderer.php,62,43,12,7,4,1865,49
PHP,includes/view/UserAngelTypes_view.php,UserAngelTypes_view.php,189,142,39,8,2,6672,99
PHP,includes/view/Shifts_view.php,Shifts_view.php,424,343,49,32,32,14959,310
PHP,includes/view/ShiftEntry_view.php,ShiftEntry_view.php,270,188,68,14,7,8332,161
PHP,includes/view/ShiftCalendarShiftRenderer.php,ShiftCalendarShiftRenderer.php,311,236,53,22,17,11994,227
PHP,includes/view/PublicDashboard_view.php,PublicDashboard_view.php,125,98,14,13,8,4042,97
PHP,tests/Unit/Controllers/PasswordResetControllerTest.php,PasswordResetControllerTest.php,269,186,37,46,3,9020,146
PHP,src/Controllers/PasswordResetController.php,PasswordResetController.php,122,93,3,26,3,3566,81
PHP,includes/view/Locations_view.php,Locations_view.php,117,93,12,12,11,3651,93
PHP,includes/view/AngelTypes_view.php,AngelTypes_view.php,813,675,98,40,89,29649,511
