Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
JavaScript,client/src/views/fields/wysiwyg.js,wysiwyg.js,1109,822,40,247,108,34722,589
JavaScript,client/src/view-helper.js,view-helper.js,978,598,218,162,112,28005,503
JavaScript,client/src/views/stream/notes/status.js,status.js,67,28,27,12,2,2336,50
JavaScript,client/src/views/stream/notes/relate.js,relate.js,70,31,27,12,8,2621,53
JavaScript,client/src/views/stream/notes/post.js,post.js,214,134,27,53,29,6783,125
JavaScript,client/src/views/stream/note.js,note.js,248,152,50,46,36,7611,153
JavaScript,client/src/views/site/navbar.js,navbar.js,1267,898,51,318,138,35186,619
JavaScript,client/src/views/attachment/fields/name.js,name.js,49,14,27,8,1,1957,38
JavaScript,client/src/views/notification/items/message.js,message.js,75,35,27,13,4,2863,57
JavaScript,client/src/views/stream/notes/mention-in-post.js,mention-in-post.js,159,92,28,39,20,5163,92
JavaScript,client/src/views/fields/link-multiple-with-primary.js,link-multiple-with-primary.js,268,150,61,57,16,7631,162
JavaScript,client/src/views/email/fields/from-address-varchar.js,from-address-varchar.js,528,397,27,104,67,18829,301
JavaScript,client/src/views/notification/items/entity-removed.js,entity-removed.js,62,24,27,11,1,2480,47
JavaScript,client/src/views/stream/notes/email-sent.js,email-sent.js,91,50,27,14,7,3339,70
JavaScript,client/src/views/stream/notes/email-received.js,email-received.js,113,68,27,18,10,3891,84
JavaScript,client/src/views/notification/items/email-received.js,email-received.js,73,33,27,13,4,2740,55
JavaScript,client/src/views/email/fields/email-address-varchar.js,email-address-varchar.js,474,353,27,94,46,16080,298
Smarty Template,client/res/templates/attachment/fields/name/detail.tpl,detail.tpl,2,1,0,1,0,78,2
JavaScript,client/src/views/preferences/fields/dashboard-tab-list.js,dashboard-tab-list.js,133,84,27,22,9,4975,93
JavaScript,client/src/views/stream/notes/create.js,create.js,104,59,27,18,14,3529,73
JavaScript,client/src/views/stream/notes/create-related.js,create-related.js,70,31,27,12,8,2642,53
JavaScript,client/src/views/notification/items/assign.js,assign.js,62,24,27,11,1,2422,47
JavaScript,client/src/views/stream/notes/assign.js,assign.js,81,43,27,11,13,2916,58
PHP,application/Espo/Tools/Attachment/UploadUrlService.php,UploadUrlService.php,199,119,41,39,12,6380,138
PHP,application/Espo/Tools/UserSecurity/Password/RecoveryService.php,RecoveryService.php,562,492,39,31,20,17305,299
