Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
JavaScript,src/node/hooks/express/webaccess.js,webaccess.js,161,98,44,19,28,6207,128
JavaScript,src/node/hooks/express/tests.js,tests.js,91,29,53,9,3,2814,65
JavaScript,src/static/js/pad_utils.js,pad_utils.js,575,477,52,46,78,15479,337
HTML,src/templates/pad.html,pad.html,517,413,34,70,0,24277,360
JSON,src/package.json,package.json,92,92,0,0,0,2075,78
JavaScript,src/static/js/chat.js,chat.js,269,200,41,28,46,9232,204
JavaScript,src/node/hooks/express/apicalls.js,apicalls.js,32,26,3,3,0,1159,25
JavaScript,src/node/db/SessionStore.js,SessionStore.js,103,70,14,19,15,2694,65
JavaScript,src/node/utils/Minify.js,Minify.js,469,343,84,42,101,15186,349
JavaScript,src/node/utils/ExportEtherpad.js,ExportEtherpad.js,62,32,18,12,9,1721,47
