Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Thrift,thrift/test/tablebased/thrift_tablebased.thrift,thrift_tablebased.thrift,100,72,15,13,0,2561,72
Thrift,thrift/lib/javadeprecated/src/resources/testing_data_structures.thrift,testing_data_structures.thrift,304,254,16,34,0,7543,226
C Header,thrift/lib/cpp2/protocol/detail/protocol_methods.h,protocol_methods.h,1002,789,99,114,80,36457,580
Go,thrift/lib/go/thrift/protocol.go,protocol.go,38,12,20,6,0,1098,29
Go,thrift/lib/go/thrift/http_client.go,http_client.go,161,100,38,23,20,4523,103
Go,thrift/lib/go/thrift/compact_format_test.go,compact_format_test.go,93,64,20,9,1,3061,57
Go,thrift/lib/go/thrift/compact_format.go,compact_format.go,824,580,137,107,115,24467,495
Go,thrift/lib/go/thrift/binary_format_test.go,binary_format_test.go,80,51,19,10,0,2761,53
Go,thrift/lib/go/thrift/binary_format.go,binary_format.go,484,391,26,67,74,11454,235
Java,thrift/lib/javadeprecated/src/test/java/com/facebook/thrift/TruncatedFrameTest.java,TruncatedFrameTest.java,337,298,15,24,0,10000,138
C++,thrift/lib/cpp2/protocol/TableBasedSerializer.cpp,TableBasedSerializer.cpp,105,78,17,10,0,4714,77
Java,thrift/lib/javadeprecated/src/main/java/com/facebook/thrift/protocol/TProtocolUtil.java,TProtocolUtil.java,225,125,82,18,21,7403,133
C Header,thrift/lib/cpp/protocol/TProtocolException.h,TProtocolException.h,127,76,35,16,3,4243,104
C++,thrift/lib/cpp/protocol/TProtocolException.cpp,TProtocolException.cpp,93,64,15,14,0,3123,54
Java,thrift/lib/javadeprecated/src/main/java/com/facebook/thrift/protocol/TProtocolDecorator.java,TProtocolDecorator.java,225,144,32,49,0,5935,127
Python,thrift/lib/py/protocol/TProtocol.py,TProtocol.py,246,172,16,58,27,5570,135
Java,thrift/lib/javadeprecated/src/main/java/com/facebook/thrift/protocol/TProtocol.java,TProtocol.java,218,104,53,61,2,6745,131
C Header,thrift/lib/cpp/protocol/TProtocol.h,TProtocol.h,632,396,87,149,16,17769,358
Java,thrift/lib/javadeprecated/src/main/java/com/facebook/thrift/protocol/TCompactProtocol.java,TCompactProtocol.java,940,609,219,112,78,29224,551
Java,thrift/lib/javadeprecated/src/main/java/com/facebook/thrift/protocol/TBinaryProtocol.java,TBinaryProtocol.java,444,343,29,72,26,12784,278
Java,thrift/lib/javadeprecated/src/test/java/com/facebook/thrift/StructTest.java,StructTest.java,223,173,18,32,0,6963,133
C++,thrift/test/tablebased/SerializerTest.cpp,SerializerTest.cpp,371,307,24,40,5,13978,239
C++,thrift/test/ProtocolTruncatedDataTest.cpp,ProtocolTruncatedDataTest.cpp,127,82,27,18,5,4305,83
Thrift,thrift/test/ProtocolTruncatedData.thrift,ProtocolTruncatedData.thrift,34,15,15,4,0,1034,24
C++,thrift/test/ProtocolSkipTest.cpp,ProtocolSkipTest.cpp,174,145,15,14,0,4580,64
C Header,thrift/lib/cpp2/protocol/Protocol.h,Protocol.h,447,313,89,45,31,12475,289
C Header,thrift/lib/cpp2/protocol/CompactProtocol-inl.h,CompactProtocol-inl.h,920,721,53,146,100,26019,530
C Header,thrift/lib/cpp2/protocol/BinaryProtocol-inl.h,BinaryProtocol-inl.h,655,519,29,107,51,17036,348
