Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
PHP,hphp/test/slow/ext_zlib/ziparchive_extractto_file.php,ziparchive_extractto_file.php,75,73,1,1,0,2745,75
PHP,hphp/test/slow/ext_zlib/ziparchive_extractto_directory.php,ziparchive_extractto_directory.php,57,55,1,1,0,1891,57
C++,hphp/zend/zend-string.cpp,zend-string.cpp,322,243,36,43,74,10475,220
C++,hphp/runtime/base/zend-string.cpp,zend-string.cpp,2724,2236,284,204,467,73508,1635
C++,hphp/runtime/base/variable-unserializer.cpp,variable-unserializer.cpp,1662,1337,154,171,336,49644,966
C++,hphp/runtime/server/upload.cpp,upload.cpp,1218,901,133,184,256,35146,779
C Header,hphp/runtime/base/type-string.h,type-string.h,652,451,98,103,35,20504,414
C++,hphp/runtime/base/string-util.cpp,string-util.cpp,485,391,32,62,76,15139,305
C Header,hphp/runtime/base/string-data.h,string-data.h,586,193,310,83,1,18372,347
C Header,hphp/runtime/base/string-data-inl.h,string-data-inl.h,217,143,34,40,24,6658,126
C++,hphp/runtime/base/ssl-socket.cpp,ssl-socket.cpp,848,674,66,108,193,24719,537
PHP,hphp/test/slow/ext_domdocument/simplexml_null.php,simplexml_null.php,5,4,0,1,0,118,5
C Header,hphp/runtime/ext/scrypt/crypto/sha256.h,sha256.h,62,22,32,8,0,2436,51
C++,hphp/runtime/ext/scrypt/crypto/sha256.cpp,sha256.cpp,418,265,96,57,14,11765,309
PHP,hphp/test/slow/array_functions/self_recursive.php,self_recursive.php,21,15,0,6,0,286,14
C Header,hphp/runtime/base/runtime-option.h,runtime-option.h,750,593,89,68,2,33479,672
C++,hphp/runtime/base/runtime-option.cpp,runtime-option.cpp,1978,1663,162,153,115,85180,1568
PHP,hphp/test/server/debugger/tests/runTest1.php,runTest1.php,16,10,2,4,1,533,13
PHP,hphp/test/slow/ext_wddx/recursion.php,recursion.php,7,6,0,1,0,134,7
C Header,hphp/runtime/base/preg.h,preg.h,149,85,34,30,0,4700,105
C++,hphp/runtime/base/preg.cpp,preg.cpp,2014,1716,136,162,257,64283,1264
C++,hphp/runtime/base/output-file.cpp,output-file.cpp,117,76,20,21,5,3247,65
C++,hphp/runtime/base/object-data.cpp,object-data.cpp,1748,1313,198,237,324,55869,1057
C Header,hphp/runtime/ext/scrypt/crypto/memory.h,memory.h,33,10,17,6,0,1395,23
C++,hphp/runtime/base/mem-file.cpp,mem-file.cpp,212,164,22,26,41,5736,139
PHP,hphp/test/quick/mbstring-oob.php,mbstring-oob.php,6,4,1,1,0,144,6
C Header,hphp/util/light-process.h,light-process.h,111,54,36,21,0,3922,81
C++,hphp/util/light-process.cpp,light-process.cpp,875,681,83,111,154,23786,586
Plain Text,hphp/test/zend/good/ext/libxml/tests/libxml_disable_entity_loader_payload.txt,libxml_disable_entity_loader_payload.txt,1,1,0,0,0,11,1
PHP,hphp/test/zend/bad/ext/libxml/tests/libxml_disable_entity_loader.php,libxml_disable_entity_loader.php,25,20,0,5,0,618,21
PHP,hphp/test/server/fastcgi/tests/invalid.php,invalid.php,28,16,5,7,0,781,22
PHP,hphp/test/slow/string_length_overflow/implode.php,implode.php,5,4,0,1,0,144,5
PHP,hphp/test/server/fastcgi/tests/httpsTest.php,httpsTest.php,11,8,0,3,0,251,9
PHP,hphp/test/slow/ext_wddx/htmlent.php,htmlent.php,5,5,0,0,1,102,6
PHP,hphp/test/server/fastcgi/tests/headerTest.php,headerTest.php,11,8,0,3,0,285,9
PHP,hphp/test/server/fastcgi/tests/global_variables_server.php,global_variables_server.php,28,25,0,3,0,1009,26
C++,hphp/runtime/ext/gd/libgd/gd.cpp,gd.cpp,3101,2509,283,309,674,79788,1669
C++,hphp/runtime/server/fastcgi/fastcgi-transport.cpp,fastcgi-transport.cpp,347,220,63,64,65,10794,217
C++,hphp/runtime/server/fastcgi/fastcgi-server.cpp,fastcgi-server.cpp,211,142,42,27,22,7465,155
C++,hphp/runtime/ext/zip/ext_zip.cpp,ext_zip.cpp,1490,1137,61,292,224,42696,751
C++,hphp/runtime/ext/xmlreader/ext_xmlreader.cpp,ext_xmlreader.cpp,773,648,36,89,119,23544,430
C Header,hphp/runtime/ext/wddx/ext_wddx.h,ext_wddx.h,79,44,18,17,0,2835,60
C++,hphp/runtime/ext/wddx/ext_wddx.cpp,ext_wddx.cpp,297,236,25,36,48,9725,198
PHP,hphp/test/slow/ext_string/ext_string.php,ext_string.php,448,410,1,37,2,11234,281
C++,hphp/runtime/ext/string/ext_string.cpp,ext_string.cpp,2651,2374,68,209,277,76359,1563
C++,hphp/runtime/ext/std/ext_std_variable.cpp,ext_std_variable.cpp,534,437,37,60,91,15116,362
C++,hphp/runtime/ext/std/ext_std_file.cpp,ext_std_file.cpp,2242,1870,135,237,305,64042,1257
C++,hphp/runtime/ext/sockets/ext_sockets.cpp,ext_sockets.cpp,1765,1513,58,194,247,49207,974
C++,hphp/runtime/ext/simplexml/ext_simplexml.cpp,ext_simplexml.cpp,1887,1614,61,212,501,58401,1033
C++,hphp/runtime/ext/openssl/ext_openssl.cpp,ext_openssl.cpp,3221,2704,164,353,513,97276,1853
C++,hphp/runtime/ext/memcache/ext_memcache.cpp,ext_memcache.cpp,803,641,27,135,120,25422,456
PHP,hphp/runtime/ext/mcrypt/ext_mcrypt.php,ext_mcrypt.php,535,117,381,37,0,16844,238
PHP,hphp/test/slow/ext_mcrypt/ext_mcrypt.php,ext_mcrypt.php,144,110,6,28,2,5367,76
C++,hphp/runtime/ext/mcrypt/ext_mcrypt.cpp,ext_mcrypt.cpp,818,682,30,106,107,26632,460
C++,hphp/runtime/ext/mbstring/ext_mbstring.cpp,ext_mbstring.cpp,4499,3848,190,461,1012,134368,2416
C++,hphp/runtime/ext/ldap/ext_ldap.cpp,ext_ldap.cpp,2143,1763,126,254,334,61645,1163
C++,hphp/runtime/ext/hotprofiler/ext_hotprofiler.cpp,ext_hotprofiler.cpp,1443,1077,212,154,198,44393,955
C++,hphp/runtime/ext/hash/ext_hash.cpp,ext_hash.cpp,449,353,43,53,38,15819,306
C++,hphp/runtime/ext/gd/ext_gd.cpp,ext_gd.cpp,8492,7190,503,799,1217,267981,5273
C++,hphp/runtime/ext/fb/ext_fb.cpp,ext_fb.cpp,1244,910,171,163,172,38667,805
C Header,hphp/runtime/ext/domdocument/ext_domdocument.h,ext_domdocument.h,151,91,29,31,5,4514,97
C++,hphp/runtime/ext/bcmath/ext_bcmath.cpp,ext_bcmath.cpp,286,241,22,23,20,8671,131
C++,hphp/runtime/ext/array/ext_array.cpp,ext_array.cpp,3092,2698,155,239,544,100038,1667
C++,hphp/runtime/ext/apc/ext_apc.cpp,ext_apc.cpp,1094,920,61,113,144,37102,709
PHP,hphp/test/server/fastcgi/tests/disable_ini_zend_compat.php,disable_ini_zend_compat.php,17,11,2,4,0,539,13
C++,hphp/runtime/ext/scrypt/crypto/crypto_scrypt-sse.cpp,crypto_scrypt-sse.cpp,346,208,92,46,23,9588,225
C++,hphp/runtime/ext/scrypt/crypto/crypto_scrypt-nosse.cpp,crypto_scrypt-nosse.cpp,316,178,90,48,21,8707,206
C++,hphp/zend/crypt-blowfish.cpp,crypt-blowfish.cpp,913,692,150,71,67,33622,727
CMake,hphp/runtime/ext/scrypt/config.cmake,config.cmake,14,14,0,0,0,282,15
PHP,hphp/test/slow/ext_string/chunk_split_overflow.php,chunk_split_overflow.php,3,2,0,1,0,77,3
C++,hphp/util/capability.cpp,capability.cpp,155,112,17,26,30,4516,76
C++,hphp/runtime/ext/bz2/bz2-file.cpp,bz2-file.cpp,130,89,22,19,8,3534,81
PHP,hphp/test/slow/ext_bcmath/bccomp_overflow.php,bccomp_overflow.php,7,5,0,2,0,205,6
