Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
C,tests/testcommon.c,testcommon.c,1601,1339,17,245,106,59132,872
Shell,tests/test-run.sh,test-run.sh,496,376,43,77,21,20069,270
Shell,tests/test-info.sh,test-info.sh,56,28,1,27,0,1295,29
Shell,tests/make-test-app.sh,make-test-app.sh,210,166,8,36,8,5068,125
C,common/flatpak-utils.c,flatpak-utils.c,8614,6857,360,1397,1731,278016,4594
C Header,common/flatpak-utils-private.h,flatpak-utils-private.h,907,737,36,134,21,37943,684
C,common/flatpak-transaction.c,flatpak-transaction.c,4824,3094,1050,680,666,171965,2509
XML,doc/flatpak-run.xml,flatpak-run.xml,668,555,0,113,0,29277,280
C,common/flatpak-run.c,flatpak-run.c,4163,3248,270,645,737,148436,2418
C,portal/flatpak-portal.c,flatpak-portal.c,2986,2339,151,496,442,100525,1735
XML,doc/flatpak-override.xml,flatpak-override.xml,428,350,0,78,0,18322,175
C,common/flatpak-dir.c,flatpak-dir.c,16065,12696,750,2619,2667,582464,7885
C,common/flatpak-context.c,flatpak-context.c,2579,2082,92,405,467,82314,1244
C,app/flatpak-cli-transaction.c,flatpak-cli-transaction.c,1448,1160,45,243,224,47493,817
C,common/flatpak-bwrap.c,flatpak-bwrap.c,406,295,48,63,29,10754,239
C Header,common/flatpak-bwrap-private.h,flatpak-bwrap-private.h,92,65,19,8,0,4490,82
C,app/flatpak-builtins-remote-info.c,flatpak-builtins-remote-info.c,515,421,20,74,107,18485,345
C,app/flatpak-builtins-info.c,flatpak-builtins-info.c,570,474,20,76,103,20960,376
C,app/flatpak-builtins-build.c,flatpak-builtins-build.c,626,474,52,100,107,22870,428
XML,doc/flatpak-build.xml,flatpak-build.xml,446,362,0,84,0,19032,186
XML,doc/flatpak-build-finish.xml,flatpak-build-finish.xml,501,417,0,84,0,21618,230
