Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
TypeScript,core/src/plugins/kubernetes/test-results.ts,test-results.ts,98,72,14,12,7,3511,75
TypeScript,core/src/server/server.ts,server.ts,820,621,79,120,90,26259,561
TypeScript,core/test/unit/src/server/server.ts,server.ts,741,650,21,70,45,21467,341
TypeScript,core/src/util/serialization.ts,serialization.ts,66,40,16,10,0,1857,44
TypeScript,core/src/plugins/kubernetes/run-results.ts,run-results.ts,134,100,18,16,11,4341,95
JSON,core/package.json,package.json,275,275,0,0,0,8685,268
TypeScript,core/src/events/events.ts,events.ts,356,231,80,45,37,11130,228
TypeScript,core/src/constants.ts,constants.ts,76,53,13,10,6,4057,64
TypeScript,core/test/unit/src/cli/cli.ts,cli.ts,1013,793,13,207,10,32535,398
TypeScript,core/src/cli/cli.ts,cli.ts,618,483,42,93,81,20402,441
