Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
PHP,config/fields/writer.php,writer.php,33,19,13,1,0,1142,26
JSON,i18n/translations/tr.json,tr.json,522,460,0,62,0,27194,461
JSON,i18n/translations/sv_SE.json,sv_SE.json,522,460,0,62,0,26532,461
JSON,i18n/translations/sk.json,sk.json,522,460,0,62,0,27249,461
JSON,i18n/translations/ru.json,ru.json,522,460,0,62,0,38716,461
JSON,i18n/translations/pt_PT.json,pt_PT.json,522,460,0,62,0,27024,461
JSON,i18n/translations/pt_BR.json,pt_BR.json,522,460,0,62,0,26806,461
JSON,i18n/translations/pl.json,pl.json,522,460,0,62,0,27152,461
JSON,i18n/translations/nl.json,nl.json,522,460,0,62,0,27523,461
JSON,i18n/translations/nb.json,nb.json,522,460,0,62,0,26481,461
JSON,i18n/translations/lt.json,lt.json,522,460,0,62,0,27176,461
JSON,i18n/translations/ko.json,ko.json,522,460,0,62,0,28529,461
JSON,i18n/translations/it.json,it.json,522,460,0,62,0,27437,461
PHP,vendor/composer/installed.php,installed.php,146,146,0,0,0,3340,74
PHP,config/blocks/image/image.php,image.php,35,30,1,4,5,826,31
JSON,i18n/translations/id.json,id.json,522,460,0,62,0,26086,461
JSON,i18n/translations/hu.json,hu.json,522,460,0,62,0,28094,461
JSON,i18n/translations/fr.json,fr.json,522,460,0,62,0,29724,461
JSON,i18n/translations/fi.json,fi.json,522,460,0,62,0,26818,461
JSON,i18n/translations/fa.json,fa.json,522,460,0,62,0,32407,461
JSON,i18n/translations/es_ES.json,es_ES.json,522,460,0,62,0,27333,461
JSON,i18n/translations/es_419.json,es_419.json,522,460,0,62,0,27534,461
JSON,i18n/translations/en.json,en.json,527,465,0,62,0,26270,466
JSON,i18n/translations/el.json,el.json,522,460,0,62,0,38665,461
Plain Text,tests/Http/fixtures/download.txt,download.txt,1,1,0,0,0,4,1
JSON,i18n/translations/de.json,de.json,522,460,0,62,0,27959,461
JSON,i18n/translations/da.json,da.json,522,460,0,62,0,26806,461
JSON,i18n/translations/cs.json,cs.json,522,460,0,62,0,27523,461
JSON,composer.json,composer.json,77,77,0,0,0,1989,72
JSON,i18n/translations/ca.json,ca.json,522,460,0,62,0,27705,461
JSON,i18n/translations/bg.json,bg.json,522,460,0,62,0,33881,461
PHP,vendor/composer/autoload_static.php,autoload_static.php,405,394,1,10,0,29437,359
PHP,vendor/composer/autoload_real.php,autoload_real.php,73,55,4,14,11,2499,46
PHP,vendor/composer/autoload_classmap.php,autoload_classmap.php,297,293,1,3,0,22160,295
PHP,tests/Toolkit/XmlTest.php,XmlTest.php,225,166,29,30,0,7927,148
PHP,src/Toolkit/Xml.php,Xml.php,433,247,130,56,47,19160,272
Vue,panel/src/components/Writer/Writer.vue,Writer.vue,376,332,11,33,17,8447,281
PHP,tests/Cms/Users/UserTest.php,UserTest.php,319,243,9,67,2,8097,151
PHP,tests/Cms/Users/UserRulesTest.php,UserRulesTest.php,236,188,9,39,0,7357,104
PHP,src/Cms/UserRules.php,UserRules.php,365,197,125,43,31,11018,164
PHP,tests/Cms/Users/UserAuthTest.php,UserAuthTest.php,87,69,3,15,2,2765,55
PHP,tests/Cms/Users/UserActionsTest.php,UserActionsTest.php,522,431,8,83,0,16055,204
PHP,src/Cms/UserActions.php,UserActions.php,360,187,119,54,14,9477,188
PHP,src/Cms/User.php,User.php,949,406,428,115,28,22211,420
PHP,tests/Data/TxtTest.php,TxtTest.php,186,110,50,26,0,4294,71
PHP,src/Data/Txt.php,Txt.php,133,67,44,22,9,3443,87
PHP,tests/Sane/TestCase.php,TestCase.php,53,30,14,9,1,1397,40
PHP,tests/Http/ResponseTest.php,ResponseTest.php,307,237,9,61,0,9052,128
PHP,src/Http/Response.php,Response.php,317,140,145,32,4,7694,172
PHP,src/Cms/Permissions.php,Permissions.php,230,142,62,26,12,6075,126
Vue,panel/src/components/Forms/Input/MultiselectInput.vue,MultiselectInput.vue,421,388,4,29,21,9598,306
PHP,src/Cms/Media.php,Media.php,172,88,61,23,12,5148,120
PHP,tests/Cms/Languages/LanguagesTest.php,LanguagesTest.php,121,103,0,18,0,3173,66
PHP,tests/Cms/Languages/LanguageTest.php,LanguageTest.php,506,393,14,99,0,12562,198
PHP,src/Cms/Language.php,Language.php,684,334,253,97,18,15239,307
PHP,tests/Cms/Files/FileRulesTest.php,FileRulesTest.php,411,309,17,85,4,14987,172
PHP,src/Cms/FileRules.php,FileRules.php,302,165,98,39,21,9328,143
PHP,vendor/composer/ClassLoader.php,ClassLoader.php,479,275,153,51,47,14367,250
PHP,tests/Cms/Auth/AuthTest.php,AuthTest.php,241,177,33,31,0,7877,113
PHP,src/Cms/Auth.php,Auth.php,872,456,301,115,83,28192,463
