Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
C Header,utf8.h,utf8.h,108,56,38,14,1,3636,84
C,utf8.c,utf8.c,810,567,159,84,181,20353,546
C,builtin/upload-pack.c,upload-pack.c,74,57,5,12,7,1947,62
Shell,t/t9903-bash-prompt.sh,t9903-bash-prompt.sh,762,685,4,73,1,20686,233
Shell,t/t7417-submodule-path-url.sh,t7417-submodule-path-url.sh,48,40,1,7,0,1434,36
Shell,t/t7416-submodule-dash-url.sh,t7416-submodule-dash-url.sh,219,199,1,19,0,6567,90
Shell,t/t7406-submodule-update.sh,t7406-submodule-update.sh,1040,967,4,69,5,27830,468
Shell,t/t5604-clone-reference.sh,t5604-clone-reference.sh,361,312,9,40,0,9249,242
Shell,t/t5570-git-daemon.sh,t5570-git-daemon.sh,210,182,1,27,4,6211,151
Shell,t/t5550-http-fetch-dumb.sh,t5550-http-fetch-dumb.sh,485,416,13,56,0,16822,315
Shell,t/t4205-log-pretty-formats.sh,t4205-log-pretty-formats.sh,965,847,15,103,2,29483,460
Shell,t/t4115-apply-symlink.sh,t4115-apply-symlink.sh,47,37,4,6,0,753,26
Shell,t/t2006-checkout-index-basic.sh,t2006-checkout-index-basic.sh,103,79,10,14,2,3005,79
Shell,t/t1450-fsck.sh,t1450-fsck.sh,868,783,15,70,2,26790,535
Shell,t/t1300-config.sh,t1300-config.sh,2292,2032,26,234,14,58103,1109
Shell,t/t0300-credentials.sh,t0300-credentials.sh,721,670,7,44,0,15384,249
Shell,t/t0066-dir-iterator.sh,t0066-dir-iterator.sh,148,134,1,13,0,3914,98
Shell,t/t0021-conversion.sh,t0021-conversion.sh,1040,974,18,48,3,32157,530
Shell,t/t0003-attributes.sh,t0003-attributes.sh,342,305,1,36,0,9324,237
C,symlinks.c,symlinks.c,347,198,117,32,61,10182,223
C,builtin/submodule--helper.c,submodule--helper.c,2800,2144,199,457,415,77091,1660
C,setup.c,setup.c,1436,1046,234,156,273,39392,936
Perl,t/t0021/rot13-filter.pl,rot13-filter.pl,247,168,54,25,35,7758,184
C Header,revision.h,revision.h,465,276,120,69,0,12934,368
C,revision.c,revision.c,4212,3099,592,521,954,117133,2583
C,builtin/rev-list.c,rev-list.c,740,568,73,99,140,19019,480
C,reachable.c,reachable.c,251,184,29,38,24,6056,167
C,promisor-remote.c,promisor-remote.c,259,207,0,52,39,5642,162
C,pretty.c,pretty.c,2051,1646,178,227,498,51163,1320
C,path.c,path.c,1538,1071,300,167,345,39042,944
C,builtin/pack-objects.c,pack-objects.c,3789,2816,522,451,713,103648,2428
C,pack-objects.c,pack-objects.c,221,157,19,45,25,5059,150
C,pack-bitmap.c,pack-bitmap.c,1513,1075,134,304,212,38188,851
C,pack-bitmap-write.c,pack-bitmap-write.c,700,517,44,139,79,16965,444
C,compat/nedmalloc/nedmalloc.c,nedmalloc.c,953,853,65,35,143,25150,589
C,compat/mingw.c,mingw.c,2905,2317,291,297,643,75992,1848
C Header,list-objects.h,list-objects.h,28,22,0,6,0,762,23
C,list-objects.c,list-objects.c,423,332,46,45,76,11530,282
Plain Text,Documentation/git-upload-pack.txt,git-upload-pack.txt,53,40,0,13,0,1345,40
Shell,contrib/completion/git-prompt.sh,git-prompt.sh,586,366,183,37,60,17778,440
C Header,git-compat-util.h,git-compat-util.h,1373,925,284,164,83,37203,879
C Header,fsck.h,fsck.h,115,50,48,17,0,3875,84
C,fsck.c,fsck.c,1348,1073,119,156,289,35306,896
C,builtin/fsck.c,fsck.c,943,718,104,121,141,25176,607
C,builtin/fast-import.c,fast-import.c,3636,2982,199,455,763,94256,2296
C Header,dir-iterator.h,dir-iterator.h,127,15,101,11,0,4367,93
C,dir-iterator.c,dir-iterator.c,235,149,46,40,34,5947,153
C,credential.c,credential.c,512,392,44,76,105,12357,329
C,connect.c,connect.c,1456,1118,136,202,287,36581,921
C,config.c,config.c,3562,2773,341,448,697,87864,2028
C,column.c,column.c,405,315,29,61,74,9626,278
C,builtin/clone.c,clone.c,1401,1078,133,190,286,39644,985
C Header,cache.h,cache.h,1897,994,688,215,30,67581,1397
C Header,attr.h,attr.h,212,46,145,21,3,6484,142
C,attr.c,attr.c,1150,1027,76,47,46,28674,733
C,builtin/apply.c,apply.c,34,26,0,8,2,678,26
C,apply.c,apply.c,5059,4771,147,141,291,134168,3167
Shell,GIT-VERSION-GEN,GIT-VERSION-GEN,40,32,3,5,4,752,32
