Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
TypeScript,components/server/src/user/user-controller.ts,user-controller.ts,671,543,47,81,83,29309,423
TypeScript,components/server/src/session-handler.ts,session-handler.ts,166,124,18,24,10,6324,125
TypeScript,components/dashboard/src/service/service.tsx,service.tsx,244,204,16,24,29,8948,180
TypeScript,components/server/src/server.ts,server.ts,411,315,40,56,20,18446,307
Go,components/public-api-server/pkg/server/server.go,server.go,230,184,8,38,45,8166,155
Go,components/ws-proxy/pkg/proxy/routes_test.go,routes_test.go,1031,968,6,57,76,33124,495
Go,components/ws-proxy/pkg/proxy/routes.go,routes.go,863,688,72,103,145,29642,543
TypeScript,components/server/src/prometheus-metrics.ts,prometheus-metrics.ts,315,254,9,52,15,11080,205
Go,components/public-api-server/pkg/origin/middleware_test.go,middleware_test.go,36,25,3,8,0,953,29
Go,components/public-api-server/pkg/origin/middleware.go,middleware.go,48,34,3,11,2,1311,34
Go,components/public-api-server/pkg/auth/middleware.go,middleware.go,109,81,8,20,13,3574,71
TypeScript,components/server/src/auth/login-completion-handler.ts,login-completion-handler.ts,116,95,10,11,10,4603,95
TypeScript,components/gitpod-protocol/src/util/gitpod-host-url.ts,gitpod-host-url.ts,209,159,12,38,45,6614,132
TypeScript,components/server/src/auth/generic-auth-provider.ts,generic-auth-provider.ts,918,740,94,84,112,35240,638
TypeScript,components/server/src/express-util.ts,express-util.ts,128,82,34,12,20,4086,90
TypeScript,components/server/src/express-util.spec.ts,express-util.spec.ts,50,40,5,5,0,2057,30
Go,components/public-api-server/pkg/origin/context_test.go,context_test.go,17,10,3,4,0,559,14
Go,components/public-api-server/pkg/auth/context_test.go,context_test.go,33,22,3,8,0,896,21
Go,components/public-api-server/pkg/auth/context.go,context.go,56,39,5,12,1,1115,35
Go,components/public-api-server/pkg/origin/context.go,context.go,27,17,3,7,1,561,19
Go,components/public-api-server/pkg/proxy/conn_test.go,conn_test.go,92,71,3,18,2,2757,52
Go,components/public-api-server/pkg/proxy/conn.go,conn.go,176,136,9,31,19,4618,117
Go,install/installer/pkg/components/server/configmap_test.go,configmap_test.go,159,143,3,13,7,5549,129
Go,install/installer/pkg/components/public-api-server/configmap_test.go,configmap_test.go,106,91,3,12,2,3661,80
Go,install/installer/pkg/components/auth/config_test.go,config_test.go,65,58,3,4,3,1758,43
