Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
PHP,inc/dashboard/widget.class.php,widget.class.php,1872,1385,281,206,96,59210,959
PHP,ajax/visibility.php,visibility.php,138,96,32,10,14,5088,93
PHP,inc/user.class.php,user.class.php,5664,4280,698,686,704,200717,3072
PHP,inc/console/database/updatecommand.class.php,updatecommand.class.php,205,173,30,2,2,7210,143
PHP,install/update_94_95.php,update_94_95.php,2034,1691,201,142,111,78543,1195
PHP,install/update_945_946.php,update_945_946.php,52,15,37,0,0,1703,41
PHP,install/update_084_085.php,update_084_085.php,2832,2334,170,328,174,139393,1648
PHP,install/update_0782_080.php,update_0782_080.php,1548,1263,83,202,139,75013,969
PHP,ajax/updateTranslationFields.php,updateTranslationFields.php,47,10,33,4,2,1545,33
PHP,ajax/updateTrackingDeviceType.php,updateTrackingDeviceType.php,42,8,30,4,0,1429,30
PHP,inc/update.class.php,update.class.php,655,482,84,89,25,19371,494
PHP,inc/toolbox.class.php,toolbox.class.php,3602,3422,136,44,40,110248,1921
PHP,inc/system/status/statuschecker.class.php,statuschecker.class.php,519,425,66,28,46,17986,277
PHP,status.php,status.php,56,16,33,7,4,1934,40
PHP,front/stat.tracking.php,stat.tracking.php,303,233,32,38,36,10302,175
PHP,front/stat.location.php,stat.location.php,286,213,36,37,36,8612,142
PHP,front/stat.graph.php,stat.graph.php,456,350,49,57,23,17077,268
PHP,front/stat.global.php,stat.global.php,185,119,42,24,8,6385,121
PHP,inc/stat.class.php,stat.class.php,1943,1593,162,188,207,72993,967
PHP,inc/session.class.php,session.class.php,1661,943,490,228,190,49095,832
PHP,inc/search.class.php,search.class.php,7976,6084,971,921,1578,318234,4540
PHP,inc/ruleaction.class.php,ruleaction.class.php,712,681,30,1,1,23413,398
PHP,inc/rssfeed.class.php,rssfeed.class.php,1043,684,195,164,111,32313,601
PHP,inc/system/requirementsmanager.class.php,requirementsmanager.class.php,117,84,30,3,1,4344,88
PHP,inc/report.class.php,report.class.php,549,518,30,1,1,18963,349
PHP,inc/profile.class.php,profile.class.php,3289,2787,282,220,139,119836,1573
PHP,inc/caldav/backend/principal.class.php,principal.class.php,290,258,30,2,1,8768,188
PHP,inc/marketplace/api/plugins.class.php,plugins.class.php,518,429,65,24,12,16597,302
PHP,front/pluginimage.send.php,pluginimage.send.php,78,29,40,9,11,2699,55
PHP,front/plugin.form.php,plugin.form.php,54,14,33,7,4,1585,37
PHP,inc/planning.class.php,planning.class.php,2521,1704,488,329,339,90521,1521
PHP,inc/networkportinstantiation.class.php,networkportinstantiation.class.php,911,557,212,142,114,34365,543
PHP,ajax/map.php,map.php,113,74,31,8,20,3721,83
PHP,ajax/mailcollector.php,mailcollector.php,81,36,35,10,10,2719,59
PHP,inc/mailcollector.class.php,mailcollector.class.php,2179,1557,348,274,242,74048,1318
PHP,front/login.php,login.php,95,43,40,12,22,3202,65
PHP,inc/knowbaseitem.class.php,knowbaseitem.class.php,2041,1904,74,63,57,69220,1138
PHP,inc/knowbase.class.php,knowbase.class.php,379,308,47,24,16,11762,263
PHP,ajax/kanban.php,kanban.php,223,168,43,12,72,8886,163
JavaScript,js/kanban.js,kanban.js,2098,1453,509,136,201,87523,1190
PHP,front/itilsolution.form.php,itilsolution.form.php,111,67,33,11,17,3283,84
PHP,front/itilfollowup.form.php,itilfollowup.form.php,86,37,34,15,12,3066,56
PHP,inc/item_ticket.class.php,item_ticket.class.php,1204,1145,38,21,28,46481,754
PHP,front/item_device.php,item_device.php,56,19,30,7,5,1905,39
PHP,inc/console/database/installcommand.class.php,installcommand.class.php,342,310,30,2,1,11373,218
PHP,install/install.php,install.php,704,626,38,40,23,24606,426
PHP,inc/html.class.php,html.class.php,7622,5205,1515,902,818,260021,4233
PHP,inc/dashboard/grid.class.php,grid.class.php,1524,1083,244,197,112,50535,925
PHP,inc/glpinetwork.class.php,glpinetwork.class.php,325,294,30,1,2,12235,206
PHP,inc/glpimailer.class.php,glpimailer.class.php,119,87,30,2,2,3895,85
PHP,inc/glpikey.class.php,glpikey.class.php,334,303,30,1,1,9002,184
