Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Go,ssh/transport.go,transport.go,353,240,63,50,57,9318,243
Go,ssh/session_test.go,session_test.go,782,662,34,86,256,19957,350
Go,ssh/agent/server_test.go,server_test.go,259,217,7,35,78,6395,151
Go,ssh/handshake_test.go,handshake_test.go,562,436,41,85,149,13288,308
Go,ssh/handshake.go,handshake.go,668,468,93,107,155,16882,402
Go,ssh/agent/example_test.go,example_test.go,41,28,7,6,4,962,33
Go,ssh/example_test.go,example_test.go,321,233,54,34,76,8716,201
Go,ssh/doc.go,doc.go,21,1,19,1,0,919,18
Go,ssh/agent/client_test.go,client_test.go,533,441,25,67,171,14130,303
Go,ssh/client_test.go,client_test.go,256,232,4,20,63,6179,163
Go,ssh/client_auth_test.go,client_auth_test.go,907,790,35,82,189,23965,391
Go,ssh/client.go,client.go,291,179,71,41,41,8990,204
Go,ssh/certs.go,certs.go,566,412,83,71,92,16315,373
Go,ssh/test/cert_test.go,cert_test.go,78,58,9,11,14,2128,62
