Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Go,src/net/http/transfer.go,transfer.go,864,635,149,80,246,22715,539
Go,src/net/http/readrequest_test.go,readrequest_test.go,446,381,24,41,15,9347,206
Go,src/net/textproto/reader_test.go,reader_test.go,410,358,16,36,126,11369,263
Go,src/net/textproto/reader.go,reader.go,762,514,201,47,170,18805,528
Go,src/debug/gosym/pclntab_test.go,pclntab_test.go,272,219,27,26,91,7029,180
Assembly,src/crypto/elliptic/p256_asm_amd64.s,p256_asm_amd64.s,2295,2011,23,261,6,39526,920
Go,src/crypto/elliptic/p224_test.go,p224_test.go,47,38,3,6,6,994,38
Go,src/crypto/elliptic/p224.go,p224.go,765,516,147,102,68,20781,530
Go,src/net/http/header.go,header.go,223,149,47,27,36,5995,153
Go,src/crypto/tls/handshake_server.go,handshake_server.go,750,597,59,94,191,21497,426
Go,src/crypto/tls/handshake_client_test.go,handshake_client_test.go,696,553,55,88,110,20045,423
Go,src/crypto/tls/handshake_client.go,handshake_client.go,667,530,48,89,178,18572,391
Go,src/crypto/elliptic/elliptic_test.go,elliptic_test.go,483,451,5,27,66,14449,259
Go,src/crypto/elliptic/elliptic.go,elliptic.go,385,283,49,53,45,11463,276
