Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
C,src/utils/xml_parser.c,xml_parser.c,2221,2013,54,154,319,57226,1375
C,src/filters/write_nhml.c,write_nhml.c,837,681,38,118,161,27016,510
C,src/scenegraph/vrml_proto.c,vrml_proto.c,1359,1058,125,176,340,43385,801
C,src/media_tools/vobsub.c,vobsub.c,664,532,43,89,117,13339,427
C,src/bifs/unquantize.c,unquantize.c,438,339,53,46,70,13404,277
C,src/isomedia/tx3g.c,tx3g.c,781,638,47,96,175,24135,464
C,src/isomedia/track.c,track.c,1196,945,117,134,302,42200,794
C Header,include/gpac/tools.h,tools.h,1094,235,729,130,3,34133,650
C,src/scene_manager/swf_parse.c,swf_parse.c,2671,2246,151,274,424,68248,1771
C,src/scenegraph/svg_attributes.c,svg_attributes.c,6536,6032,166,338,1483,199693,3445
C,src/isomedia/stbl_write.c,stbl_write.c,1885,1501,176,208,460,60419,1152
C,src/isomedia/stbl_read.c,stbl_read.c,622,460,96,66,162,19726,410
C,src/bifs/script_dec.c,script_dec.c,786,681,38,67,80,18476,410
C,src/scene_manager/scene_manager.c,scene_manager.c,817,659,75,83,202,22976,536
C,src/scene_manager/scene_dump.c,scene_dump.c,3617,3230,86,301,874,101511,1806
C,src/isomedia/sample_descs.c,sample_descs.c,1171,962,36,173,260,39073,523
C,src/filters/reframe_rawpcm.c,reframe_rawpcm.c,309,231,36,42,36,9818,221
C,src/filters/reframe_nalu.c,reframe_nalu.c,2616,2119,212,285,591,84139,1703
C,src/filters/reframe_mpgvid.c,reframe_mpgvid.c,1021,822,84,115,220,30351,690
C,src/filters/reframe_mp3.c,reframe_mp3.c,526,407,42,77,99,13861,357
C,src/filters/reframe_adts.c,reframe_adts.c,720,574,52,94,129,20394,481
C,src/filters/reframe_ac3.c,reframe_ac3.c,551,432,43,76,108,14790,368
C,src/utils/os_file.c,os_file.c,982,850,44,88,176,24556,552
C,src/utils/os_divers.c,os_divers.c,2041,1657,104,280,309,51278,1141
C,src/filters/mux_isom.c,mux_isom.c,1449,1215,51,183,384,49908,953
C,src/media_tools/mpegts.c,mpegts.c,3315,2700,259,356,726,104531,2074
C,src/media_tools/mpeg2_ps.c,mpeg2_ps.c,2053,1592,282,179,460,53770,1265
C,src/isomedia/movie_fragments.c,movie_fragments.c,2262,1727,221,314,531,71165,1274
C,src/bifs/memory_decoder.c,memory_decoder.c,1043,867,54,122,153,31406,537
C,src/isomedia/media_odf.c,media_odf.c,523,389,80,54,103,17386,321
C,src/media_tools/media_export.c,media_export.c,1205,996,72,137,273,39424,783
C,src/isomedia/media.c,media.c,998,775,112,111,278,34013,609
C,applications/mp4client/main.c,main.c,3004,2689,67,248,843,90450,1917
C,applications/mp4box/main.c,main.c,5338,4946,97,295,1676,188368,3343
C,src/laser/lsr_dec.c,lsr_dec.c,5685,5204,162,319,806,165869,3026
C,src/scene_manager/loader_xmt.c,loader_xmt.c,3189,2775,165,249,1350,104593,2014
C,src/scene_manager/loader_svg.c,loader_svg.c,2150,1721,222,207,638,75111,1409
C,src/scene_manager/loader_bt.c,loader_bt.c,3771,3338,173,260,936,114460,2155
C,src/filters/load_text.c,load_text.c,2827,2456,79,292,814,90785,1662
C Header,include/gpac/internal/isomedia_dev.h,isomedia_dev.h,3787,2839,330,618,3,95802,2126
C Header,include/gpac/isomedia.h,isomedia.h,2747,996,1196,555,0,137392,1918
C,src/isomedia/isom_write.c,isom_write.c,5775,4683,322,770,1438,182061,2716
C,src/media_tools/isom_tools.c,isom_tools.c,3357,2860,158,339,699,103413,1999
C,src/isomedia/isom_store.c,isom_store.c,1357,1051,173,133,357,42514,803
C,src/isomedia/isom_read.c,isom_read.c,4312,3534,229,549,1118,131116,2170
C,src/isomedia/isom_intern.c,isom_intern.c,1124,863,127,134,265,35012,663
C,src/media_tools/isom_hinter.c,isom_hinter.c,1243,955,137,151,271,42811,870
C,src/filters/isoffin_read_ch.c,isoffin_read_ch.c,531,414,51,66,135,18191,346
C,src/filters/isoffin_read.c,isoffin_read.c,889,705,60,124,205,29095,573
C,src/filters/isoffin_load.c,isoffin_load.c,595,491,42,62,111,20838,424
C,src/isomedia/hint_track.c,hint_track.c,993,713,124,156,205,32086,499
C,src/filter_core/filter_session.c,filter_session.c,1745,1393,97,255,426,51717,1048
C,src/filter_core/filter_pid.c,filter_pid.c,3506,2755,316,435,862,119139,2103
C,applications/mp4box/fileimport.c,fileimport.c,2966,2501,162,303,948,95123,1928
C,applications/mp4box/filedump.c,filedump.c,3310,2949,63,298,794,115106,2062
C,src/bifs/field_decode.c,field_decode.c,943,723,129,91,233,29551,572
C,modules/ffmpeg_in/ffmpeg_demux.c,ffmpeg_demux.c,1057,851,75,131,248,31780,671
C,src/filters/ff_dmx.c,ff_dmx.c,857,680,48,129,164,27506,536
C,src/isomedia/drm_sample.c,drm_sample.c,1452,1157,55,240,366,50507,697
C,src/filters/dmx_m2ts.c,dmx_m2ts.c,990,816,53,121,168,31050,609
C,src/filters/dmx_avi.c,dmx_avi.c,513,415,34,64,77,14665,359
C,src/odf/descriptors.c,descriptors.c,1129,957,47,125,189,31968,657
C,src/filters/dec_xvid.c,dec_xvid.c,448,345,39,64,55,12187,283
C,src/isomedia/box_funcs.c,box_funcs.c,1547,1257,107,183,190,56397,1132
C,src/isomedia/box_dump.c,box_dump.c,5191,4823,32,336,324,174479,2754
C,src/isomedia/box_code_meta.c,box_code_meta.c,974,871,26,77,247,25808,455
C,src/isomedia/box_code_drm.c,box_code_drm.c,1871,1566,53,252,294,47226,755
C,src/isomedia/box_code_base.c,box_code_base.c,11214,9240,239,1735,1860,272808,4230
C,src/isomedia/box_code_apple.c,box_code_apple.c,309,220,32,57,68,7157,155
C,src/isomedia/box_code_adobe.c,box_code_adobe.c,674,528,26,120,94,18276,302
C,src/isomedia/box_code_3gpp.c,box_code_3gpp.c,1186,993,29,164,113,28326,515
C,src/utils/bitstream.c,bitstream.c,1206,979,92,135,241,27415,649
C,src/media_tools/avilib.c,avilib.c,3116,2092,368,656,436,87416,1616
C,src/isomedia/avc_ext.c,avc_ext.c,2674,2288,95,291,686,96226,1497
C,src/media_tools/av_parsers.c,av_parsers.c,5847,4999,240,608,1224,163341,3416
