Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Python,gradio/utils.py,utils.py,679,591,32,56,70,22788,449
Python,test/test_utils.py,test_utils.py,513,508,0,5,0,16650,309
Python,test/test_routes.py,test_routes.py,262,239,2,21,4,8961,134
Python,test/test_queue.py,test_queue.py,236,200,0,36,0,8446,126
Python,test/test_processing_utils.py,test_processing_utils.py,214,185,2,27,1,7823,141
Python,test/test_examples.py,test_examples.py,231,210,0,21,2,7763,129
Python,test/test_components.py,test_components.py,1830,1743,38,49,7,63671,896
Python,gradio/routes.py,routes.py,436,362,18,56,58,15372,335
Python,gradio/queue.py,queue.py,305,221,57,27,22,10167,216
Python,gradio/processing_utils.py,processing_utils.py,656,610,22,24,22,22740,476
Python,gradio/networking.py,networking.py,184,152,17,15,13,6864,147
Python,gradio/flagging.py,flagging.py,550,490,44,16,6,20976,325
YAML,.github/workflows/deploy-spaces.yml,deploy-spaces.yml,58,56,0,2,0,2257,53
Python,gradio/blocks.py,blocks.py,1308,1275,21,12,30,53334,982
Svelte,ui/packages/image/src/StaticImage.svelte,StaticImage.svelte,25,20,0,5,2,698,21
Svelte,ui/packages/app/src/components/Gallery/Gallery.svelte,Gallery.svelte,211,190,0,21,10,6107,171
TypeScript,ui/packages/app/src/components/Chatbot/Chatbot.test.ts,Chatbot.test.ts,63,50,0,13,0,1614,45
Svelte,ui/packages/app/src/components/Chatbot/Chatbot.svelte,Chatbot.svelte,35,31,0,4,4,1059,32
