Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Go,pkg/services/sqlstore/user_test.go,user_test.go,535,406,20,109,14,16226,221
TypeScript,packages/grafana-data/src/text/sanitize.ts,sanitize.ts,40,26,8,6,0,1241,32
Go,pkg/macaron/router.go,router.go,229,155,39,35,23,6333,159
Go,pkg/util/proxyutil/proxyutil_test.go,proxyutil_test.go,67,55,0,12,0,2289,39
Go,pkg/util/proxyutil/proxyutil.go,proxyutil.go,44,35,4,5,12,1133,35
Go,pkg/api/plugins_test.go,plugins_test.go,201,169,0,32,1,5384,94
Go,pkg/api/plugins.go,plugins.go,445,348,22,75,114,13911,251
Go,pkg/api/pluginproxy/pluginproxy_test.go,pluginproxy_test.go,203,174,5,24,4,5367,87
Go,pkg/api/pluginproxy/pluginproxy.go,pluginproxy.go,80,63,3,14,12,2247,54
JSON,package.json,package.json,353,353,0,0,0,13224,342
Go,pkg/middleware/middleware_test.go,middleware_test.go,690,571,3,116,12,23093,337
Go,pkg/middleware/middleware_jwt_auth_test.go,middleware_jwt_auth_test.go,126,109,0,17,0,4212,63
Go,pkg/middleware/middleware_basic_auth_test.go,middleware_basic_auth_test.go,136,110,0,26,4,4168,72
Go,pkg/plugins/backendplugin/manager/manager_test.go,manager_test.go,511,433,0,78,25,15612,289
Go,pkg/plugins/backendplugin/manager/manager.go,manager.go,531,424,16,91,115,14103,294
JSON,latest.json,latest.json,4,4,0,0,0,52,5
TypeScript,packages/grafana-data/src/text/index.ts,index.ts,11,10,0,1,0,243,11
TypeScript,public/app/features/canvas/elements/icon.tsx,icon.tsx,149,129,5,15,12,3575,114
Go,pkg/api/pluginproxy/ds_proxy_test.go,ds_proxy_test.go,912,771,12,129,23,29818,479
Go,pkg/api/pluginproxy/ds_proxy.go,ds_proxy.go,339,279,8,52,71,10087,223
Go,pkg/api/datasources.go,datasources.go,485,386,9,90,96,13489,231
Go,pkg/api/dashboard_snapshot.go,dashboard_snapshot.go,334,267,8,59,76,8971,182
Go,pkg/tsdb/testdatasource/csv_data.go,csv_data.go,277,226,10,41,90,6668,158
Go,pkg/services/contexthandler/contexthandler.go,contexthandler.go,498,390,33,75,96,15024,301
Go,pkg/services/contexthandler/auth_jwt.go,auth_jwt.go,64,52,0,12,19,1573,42
Markdown,docs/sources/release-notes/_index.md,_index.md,60,57,0,3,0,3698,57
TypeScript,public/app/features/dashboard/components/ShareModal/ShareSnapshot.tsx,ShareSnapshot.tsx,312,266,8,38,12,9171,231
TypeScript,public/app/features/dimensions/editors/ResourcePicker.tsx,ResourcePicker.tsx,171,156,7,8,28,5397,155
TypeScript,public/app/features/dimensions/editors/ResourceCards.tsx,ResourceCards.tsx,110,102,0,8,5,3083,97
TypeScript,public/app/features/query/components/QueryGroup.tsx,QueryGroup.tsx,427,375,8,44,30,12117,314
TypeScript,public/app/core/components/PluginHelp/PluginHelp.tsx,PluginHelp.tsx,82,69,0,13,11,1769,58
TypeScript,public/app/core/components/NavBar/NavBarItem.tsx,NavBarItem.tsx,159,142,2,15,9,3830,133
TypeScript,public/app/plugins/panel/geomap/layers/data/MarkersLegend.tsx,MarkersLegend.tsx,105,85,10,10,7,3237,88
TypeScript,packages/grafana-ui/src/components/Icon/Icon.tsx,Icon.tsx,114,99,2,13,28,3032,94
TypeScript,public/app/core/components/NavBar/DropdownChild.tsx,DropdownChild.tsx,74,67,0,7,9,1913,62
TypeScript,public/app/features/dashboard/components/DashNav/DashNav.tsx,DashNav.tsx,268,222,5,41,29,7768,176
TypeScript,packages/grafana-ui/src/components/ConfirmModal/ConfirmModal.tsx,ConfirmModal.tsx,114,96,13,5,7,3405,106
Markdown,CHANGELOG.md,CHANGELOG.md,3724,2890,0,834,0,408133,2619
TypeScript,public/app/angular/AngularApp.ts,AngularApp.ts,121,99,4,18,6,3691,100
