Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
C,lib/handler/configurator/throttle_resp.c,throttle_resp.c,74,42,21,11,6,2916,52
C,src/ssl.c,ssl.c,1374,1153,74,147,326,51586,843
C,lib/handler/configurator/server_timing.c,server_timing.c,84,45,24,15,8,3126,58
C,lib/http3/server.c,server.c,2364,1796,301,267,434,109109,1501
C,lib/core/request.c,request.c,896,703,60,133,206,33821,571
C,lib/handler/configurator/reproxy.c,reproxy.c,83,45,24,14,7,2970,58
C,deps/quicly/lib/quicly.c,quicly.c,7219,5720,680,819,1711,312663,4123
C,lib/core/proxy.c,proxy.c,985,786,91,108,337,40511,648
C Header,deps/picotls/include/picotls.h,picotls.h,2074,1121,835,118,127,108682,1217
C,deps/picotls/lib/picotls.c,picotls.c,6739,5583,384,772,1875,271900,3583
C,src/main.c,main.c,5079,4218,336,525,1308,206600,3191
C,lib/handler/configurator/headers_util.c,headers_util.c,272,240,0,32,65,11256,171
C,lib/handler/configurator/headers.c,headers.c,74,42,21,11,11,2691,53
C Header,include/h2o.h,h2o.h,2584,1072,1316,196,33,88283,1435
C,lib/handler/file.c,file.c,1044,860,68,116,278,41423,702
C,lib/handler/configurator/fastcgi.c,fastcgi.c,370,293,38,39,73,14283,246
C,lib/handler/configurator/expires.c,expires.c,124,82,30,12,36,4785,97
C,lib/handler/configurator/errordoc.c,errordoc.c,163,112,31,20,33,6157,111
C,lib/http2/connection.c,connection.c,2004,1572,172,260,478,85797,1174
C Header,include/h2o/configurator.h,configurator.h,207,71,123,13,5,7996,130
C,lib/handler/configurator/compress.c,compress.c,171,131,21,19,49,6987,116
Ruby,share/h2o/mruby/acl.rb,acl.rb,130,86,20,24,15,3571,85
C,lib/handler/configurator/access_log.c,access_log.c,128,84,26,18,17,4708,91
Raku,t/80resume-context.t,80resume-context.t,128,123,1,4,1,3692,88
Raku,t/80issues3388.t,80issues3388.t,63,60,0,3,3,1361,52
Raku,t/50file-custom-handler.t,50file-custom-handler.t,177,173,1,3,2,4723,72
