Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Go,pkg/plugin/installer/vcs_installer_test.go,vcs_installer_test.go,181,124,25,32,55,5275,104
Go,pkg/action/upgrade.go,upgrade.go,617,430,113,74,136,22004,412
Go,cmd/helm/upgrade.go,upgrade.go,282,229,29,24,49,12693,219
YAML,pkg/downloader/testdata/repository/testing-relative-trailing-slash-index.yaml,testing-relative-trailing-slash-index.yaml,28,28,0,0,0,703,20
YAML,pkg/downloader/testdata/repository/testing-relative-index.yaml,testing-relative-index.yaml,28,28,0,0,0,703,20
YAML,pkg/downloader/testdata/repository/testing-querystring-index.yaml,testing-querystring-index.yaml,16,16,0,0,0,385,17
YAML,cmd/helm/testdata/helmhome/helm/repository/testing-index.yaml,testing-index.yaml,66,66,0,0,0,1955,44
YAML,pkg/downloader/testdata/repository/testing-index.yaml,testing-index.yaml,43,43,0,0,0,1167,25
YAML,pkg/downloader/testdata/repository/testing-https-index.yaml,testing-https-index.yaml,15,15,0,0,0,361,16
YAML,pkg/downloader/testdata/repository/testing-ca-file-index.yaml,testing-ca-file-index.yaml,15,15,0,0,0,361,16
YAML,pkg/downloader/testdata/repository/testing-basicauth-index.yaml,testing-basicauth-index.yaml,15,15,0,0,0,378,16
JSON,pkg/chartutil/testdata/test-values-invalid.schema.json,test-values-invalid.schema.json,1,1,0,0,0,24,2
Go,cmd/helm/search_repo_test.go,search_repo_test.go,93,70,15,8,2,3332,70
Go,cmd/helm/search_repo.go,search_repo.go,382,285,51,46,68,12091,266
Go,pkg/chartutil/save_test.go,save_test.go,237,185,22,30,58,5994,146
Go,pkg/chartutil/save.go,save.go,244,170,48,26,76,6221,147
Go,cmd/helm/repo_update_test.go,repo_update_test.go,239,192,20,27,52,6695,108
Go,cmd/helm/repo_update.go,repo_update.go,167,127,18,22,30,4945,119
Go,pkg/repo/repo_test.go,repo_test.go,257,212,15,30,43,5945,119
Go,pkg/repo/repo.go,repo.go,125,84,27,14,19,2980,87
Go,pkg/plugin/plugin_test.go,plugin_test.go,378,324,16,38,104,9529,208
Go,cmd/helm/plugin_install.go,plugin_install.go,94,65,16,13,10,2588,67
YAML,pkg/plugin/testdata/plugdir/bad/duplicate-entries/plugin.yaml,plugin.yaml,11,11,0,0,0,223,11
YAML,pkg/plugin/testdata/plugdir/good/downloader/plugin.yaml,plugin.yaml,11,11,0,0,0,206,12
YAML,pkg/plugin/testdata/plugdir/good/hello/plugin.yaml,plugin.yaml,9,9,0,0,0,170,10
YAML,pkg/plugin/testdata/plugdir/good/echo/plugin.yaml,plugin.yaml,8,8,0,0,0,157,9
Go,pkg/plugin/plugin.go,plugin.go,281,159,88,34,35,9218,202
Go,pkg/chart/metadata_test.go,metadata_test.go,124,105,15,4,9,3134,67
Go,pkg/chart/metadata.go,metadata.go,163,106,43,14,24,5181,125
Go,pkg/downloader/manager_test.go,manager_test.go,574,474,51,49,101,14807,266
YAML,pkg/downloader/testdata/repository/malformed-index.yaml,malformed-index.yaml,16,16,0,0,0,385,17
Go,pkg/plugin/installer/local_installer_test.go,local_installer_test.go,65,40,15,10,15,1735,43
YAML,pkg/repo/testdata/local-index.yaml,local-index.yaml,52,52,0,0,0,1298,30
YAML,pkg/repo/testdata/local-index-unordered.yaml,local-index-unordered.yaml,52,52,0,0,0,1298,30
YAML,pkg/repo/testdata/local-index-annotations.yaml,local-index-annotations.yaml,54,54,0,0,0,1335,32
Go,cmd/helm/load_plugins.go,load_plugins.go,376,257,77,42,72,11903,266
YAML,internal/resolver/testdata/repository/kubernetes-charts-index.yaml,kubernetes-charts-index.yaml,49,49,0,0,0,1321,35
YAML,pkg/downloader/testdata/repository/kubernetes-charts-index.yaml,kubernetes-charts-index.yaml,49,49,0,0,0,1321,35
Go,pkg/chartutil/jsonschema_test.go,jsonschema_test.go,167,133,15,19,31,4203,79
Go,pkg/chartutil/jsonschema.go,jsonschema.go,93,62,18,13,20,2451,60
Go,cmd/helm/install.go,install.go,346,277,38,31,46,13940,243
Go,pkg/action/install.go,install.go,822,591,132,99,211,25383,528
Go,pkg/repo/index_test.go,index_test.go,567,475,22,70,146,16474,301
Go,pkg/repo/index.go,index.go,363,241,81,41,73,10742,237
Go,pkg/plugin/installer/http_installer_test.go,http_installer_test.go,350,264,35,51,94,10002,192
Go,pkg/plugin/installer/http_installer.go,http_installer.go,268,173,61,34,45,7626,175
Shell,pkg/plugin/testdata/plugdir/good/hello/hello.sh,hello.sh,9,4,1,4,0,89,6
Go,pkg/chart/errors.go,errors.go,30,9,16,5,0,963,23
Go,pkg/chartutil/errors.go,errors.go,35,12,17,6,0,992,25
Go,pkg/engine/engine_test.go,engine_test.go,1111,951,42,118,161,31312,503
Go,pkg/engine/engine.go,engine.go,421,268,102,51,59,13616,294
Go,pkg/chart/dependency_test.go,dependency_test.go,44,27,15,2,8,1162,39
Go,pkg/chart/dependency.go,dependency.go,82,33,44,5,6,3114,69
Go,pkg/repo/chartrepo.go,chartrepo.go,317,227,50,40,56,10294,206
YAML,pkg/repo/testdata/chartmuseum-index.yaml,chartmuseum-index.yaml,54,54,0,0,0,1334,32
Go,pkg/lint/rules/chartfile_test.go,chartfile_test.go,247,193,16,38,52,7606,132
Go,pkg/lint/rules/chartfile.go,chartfile.go,209,151,23,35,53,6617,125
Go,pkg/downloader/chart_downloader_test.go,chart_downloader_test.go,347,285,21,41,73,9841,165
Go,pkg/chart/chart.go,chart.go,173,100,51,22,19,5050,119
Go,pkg/action/action.go,action.go,424,274,100,50,80,13995,296
