Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
BASH,bin/v-update-user-backup-exclusions,v-update-user-backup-exclusions,83,64,15,4,1,2352,59
BASH,bin/v-update-sys-hestia,v-update-sys-hestia,55,13,30,12,0,1782,36
BASH,bin/v-update-host-certificate,v-update-host-certificate,97,47,33,17,8,3189,69
BASH,bin/v-schedule-letsencrypt-domain,v-schedule-letsencrypt-domain,68,25,30,13,1,2131,48
BASH,bin/v-purge-nginx-cache,v-purge-nginx-cache,74,30,30,14,3,2230,51
BASH,bin/v-log-user-logout,v-log-user-logout,44,14,20,10,1,1415,28
BASH,bin/v-log-action,v-log-action,62,22,27,13,10,1888,41
BASH,bin/v-get-user-salt,v-get-user-salt,126,75,32,19,4,3223,92
BASH,bin/v-generate-ssl-cert,v-generate-ssl-cert,189,121,38,30,15,4778,135
BASH,bin/v-delete-user-ssh-key,v-delete-user-ssh-key,61,20,27,14,2,1809,40
BASH,bin/v-delete-user-notification,v-delete-user-notification,72,29,29,14,5,2056,47
BASH,bin/v-delete-mail-account-forward,v-delete-mail-account-forward,83,57,20,6,3,2656,60
BASH,bin/v-delete-dns-on-web-alias,v-delete-dns-on-web-alias,92,45,33,14,6,3015,67
BASH,bin/v-delete-database-temp-user,v-delete-database-temp-user,69,27,29,13,2,2125,49
BASH,bin/v-check-access-key,v-check-access-key,114,55,36,23,7,3409,78
BASH,bin/v-change-web-domain-name,v-change-web-domain-name,124,66,39,19,8,4102,93
BASH,bin/v-change-user-theme,v-change-user-theme,65,22,29,14,2,1947,43
BASH,bin/v-change-user-ns,v-change-user-ns,88,46,29,13,6,2596,63
BASH,bin/v-add-web-php,v-add-web-php,150,84,39,27,20,4768,102
BASH,bin/v-add-web-domain-redirect,v-add-web-domain-redirect,121,68,36,17,13,4023,86
BASH,bin/v-add-user,v-add-user,278,192,47,39,21,7560,201
BASH,bin/v-add-remote-dns-host,v-add-remote-dns-host,118,62,39,17,5,3635,86
BASH,bin/v-add-remote-dns-domain,v-add-remote-dns-domain,99,46,34,19,5,3013,68
BASH,bin/v-add-mail-domain-webmail,v-add-mail-domain-webmail,190,124,40,26,31,6341,127
BASH,bin/v-add-mail-domain-ssl,v-add-mail-domain-ssl,139,77,39,23,13,4169,96
BASH,bin/v-add-mail-domain,v-add-mail-domain,215,132,48,35,24,6769,154
BASH,bin/v-add-firewall-chain,v-add-firewall-chain,108,55,35,18,5,3461,81
BASH,bin/v-add-fastcgi-cache,v-add-fastcgi-cache,119,64,32,23,8,3565,82
BASH,bin/v-add-dns-record,v-add-dns-record,161,126,26,9,10,4962,118
BASH,bin/v-add-dns-domain,v-add-dns-domain,233,157,45,31,25,6719,175
BASH,bin/v-add-cron-job,v-add-cron-job,93,79,12,2,0,2756,67
BASH,bin/v-add-backup-host,v-add-backup-host,258,212,28,18,21,7606,182
BASH,bin/v-add-access-key,v-add-access-key,106,55,29,22,6,3508,75
HTML,web/templates/includes/title.html,title.html,2,2,0,0,0,129,2
HTML,web/templates/pages/setup_webapp.html,setup_webapp.html,96,89,2,5,0,4069,86
HTML,web/templates/pages/login/reset_3.html,reset_3.html,66,65,0,1,0,2115,45
HTML,web/templates/pages/login/reset_2.html,reset_2.html,58,57,0,1,0,1837,43
PHP,web/inc/prevent_csrf.php,prevent_csrf.php,86,79,1,6,37,3973,56
Shell,func/main.sh,main.sh,1676,1417,119,140,232,54021,1041
PHP,web/inc/main.php,main.php,523,416,52,55,99,16027,324
HTML,web/templates/pages/list_weblog.html,list_weblog.html,41,37,1,3,0,3032,38
HTML,web/templates/pages/list_webapps.html,list_webapps.html,55,49,3,3,0,1868,47
HTML,web/templates/pages/list_web.html,list_web.html,257,242,7,8,0,12822,209
HTML,web/templates/pages/list_user.html,list_user.html,196,182,9,5,0,13090,168
HTML,web/templates/pages/list_ssl.html,list_ssl.html,80,74,2,4,0,2315,40
HTML,web/templates/pages/list_packages.html,list_packages.html,232,221,7,4,0,12235,155
HTML,web/templates/pages/list_mail_acc.html,list_mail_acc.html,215,204,6,5,0,11762,168
HTML,web/templates/pages/list_mail.html,list_mail.html,236,226,6,4,0,12602,186
HTML,web/templates/pages/list_key.html,list_key.html,73,66,3,4,0,3341,61
HTML,web/templates/pages/list_dns_rec.html,list_dns_rec.html,157,146,6,5,0,9139,136
HTML,web/templates/pages/list_dns.html,list_dns.html,164,154,6,4,0,9808,144
HTML,web/templates/pages/list_db.html,list_db.html,196,183,6,7,0,11705,171
HTML,web/templates/pages/list_cron.html,list_cron.html,162,152,6,4,0,9155,141
HTML,web/templates/pages/list_backup_detail.html,list_backup_detail.html,260,243,8,9,0,10496,110
PHP,web/edit/server/httpd/index.php,index.php,56,34,10,12,6,1371,42
PHP,web/edit/cron/index.php,index.php,79,54,10,15,8,2099,62
PHP,web/delete/db/index.php,index.php,28,21,1,6,4,637,21
PHP,web/start/service/index.php,index.php,31,25,2,4,8,806,27
PHP,web/edit/ip/index.php,index.php,108,75,15,18,24,3205,73
PHP,web/download/web-log/index.php,index.php,42,34,2,6,10,1130,29
PHP,web/delete/web/index.php,index.php,29,21,2,6,4,684,22
PHP,web/edit/package/index.php,index.php,322,273,21,28,61,9791,231
PHP,web/download/backup/index.php,index.php,40,34,1,5,11,1351,33
PHP,web/delete/web/cache/index.php,index.php,22,16,2,4,3,646,18
PHP,web/edit/server/index.php,index.php,1332,1166,80,86,460,55643,659
PHP,web/edit/server/nginx/index.php,index.php,70,47,11,12,6,2092,56
PHP,web/edit/server/mariadb/index.php,index.php,65,42,11,12,6,1830,51
PHP,web/edit/server/postgresql/index.php,index.php,76,50,12,14,8,2207,53
PHP,web/edit/server/clamav-daemon/index.php,index.php,56,34,10,12,6,1400,42
PHP,web/edit/server/ssh/index.php,index.php,56,34,10,12,6,1363,42
PHP,web/delete/firewall/ipset/index.php,index.php,31,22,3,6,4,651,23
PHP,web/unsuspend/dns/index.php,index.php,61,51,4,6,13,1647,37
PHP,web/delete/firewall/banlist/index.php,index.php,32,23,3,6,5,716,24
PHP,web/unsuspend/mail/index.php,index.php,62,52,4,6,13,1686,38
PHP,web/unsuspend/user/index.php,index.php,32,23,3,6,4,636,24
PHP,web/delete/backup/index.php,index.php,28,21,1,6,4,636,21
PHP,web/delete/cron/index.php,index.php,29,22,1,6,4,659,22
PHP,web/unsuspend/cron/index.php,index.php,26,18,2,6,2,526,20
PHP,web/unsuspend/firewall/index.php,index.php,31,22,3,6,4,626,23
PHP,web/unsuspend/db/index.php,index.php,26,18,2,6,2,544,20
PHP,web/delete/cron/reports/index.php,index.php,13,8,1,4,0,235,10
PHP,web/unsuspend/web/index.php,index.php,26,18,2,6,2,535,20
PHP,web/reset2fa/index.php,index.php,40,32,3,5,9,1424,35
PHP,web/login/index.php,index.php,339,274,31,34,73,15004,261
PHP,web/add/dns/index.php,index.php,291,240,22,29,66,8797,183
PHP,web/add/mail/index.php,index.php,374,303,33,38,101,12752,225
PHP,web/add/user/index.php,index.php,184,141,19,24,33,5650,126
PHP,web/delete/backup/exclusion/index.php,index.php,28,21,1,6,4,658,21
PHP,web/add/webapp/index.php,index.php,130,109,8,13,27,4567,96
PHP,web/delete/package/index.php,index.php,32,24,2,6,4,715,24
PHP,web/add/ip/index.php,index.php,118,91,13,14,23,3009,88
PHP,web/delete/cron/autoupdate/index.php,index.php,15,10,1,4,1,295,12
PHP,web/add/key/index.php,index.php,73,55,8,10,13,2356,54
PHP,web/add/cron/reports/index.php,index.php,12,8,1,3,0,231,10
PHP,web/delete/key/index.php,index.php,29,21,2,6,4,619,22
PHP,web/add/cron/index.php,index.php,97,78,9,10,31,2501,72
PHP,web/add/cron/autoupdate/index.php,index.php,14,10,1,3,2,283,12
PHP,web/delete/ip/index.php,index.php,26,20,1,5,3,555,21
PHP,web/restart/service/index.php,index.php,31,25,2,4,8,817,26
PHP,web/add/package/index.php,index.php,303,266,17,20,67,8716,220
PHP,web/add/firewall/banlist/index.php,index.php,70,49,10,11,13,1637,52
PHP,web/add/firewall/ipset/index.php,index.php,79,58,9,12,16,1972,57
PHP,web/add/firewall/index.php,index.php,110,86,11,13,24,2865,81
PHP,web/restart/system/index.php,index.php,34,25,5,4,5,1104,30
PHP,web/suspend/db/index.php,index.php,27,20,2,5,2,578,22
PHP,web/stop/service/index.php,index.php,33,25,2,6,8,802,26
PHP,web/add/db/index.php,index.php,163,131,15,17,39,5460,119
PHP,web/add/web/index.php,index.php,590,482,47,61,151,23628,389
PHP,web/delete/mail/index.php,index.php,61,50,4,7,11,1593,38
PHP,web/update/hestia/index.php,index.php,28,21,2,5,5,668,23
PHP,web/generate/ssl/index.php,index.php,126,94,14,18,15,3202,88
PHP,web/edit/backup/exclusions/index.php,index.php,126,90,14,22,14,3526,86
PHP,web/delete/dns/index.php,index.php,60,47,4,9,10,1517,38
PHP,web/delete/user/index.php,index.php,27,21,1,5,3,601,22
PHP,web/edit/server/bind9/index.php,index.php,71,47,11,13,8,2026,48
PHP,web/edit/server/fail2ban/index.php,index.php,56,34,10,12,6,1377,42
PHP,web/search/index.php,index.php,32,20,4,8,5,840,25
PHP,web/delete/notification/index.php,index.php,21,16,1,4,3,624,15
PHP,web/delete/log/index.php,index.php,36,24,5,7,7,921,29
PHP,web/edit/server/mysql/index.php,index.php,65,42,11,12,6,1826,51
PHP,web/delete/log/auth/index.php,index.php,49,32,6,11,8,1418,36
PHP,web/bulk/dns/index.php,index.php,83,71,3,9,15,2248,43
PHP,web/bulk/user/index.php,index.php,54,46,1,7,4,1637,32
PHP,web/bulk/hestia/index.php,index.php,27,19,1,7,2,595,20
PHP,web/bulk/mail/index.php,index.php,87,76,3,8,14,2512,41
PHP,web/bulk/ip/index.php,index.php,34,26,1,7,3,788,26
PHP,web/bulk/package/index.php,index.php,32,23,1,8,3,675,24
PHP,web/bulk/service/index.php,index.php,39,30,1,8,5,1032,28
PHP,web/bulk/restore/index.php,index.php,55,46,1,8,14,1439,41
PHP,web/bulk/backup/exclusions/index.php,index.php,25,17,1,7,1,562,18
PHP,web/edit/server/mysqld/index.php,index.php,65,42,11,12,6,1827,51
PHP,web/bulk/cron/index.php,index.php,69,61,1,7,5,2352,34
PHP,web/bulk/firewall/ipset/index.php,index.php,32,21,3,8,3,667,23
PHP,web/bulk/backup/index.php,index.php,25,17,1,7,1,531,18
PHP,web/bulk/firewall/banlist/index.php,index.php,34,23,3,8,3,761,25
PHP,web/bulk/firewall/index.php,index.php,38,26,3,9,3,804,26
