Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Python,tests/test_http.py,test_http.py,738,711,5,22,17,27055,388
Python,tests/test_auth.py,test_auth.py,407,374,16,17,13,16874,247
BASH,script/test,test,76,60,10,6,10,2046,66
Python,setup.py,setup.py,109,106,0,3,2,3565,84
Plain Text,requirements.txt,requirements.txt,1,1,0,0,0,69,2
BASH,script/release,release,244,209,3,32,38,6380,166
Python,python3/httplib2/error.py,error.py,48,25,3,20,0,954,20
Python,python2/httplib2/error.py,error.py,48,25,3,20,0,954,20
Python,python2/httplib2/auth.py,auth.py,63,50,4,9,0,2026,44
Python,python3/httplib2/auth.py,auth.py,63,50,4,9,0,2026,44
Python,python2/httplib2/__init__.py,__init__.py,2009,1884,44,81,43,74962,1349
Python,tests/__init__.py,__init__.py,727,723,0,4,1,24460,536
Python,python3/httplib2/__init__.py,__init__.py,1786,1703,44,39,30,68609,1241
