Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
JavaScript,src/toolbar.js,toolbar.js,296,222,36,38,63,10090,208
JSON,package.json,package.json,33,33,0,0,0,1150,31
JavaScript,dist/jsuites.layout.js,jsuites.layout.js,3453,2510,448,495,633,115353,2074
CSS,dist/jsuites.layout.css,jsuites.layout.css,2321,1886,60,375,0,50398,1081
JavaScript,dist/jsuites.js,jsuites.js,12274,9217,1472,1585,3135,402812,6719
CSS,dist/jsuites.css,jsuites.css,2825,2366,26,433,0,65266,1151
JavaScript,dist/jsuites.basic.js,jsuites.basic.js,10095,7582,1212,1301,2606,336792,5671
CSS,dist/jsuites.basic.css,jsuites.basic.css,2250,1875,22,353,0,53102,959
JavaScript,src/editor.js,editor.js,1334,984,205,145,300,47927,826
CSS,src/contextmenu.css,contextmenu.css,144,129,0,15,0,3095,103
