Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
TypeScript,packages/auth/src/lib/useFromRedirect.ts,useFromRedirect.ts,15,13,0,2,3,361,14
TypeScript,packages/core/src/fields/types/relationship/index.ts,index.ts,243,217,18,8,36,8163,194
TypeScript,packages/core/src/admin-ui/system/index.ts,index.ts,3,3,0,0,0,159,4
TypeScript,packages/auth/src/index.ts,index.ts,332,224,87,21,65,12101,259
TypeScript,packages/core/src/admin-ui/templates/index.ts,index.ts,69,67,0,2,6,2417,66
TypeScript,packages/core/src/admin-ui/system/generateAdminUI.ts,generateAdminUI.ts,157,129,12,16,25,5393,117
TypeScript,packages/core/src/scripts/run/dev.ts,dev.ts,379,297,50,32,56,15114,305
TypeScript,packages/core/src/lib/createSystem.ts,createSystem.ts,117,92,16,9,8,4131,102
TypeScript,packages/core/src/lib/createGraphQLSchema.ts,createGraphQLSchema.ts,35,31,2,2,4,1118,34
TypeScript,packages/core/src/admin-ui/system/createAdminMeta.ts,createAdminMeta.ts,160,135,15,10,68,6490,134
TypeScript,packages/core/src/admin-ui/templates/app.ts,app.ts,190,163,17,10,23,7314,162
TypeScript,packages/auth/src/pages/SigninPage.tsx,SigninPage.tsx,178,159,5,14,18,5537,151
TypeScript,packages/auth/src/pages/InitPage.tsx,InitPage.tsx,301,253,27,21,28,9800,255
