Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Go,pkg/images/verifier.go,verifier.go,51,42,3,6,0,1447,43
Go,pkg/validation/policy/validate.go,validate.go,1703,1451,70,182,695,58477,864
Go,pkg/notary/truststore.go,truststore.go,35,28,0,7,4,773,25
Go,pkg/notary/repository.go,repository.go,162,134,2,26,34,5286,87
Go,pkg/notary/registry.go,registry.go,75,63,0,12,16,1846,49
Go,pkg/notary/notary_test.go,notary_test.go,72,64,0,8,6,2685,57
Go,pkg/notary/notary.go,notary.go,372,310,2,60,91,11690,202
Go,pkg/engine/handlers/mutation/mutate_image.go,mutate_image.go,157,147,3,7,32,5921,109
YAML,config/crds/kyverno/kyverno.io_policies.yaml,kyverno.io_policies.yaml,16774,16642,0,132,0,1183576,3118
YAML,config/crds/kyverno/kyverno.io_clusterpolicies.yaml,kyverno.io_clusterpolicies.yaml,16771,16639,0,132,0,1183356,3115
YAML,config/install-latest-testing.yaml,install-latest-testing.yaml,49918,49605,1,312,0,3226828,4586
HTML,docs/user/crd/index.html,index.html,11477,11477,0,0,0,231459,1332
Go,pkg/engine/internal/imageverifier.go,imageverifier.go,741,670,5,66,213,25881,478
Go,api/kyverno/v1/image_verification_types.go,image_verification_types.go,547,287,158,102,120,22171,312
Go,api/kyverno/v2beta1/image_verification_types.go,image_verification_types.go,109,50,40,19,14,5077,73
Go,pkg/cosign/cosign.go,cosign.go,651,541,15,95,204,19336,356
